sensitivity,top_fraction,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
PDSP_Certified_Data_exact_only,0.1,raw_docking,78,8,0.10256410256410256,0.07402817471949304,0.37857142857142856,0.0921389506014596,0.0
PDSP_Certified_Data_exact_only,0.1,residual_docking,78,8,0.10256410256410256,0.4447633981994003,0.7714285714285715,0.25088884992987376,0.25
PDSP_Certified_Data_exact_only,0.1,full_sequence_identity,78,8,0.10256410256410256,0.273413591665555,0.6517857142857143,0.43274415477678346,0.375
PDSP_Certified_Data_exact_only,0.1,same_curated_family,78,8,0.10256410256410256,0.3929831804103877,0.6928571428571428,0.21794871794871795,0.5
PDSP_Certified_Data_exact_only,0.1,equal_rank_sequence_family,78,8,0.10256410256410256,0.37238387900400866,0.6794642857142857,0.44058158433158434,0.375
PDSP_Certified_Data_exact_only,0.1,equal_rank_sequence_residual,78,8,0.10256410256410256,0.48430613573346426,0.7875,0.2961793688767373,0.25
PDSP_Certified_Data_exact_only,0.1,equal_rank_sequence_family_residual,78,8,0.10256410256410256,0.5349135908529395,0.8098214285714286,0.3859053989488772,0.375
PDSP_Certified_Data_exact_only,0.2,raw_docking,78,16,0.20512820512820512,0.07402817471949304,0.4375,0.20455398177585105,0.25
PDSP_Certified_Data_exact_only,0.2,residual_docking,78,16,0.20512820512820512,0.4447633981994003,0.7096774193548386,0.3512638426421729,0.375
PDSP_Certified_Data_exact_only,0.2,full_sequence_identity,78,16,0.20512820512820512,0.273413591665555,0.5493951612903225,0.3633983010546771,0.25
PDSP_Certified_Data_exact_only,0.2,same_curated_family,78,16,0.20512820512820512,0.3929831804103877,0.6391129032258065,0.3157051282051282,0.4375
PDSP_Certified_Data_exact_only,0.2,equal_rank_sequence_family,78,16,0.20512820512820512,0.37238387900400866,0.6063508064516129,0.43322220983511306,0.375
PDSP_Certified_Data_exact_only,0.2,equal_rank_sequence_residual,78,16,0.20512820512820512,0.48430613573346426,0.6794354838709677,0.34925075998266786,0.375
PDSP_Certified_Data_exact_only,0.2,equal_rank_sequence_family_residual,78,16,0.20512820512820512,0.5349135908529395,0.7106854838709676,0.4268984983998571,0.4375
