sensitivity,top_fraction,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
all_allowed_rows_right_censored_at_reported_bound,0.1,raw_docking,191,20,0.10471204188481675,-0.15437541091530216,0.42485380116959065,0.12119932698931145,0.15
all_allowed_rows_right_censored_at_reported_bound,0.1,residual_docking,191,20,0.10471204188481675,0.10270826273951367,0.6517543859649123,0.16638703333280042,0.2
all_allowed_rows_right_censored_at_reported_bound,0.1,full_sequence_identity,191,20,0.10471204188481675,0.40093293687391235,0.6830409356725146,0.34616754987528076,0.45
all_allowed_rows_right_censored_at_reported_bound,0.1,same_curated_family,191,20,0.10471204188481675,0.2923180105128517,0.606140350877193,0.15901271503365744,0.3
all_allowed_rows_right_censored_at_reported_bound,0.1,equal_rank_sequence_family,191,20,0.10471204188481675,0.41112342512006167,0.6880116959064327,0.31480974695152175,0.25
all_allowed_rows_right_censored_at_reported_bound,0.1,equal_rank_sequence_residual,191,20,0.10471204188481675,0.3320516751479705,0.703654970760234,0.28683790429588946,0.35
all_allowed_rows_right_censored_at_reported_bound,0.1,equal_rank_sequence_family_residual,191,20,0.10471204188481675,0.3533772915537048,0.7030701754385965,0.30208710482262485,0.4
all_allowed_rows_right_censored_at_reported_bound,0.2,raw_docking,191,39,0.20418848167539266,-0.15437541091530216,0.4190283400809716,0.19396274221657145,0.15384615384615385
all_allowed_rows_right_censored_at_reported_bound,0.2,residual_docking,191,39,0.20418848167539266,0.10270826273951367,0.5723684210526315,0.24173922406717627,0.23076923076923078
all_allowed_rows_right_censored_at_reported_bound,0.2,full_sequence_identity,191,39,0.20418848167539266,0.40093293687391235,0.6680161943319839,0.4016590484929993,0.358974358974359
all_allowed_rows_right_censored_at_reported_bound,0.2,same_curated_family,191,39,0.20418848167539266,0.2923180105128517,0.5920209176788124,0.2739325828331064,0.4358974358974359
all_allowed_rows_right_censored_at_reported_bound,0.2,equal_rank_sequence_family,191,39,0.20418848167539266,0.41112342512006167,0.6757759784075574,0.4002707506278346,0.41025641025641024
all_allowed_rows_right_censored_at_reported_bound,0.2,equal_rank_sequence_residual,191,39,0.20418848167539266,0.3320516751479705,0.6546052631578947,0.3608278924067363,0.38461538461538464
all_allowed_rows_right_censored_at_reported_bound,0.2,equal_rank_sequence_family_residual,191,39,0.20418848167539266,0.3533772915537048,0.6647267206477733,0.38856614972801334,0.3333333333333333
all_allowed_rows_quantified_vs_right_censored_binary,0.1,raw_docking,191,20,0.10471204188481675,-0.16516200255260535,0.49181286549707603,0.17062771033253155,0.25
all_allowed_rows_quantified_vs_right_censored_binary,0.1,residual_docking,191,20,0.10471204188481675,0.06155201424646467,0.6745614035087719,0.20565495377373166,0.25
all_allowed_rows_quantified_vs_right_censored_binary,0.1,full_sequence_identity,191,20,0.10471204188481675,0.4156586173420243,0.6903508771929824,0.4180350378324704,0.45
all_allowed_rows_quantified_vs_right_censored_binary,0.1,same_curated_family,191,20,0.10471204188481675,0.349992836420751,0.7178362573099415,0.29045125903764646,0.5
all_allowed_rows_quantified_vs_right_censored_binary,0.1,equal_rank_sequence_family,191,20,0.10471204188481675,0.4346402991536657,0.718421052631579,0.4478911491665486,0.45
all_allowed_rows_quantified_vs_right_censored_binary,0.1,equal_rank_sequence_residual,191,20,0.10471204188481675,0.31382827800663965,0.7176900584795322,0.3931370426482006,0.3
all_allowed_rows_quantified_vs_right_censored_binary,0.1,equal_rank_sequence_family_residual,191,20,0.10471204188481675,0.34607874507171354,0.7365497076023392,0.5184736284258921,0.5
all_allowed_rows_quantified_vs_right_censored_binary,0.2,raw_docking,191,39,0.20418848167539266,-0.16516200255260535,0.4281376518218623,0.20262660001603228,0.1282051282051282
all_allowed_rows_quantified_vs_right_censored_binary,0.2,residual_docking,191,39,0.20418848167539266,0.06155201424646467,0.561740890688259,0.2444564501673332,0.23076923076923078
all_allowed_rows_quantified_vs_right_censored_binary,0.2,full_sequence_identity,191,39,0.20418848167539266,0.4156586173420243,0.6540148448043185,0.40178005231346275,0.3333333333333333
all_allowed_rows_quantified_vs_right_censored_binary,0.2,same_curated_family,191,39,0.20418848167539266,0.349992836420751,0.6403508771929824,0.3424748607994681,0.5897435897435898
all_allowed_rows_quantified_vs_right_censored_binary,0.2,equal_rank_sequence_family,191,39,0.20418848167539266,0.4346402991536657,0.6831983805668017,0.44855250683071846,0.41025641025641024
all_allowed_rows_quantified_vs_right_censored_binary,0.2,equal_rank_sequence_residual,191,39,0.20418848167539266,0.31382827800663965,0.6345310391363023,0.3702573870081682,0.3333333333333333
all_allowed_rows_quantified_vs_right_censored_binary,0.2,equal_rank_sequence_family_residual,191,39,0.20418848167539266,0.34607874507171354,0.661774628879892,0.4479871811671867,0.358974358974359
certified_right_censored_at_reported_bound,0.1,raw_docking,171,18,0.10526315789473684,0.003688779342846304,0.5395787944807553,0.16234839598215253,0.2222222222222222
certified_right_censored_at_reported_bound,0.1,residual_docking,171,18,0.10526315789473684,0.1714598398253908,0.7403776325344953,0.21048075137806177,0.2222222222222222
