block_targets,complete_compounds,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
ADRA1A|ADRA2A|DRD1|HTR1A|HTR2A,26,residual_docking,10,2,0.2,0.6606060606060605,1.0,1.0,1.0
ADRA1A|ADRA2A|DRD1|HTR1A|HTR2A,26,full_sequence_identity,10,2,0.2,0.28484848484848485,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD1|HTR1A|HTR2A,26,equal_rank_sequence_family_residual,10,2,0.2,0.6829395253173965,1.0,1.0,1.0
ADRA1A|ADRA2A|DRD1|HTR1B|HTR2A,22,raw_docking,10,2,0.2,0.10303030303030303,0.5,0.26666666666666666,0.0
ADRA1A|ADRA2A|DRD1|HTR1B|HTR2A,22,residual_docking,10,2,0.2,0.22424242424242422,0.5,0.29166666666666663,0.0
ADRA1A|ADRA2A|DRD1|HTR1B|HTR2A,22,full_sequence_identity,10,2,0.2,0.22424242424242422,0.375,0.22619047619047616,0.0
ADRA1A|ADRA2A|DRD1|HTR1B|HTR2A,22,equal_rank_sequence_family_residual,10,2,0.2,0.4439668336313129,0.5625,0.29166666666666663,0.0
ADRA1A|ADRA2A|DRD1|HTR2A|HTR2B,20,raw_docking,10,2,0.2,0.16363636363636364,0.5,0.6,0.5
ADRA1A|ADRA2A|DRD1|HTR2A|HTR2B,20,residual_docking,10,2,0.2,0.22424242424242422,0.3125,0.225,0.0
ADRA1A|ADRA2A|DRD1|HTR2A|HTR2B,20,full_sequence_identity,10,2,0.2,-0.09090909090909088,0.25,0.2,0.0
ADRA1A|ADRA2A|DRD1|HTR2A|HTR2B,20,equal_rank_sequence_family_residual,10,2,0.2,0.288365265995729,0.3125,0.2,0.0
ADRA1A|ADRA2A|DRD2|HRH1|HTR1A,23,raw_docking,10,2,0.2,-0.13939393939393938,0.5625,0.6111111111111112,0.5
ADRA1A|ADRA2A|DRD2|HRH1|HTR1A,23,residual_docking,10,2,0.2,-0.05454545454545454,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|DRD2|HRH1|HTR1A,23,full_sequence_identity,10,2,0.2,-0.18787878787878787,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD2|HRH1|HTR1A,23,equal_rank_sequence_family_residual,10,2,0.2,-0.09726488698881033,0.71875,0.6428571428571428,0.5
ADRA1A|ADRA2A|DRD2|HRH1|HTR2A,24,raw_docking,10,2,0.2,-0.4545454545454545,0.3125,0.225,0.0
ADRA1A|ADRA2A|DRD2|HRH1|HTR2A,24,residual_docking,10,2,0.2,-0.3939393939393939,0.3125,0.2111111111111111,0.0
ADRA1A|ADRA2A|DRD2|HRH1|HTR2A,24,full_sequence_identity,10,2,0.2,-0.17575757575757575,0.625,0.3333333333333333,0.0
ADRA1A|ADRA2A|DRD2|HRH1|HTR2A,24,equal_rank_sequence_family_residual,10,2,0.2,-0.3446561747421316,0.3125,0.19642857142857142,0.0
ADRA1A|ADRA2A|DRD2|HTR1A|HTR1B,25,raw_docking,10,2,0.2,0.16363636363636364,0.5625,0.375,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR1B,25,residual_docking,10,2,0.2,0.35757575757575755,0.625,0.39285714285714285,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR1B,25,full_sequence_identity,10,2,0.2,0.23636363636363633,0.4375,0.35,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR1B,25,equal_rank_sequence_family_residual,10,2,0.2,0.18237166310401937,0.5,0.3611111111111111,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2A,32,raw_docking,10,2,0.2,-0.2121212121212121,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2A,32,residual_docking,10,2,0.2,-0.04242424242424241,0.8125,0.7,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2A,32,full_sequence_identity,10,2,0.2,-0.2121212121212121,0.6875,0.6428571428571428,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2A,32,equal_rank_sequence_family_residual,10,2,0.2,-0.21276694028802262,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2B,21,raw_docking,10,2,0.2,0.6969696969696969,0.6875,0.41666666666666663,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2B,21,residual_docking,10,2,0.2,0.8060606060606059,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2B,21,full_sequence_identity,10,2,0.2,-0.04242424242424241,0.125,0.17142857142857143,0.0
ADRA1A|ADRA2A|DRD2|HTR1A|HTR2B,21,equal_rank_sequence_family_residual,10,2,0.2,0.43426904068873107,0.5625,0.3611111111111111,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR3A,20,raw_docking,10,2,0.2,-0.06666666666666665,0.875,0.75,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR3A,20,residual_docking,10,2,0.2,-0.07878787878787878,0.875,0.75,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR3A,20,full_sequence_identity,10,2,0.2,0.18787878787878787,0.5625,0.6111111111111112,0.5
ADRA1A|ADRA2A|DRD2|HTR1A|HTR3A,20,equal_rank_sequence_family_residual,10,2,0.2,0.15291163404532787,0.78125,0.6666666666666666,0.5
ADRA1A|ADRA2A|DRD2|HTR1B|HTR2A,25,raw_docking,10,2,0.2,-0.09090909090909088,0.375,0.22619047619047616,0.0
ADRA1A|ADRA2A|DRD2|HTR1B|HTR2A,25,residual_docking,10,2,0.2,0.07878787878787878,0.4375,0.24285714285714285,0.0
ADRA1A|ADRA2A|DRD2|HTR1B|HTR2A,25,full_sequence_identity,10,2,0.2,-0.41818181818181815,0.3125,0.20833333333333331,0.0
ADRA1A|ADRA2A|DRD2|HTR1B|HTR2A,25,equal_rank_sequence_family_residual,10,2,0.2,-0.12884405501936821,0.5,0.25,0.0
ADRA1A|ADRA2A|DRD2|HTR2A|HTR2B,21,raw_docking,10,2,0.2,0.3039527718400323,0.875,0.5833333333333333,0.5
ADRA1A|ADRA2A|DRD2|HTR2A|HTR2B,21,residual_docking,10,2,0.2,0.5288778230016562,0.8125,0.7,0.5
ADRA1A|ADRA2A|DRD2|HTR2A|HTR2B,21,full_sequence_identity,10,2,0.2,-0.2553203283456271,0.4375,0.35,0.5
ADRA1A|ADRA2A|DRD2|HTR2A|HTR2B,21,equal_rank_sequence_family_residual,10,2,0.2,0.04281365585461359,0.5,0.3611111111111111,0.5
ADRA1A|ADRA2A|DRD2|HTR2A|HTR3A,20,raw_docking,10,2,0.2,-0.11515151515151514,0.625,0.39285714285714285,0.5
ADRA1A|ADRA2A|DRD2|HTR2A|HTR3A,20,residual_docking,10,2,0.2,0.10303030303030303,0.6875,0.3666666666666667,0.0
ADRA1A|ADRA2A|DRD2|HTR2A|HTR3A,20,full_sequence_identity,10,2,0.2,-0.01818181818181818,0.4375,0.25,0.0
ADRA1A|ADRA2A|DRD2|HTR2A|HTR3A,20,equal_rank_sequence_family_residual,10,2,0.2,0.10430233025377429,0.625,0.29166666666666663,0.0
ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A,25,raw_docking,10,2,0.2,0.16363636363636364,0.375,0.2361111111111111,0.0
ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A,25,residual_docking,10,2,0.2,0.6,0.5,0.26785714285714285,0.0
ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A,25,full_sequence_identity,10,2,0.2,0.06666666666666665,0.5625,0.30952380952380953,0.0
ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A,25,equal_rank_sequence_family_residual,10,2,0.2,0.36474332620803873,0.59375,0.29166666666666663,0.0
ADRA1A|ADRA2A|HRH1|HTR1A|HTR3A,20,raw_docking,10,2,0.2,0.01818181818181818,0.625,0.625,0.5
ADRA1A|ADRA2A|HRH1|HTR1A|HTR3A,20,residual_docking,10,2,0.2,0.41818181818181815,0.75,0.6666666666666666,0.5
ADRA1A|ADRA2A|HRH1|HTR1A|HTR3A,20,full_sequence_identity,10,2,0.2,0.0303030303030303,0.5625,0.6111111111111112,0.5
ADRA1A|ADRA2A|HRH1|HTR1A|HTR3A,20,equal_rank_sequence_family_residual,10,2,0.2,0.16565664216775916,0.5,0.6,0.5
ADRA1A|ADRA2A|HRH1|HTR2A|HTR3A,20,raw_docking,10,2,0.2,-0.5393939393939393,0.375,0.2361111111111111,0.0
ADRA1A|ADRA2A|HRH1|HTR2A|HTR3A,20,residual_docking,10,2,0.2,0.11515151515151514,0.5,0.29166666666666663,0.0
ADRA1A|ADRA2A|HRH1|HTR2A|HTR3A,20,full_sequence_identity,10,2,0.2,0.28484848484848485,0.4375,0.25,0.0
ADRA1A|ADRA2A|HRH1|HTR2A|HTR3A,20,equal_rank_sequence_family_residual,10,2,0.2,0.12805116099701186,0.40625,0.26666666666666666,0.0
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2A,27,raw_docking,10,2,0.2,0.17575757575757575,0.375,0.22619047619047616,0.0
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2A,27,residual_docking,10,2,0.2,0.41818181818181815,0.5625,0.29166666666666663,0.0
ADRA1A|ADRA2A|HTR1A|HTR1B|HTR2A,27,full_sequence_identity,10,2,0.2,0.07878787878787878,0.1875,0.18253968253968253,0.0
