omitted_target,residual_minus_raw__continuous_spearman,fusion_increment__continuous_spearman,residual_minus_raw__roc_auc_fixed_primary_top10,fusion_increment__roc_auc_fixed_primary_top10,residual_minus_raw__best_partner_recall_at_3,fusion_increment__best_partner_recall_at_3,residual_minus_raw__mean_reciprocal_rank_of_best_partner,fusion_increment__mean_reciprocal_rank_of_best_partner
ADRA1A,0.2610953931564619,0.11208519501854117,0.20390720390720396,0.042735042735042805,0.17647058823529416,0.11764705882352933,0.05135599694423221,0.023120915032679767
ADRA2A,0.3333742593284578,0.13376313691107378,0.2326007326007326,0.06929181929181927,0.23529411764705888,0.11764705882352944,0.08937337172631288,0.018216832187420318
ADRB1,0.3071110612351775,0.08524623522751812,0.26064844246662433,0.059758423394786986,0.23529411764705888,0.11764705882352944,0.056905839258780455,0.02750509294626946
ADRB2,0.334336519725365,0.12134503356985316,0.2583333333333333,0.059615384615384626,0.23529411764705882,0.11764705882352944,0.09329494035376379,0.023560181648417
CHRM1,0.221235253296322,0.09344479058229216,0.15909090909090917,0.0553030303030303,0.17647058823529416,0.17647058823529416,0.013103318250377083,0.048087370146193686
CHRM2,0.2477232690973149,0.12272025587745389,0.2009803921568627,0.0798319327731093,0.2941176470588236,0.17647058823529416,0.06843116034292507,0.07910684087154674
CHRM3,0.2505525009341803,0.09371443254397968,0.18207282913165257,0.0843837535014007,0.23529411764705888,0.17647058823529416,0.09800991492167965,0.0793555300908243
DRD1,0.30622431004110395,0.1123715658364165,0.2264367816091955,0.06896551724137945,0.17647058823529416,0.11764705882352944,0.035288404406051466,0.009965198200492464
DRD2,0.34345273047563124,0.08798419924251905,0.23260073260073255,0.0567765567765568,0.23529411764705888,0.17647058823529405,0.021002690120337175,0.012416178592649096
HRH1,0.22585811135429457,0.12175849612741402,0.16969696969696968,0.06439393939393945,0.05882352941176472,0.17647058823529416,0.026196189431483552,0.018520939844469342
HRH2,0.23723051409618579,0.103517473302106,0.20602125147579686,0.06552538370720185,0.17647058823529416,0.17647058823529416,0.0551623213387919,0.022136605224840622
HTR1A,0.3374472855388886,0.09534840894376345,0.26010430247718386,0.057366362451108266,0.23529411764705882,0.05882352941176472,0.07046580870110275,-0.037093625328919466
HTR1B,0.34607377355468955,0.14445753616186516,0.22816091954022993,0.06954022988505748,0.2941176470588235,0.17647058823529405,0.0725490196078431,0.026305067481538158
HTR2A,0.28530400896813113,0.1058096492639754,0.24297924297924306,0.07020757020757018,0.35294117647058826,0.17647058823529416,0.08489157900922617,0.02155483405483416
HTR2B,0.3571924258947159,0.1385977621232416,0.25484261501210653,0.07687651331719125,0.35294117647058826,0.17647058823529416,0.1201426024955436,0.02219463542992972
HTR3A,0.3117248360317866,0.12428905144124303,0.2329075882794891,0.0770097670924117,0.23529411764705888,0.17647058823529416,0.02058252205311023,-0.007839546074839943
OPRD1,0.3052721891779858,0.11921654395252776,0.22900763358778625,0.06819338422391852,0.27777777777777773,0.16666666666666663,0.06339825298158625,0.020221885050316635
OPRK1,0.30475547800603475,0.11917592907780622,0.22951653944020356,0.06819338422391852,0.27777777777777773,0.16666666666666663,0.06339825298158625,0.020221885050316635
OPRM1,0.3055575371386155,0.11983933876746539,0.22951653944020356,0.06870229007633588,0.27777777777777773,0.16666666666666663,0.06339825298158625,0.020221885050316635
SLC6A3,0.3276460833089455,0.1600979830493743,0.22444444444444434,0.07999999999999996,0.23529411764705882,0.11764705882352944,0.05639017844900196,0.034434030022265305
SLC6A4,0.2937444235154158,0.15964053512932047,0.2193732193732194,0.07606837606837613,0.2941176470588236,0.11764705882352944,0.06670976082740787,0.013233172056701603
