top_fraction,predictor,target_pairs,positive_pairs,positive_fraction,continuous_spearman,roc_auc,average_precision,precision_at_positive_count
0.1,raw_docking,148,15,0.10135135135135136,0.04389624523852712,0.47468671679198,0.1501003710101622,0.2
0.1,residual_docking,148,15,0.10135135135135136,0.29527980247059826,0.6812030075187971,0.17712938233067996,0.2
0.1,full_sequence_identity,148,15,0.10135135135135136,0.2066581031106439,0.6240601503759399,0.25623856450992405,0.4
0.1,same_curated_family,148,15,0.10135135135135136,0.20327771065523106,0.6436090225563911,0.1750965250965251,0.3333333333333333
0.1,equal_rank_sequence_family,148,15,0.10135135135135136,0.23870872807949167,0.6426065162907268,0.2525702698481555,0.3333333333333333
0.1,equal_rank_sequence_residual,148,15,0.10135135135135136,0.3316890331824507,0.6967418546365916,0.22491832541931825,0.2
0.1,equal_rank_sequence_family_residual,148,15,0.10135135135135136,0.33504272586743034,0.7095238095238096,0.28649137409178443,0.4
0.2,raw_docking,148,30,0.20270270270270271,0.04389624523852712,0.48841807909604523,0.23912867945126878,0.26666666666666666
0.2,residual_docking,148,30,0.20270270270270271,0.29527980247059826,0.6742937853107345,0.3060703821253161,0.3333333333333333
0.2,full_sequence_identity,148,30,0.20270270270270271,0.2066581031106439,0.6372881355932203,0.3330674376715027,0.36666666666666664
0.2,same_curated_family,148,30,0.20270270270270271,0.20327771065523106,0.5573446327683617,0.23318318318318318,0.3333333333333333
0.2,equal_rank_sequence_family,148,30,0.20270270270270271,0.23870872807949167,0.6296610169491526,0.31204417073920954,0.3
0.2,equal_rank_sequence_residual,148,30,0.20270270270270271,0.3316890331824507,0.7040960451977402,0.375494389813293,0.4
0.2,equal_rank_sequence_family_residual,148,30,0.20270270270270271,0.33504272586743034,0.6915254237288135,0.37886990438611995,0.4
