minimum_pair_support,target_pairs,targets,raw_continuous_spearman,residual_continuous_spearman,residual_minus_raw_continuous_spearman,sequence_family_continuous_spearman,sequence_family_residual_continuous_spearman,residual_fusion_increment_continuous_spearman
10,148,21,0.04389624523852712,0.29527980247059826,0.2513835572320711,0.23870872807949167,0.33504272586743034,0.09633399778793866
12,140,21,0.026625265137434132,0.2843541580109773,0.25772889287354317,0.2372657497102622,0.3203472576489667,0.0830815079387045
15,128,21,0.03518700787401574,0.2559741805530123,0.22078717267899656,0.23257850064472366,0.2995915394851827,0.06701303884045903
20,98,20,0.005272587010436789,0.20167804703887174,0.19640546002843495,0.23272701770492638,0.27563033823206257,0.04290332052713619
25,72,20,0.09933114669753683,0.4326966364396425,0.33336548974210567,0.21657689527680862,0.37710849424441295,0.16053159896760433
30,51,20,-0.040995475113122175,0.2253393665158371,0.26633484162895926,0.1007239819004525,0.18140261713009517,0.08067863522964268
