predictor,eligible_query_targets,mean_reciprocal_rank_of_best_partner,best_partner_recall_at_3,top2_partner_recall_at_3,macro_partner_rank_spearman,query_targets_with_finite_rank_spearman
raw_docking,18,0.4323489010989011,0.3888888888888889,0.2777777777777778,0.19914918959036612,18
residual_docking,18,0.49574715408048736,0.6666666666666666,0.3888888888888889,0.3664287509875745,18
full_sequence_identity,18,0.5269031349913702,0.5,0.3888888888888889,0.15771535109770404,18
same_curated_family,18,0.44499982885377665,0.5409722222222222,0.3824074074074075,0.2541223921009385,17
equal_rank_sequence_family,18,0.5817277856493541,0.5555555555555556,0.3611111111111111,0.2026464004405181,18
equal_rank_sequence_residual,18,0.5097869722869723,0.6111111111111112,0.4444444444444444,0.35878052890079526,18
equal_rank_sequence_family_residual,18,0.6019496706996708,0.7222222222222222,0.4444444444444444,0.35506726262486055,18
