coefficient_deviation_rank,variance_share_of_full_descriptor_component,maximum_absolute_coefficient_reconstruction_error,degenerate,distinct_edge_values_at_1e-12,DAVIS_spearman,PKIS2_spearman,PKIS1_spearman,KiRHub_spearman
0,0.010212023450288604,1.1784036486784537,True,1,,,,
1,0.39103886132205024,0.3924122427720806,False,190,0.02225546414028089,0.037039369803216565,-0.0064375598682570277,0.04563328040870062
2,0.48919921833602076,0.258310718948134,False,190,0.040890183574118548,0.010752010917345711,-0.048091432770407679,0.065057058002773088
3,0.71884833759510258,0.17443772631816268,False,190,0.13562265174279509,0.098036539866245054,0.021968533900195521,0.16594802888547722
4,0.76802486772961465,0.14429360556940965,False,190,0.19202718838982272,0.15121661046158147,0.065588928691711817,0.18757277136996059
5,0.97324853054444416,0.07380836855506301,False,190,0.25772896464547057,0.22105438115358209,0.10536550801086478,0.3069549965664598
6,0.99005612252975284,0.046118467781119186,False,190,0.24468238659475913,0.20292528878916322,0.088454119592174155,0.29215884388108143
7,1.0000000000000011,5.186999606593056e-13,False,190,0.25635729813189184,0.21846676026890974,0.096789093151727498,0.2877674115480674
