null,panel,observed_spearman,null_mean,null_sd,null_interval_95,one_sided_p_positive
shared_permutation,DAVIS,0.25635729813189184,-0.00014008984065748981,0.072462271903237355,"[-0.10007750615631572, 0.18143841278589118]",0.00639872025594881
shared_permutation,PKIS2,0.21846676026890974,-0.00022610942714552468,0.07322203145802629,"[-0.09868055828926584, 0.1879425439689972]",0.015396920615876825
shared_permutation,PKIS1,0.096789093151727498,0.00012056353798982613,0.072923846684965862,"[-0.09727608725128702, 0.1915869079330087]",0.09398120375924815
shared_permutation,KiRHub,0.2877674115480674,0.0001426421201345427,0.073683300946045416,"[-0.09447790505933244, 0.1993474524006349]",0.0049990001999600077
fold_independent_permutation,DAVIS,0.25635729813189184,0.00091326536235877636,0.072328602386387025,"[-0.12098199250307266, 0.16093186718978944]",0.0015996800639872025
fold_independent_permutation,PKIS2,0.21846676026890974,0.0012652510858297572,0.074927546363532063,"[-0.11940894994904366, 0.1685978034090462]",0.0075984803039392118
fold_independent_permutation,PKIS1,0.096789093151727498,0.0010015520476584132,0.072249362793812263,"[-0.11460422434795536, 0.1666095430548447]",0.10757848430313938
fold_independent_permutation,KiRHub,0.2877674115480674,-3.2297147755952072e-05,0.074019162615202694,"[-0.11854514121254271, 0.16662782610977708]",0.0019996000799840032
