coefficient,shared_target_blind_value,across_target_sd,across_target_minimum,across_target_maximum,across_target_range,heterogeneity_to_shared_ratio,minimum_fold_across_target_sd,maximum_fold_across_target_sd
intercept,3.5030682955436043e-15,2.1616052197576173e-13,-3.4046706018637773e-13,5.3581848465969045e-13,8.7628554484606818e-13,,2.1499636567897517e-13,2.4117279609187793e-13
heavy_atoms,0.01165084929371249,0.28566865973034317,-0.63019200407860265,0.51280336172631069,1.1429953658049135,24.519127535578665,0.28143684139143738,0.29349199213045779
molecular_weight,0.0036953945657271677,0.14287604135837706,-0.18681733094312619,0.26171554645652623,0.44853287739965242,38.66327094905558,0.13878000210374677,0.14926565856577359
labute_asa,-0.06482307104677025,0.6432542984120414,-1.2009077704168667,0.87537890504757809,2.0762866754644449,9.9232308501386708,0.63344923218223081,0.65746327852409214
tpsa,5.5849432542959268e-05,0.097589906092079154,-0.16875761096660308,0.19809371388707653,0.36685132485367961,1747.3750698722533,0.095717291827910694,0.098539026386823145
clogp,0.0049263856783917604,0.10285810714774271,-0.12971887881747435,0.1894129456071327,0.31913182442460708,20.879020414276859,0.10210812448404601,0.103412845872484
rotatable_bonds,0.032602919035788817,0.2465258920780716,-0.42148749777422384,0.51562601650016116,0.93711351427438494,7.5614668676585568,0.24560259001877896,0.24777402777693031
ring_count,0.00078884527395414457,0.086196986965399625,-0.17162593180665534,0.18807866976286935,0.35970460156952466,109.26982744452651,0.082942085989729214,0.087783208829605761
