fold,target,intercept,heavy_atoms,molecular_weight,labute_asa,tpsa,clogp,rotatable_bonds,ring_count
1,ABL1,1.2274104143183609e-13,-0.039938512063991793,0.025512982128391769,0.50640801046240524,-0.070475244696091913,-0.088773710635233302,0.0044700007826588613,-0.023610783413116284
1,AKT1,1.466605224940291e-13,0.14624611263312459,-0.15485750714426147,-0.7359239556071635,0.05370380933581189,0.18066998580659024,0.070131832042706038,-0.053419986637672084
1,AKT2,5.5824214220217249e-13,0.41787422370796279,0.22311076254532536,-1.1021761804643426,-0.003770594884800171,0.10272237315561326,0.2497572334868135,0.0078225534174425262
1,CDK2,-6.8605850467698553e-14,0.047276393492054591,-0.1197691871160696,-0.22057533786704711,0.057562328612305216,0.03856580487049667,0.13492715067029193,0.038373624546626892
1,CSF1R,1.284401730098758e-13,-0.27390213560903676,0.1446328542571389,0.32903364973705496,0.10924246521137712,-0.022265799932014396,0.10958649660637161,0.049519660806776146
1,EGFR,-1.4562305783885127e-13,-0.57434167968039662,-0.15657549390542355,0.81289760072584794,-0.042616392880938402,-0.090256282718905165,-0.12757291855782368,-0.16849002885538758
1,FGFR1,4.7410915935901545e-14,-0.052990958420570805,0.12364289333814982,0.25276677157491728,-0.074508105995545915,-0.049929801634548181,-0.12278589141892358,0.070293137337284081
1,IGF1R,-2.0576634435340069e-13,-0.090417177529733578,-0.017694069118336542,0.34416635452535577,-0.027968119720411223,0.01157602351998486,-0.16116530386880618,0.01864728895187729
1,JAK2,2.738284039921004e-14,-0.1131979966067144,-0.12213947449634172,0.36992092356046585,-0.077239776406771571,-0.0075137049644632319,0.10184531199597724,-0.063660228810838965
1,KDR,2.0963196108947739e-14,-0.0092951789820761022,-0.16853624339696943,0.65267828501862302,0.04626582562803503,-0.025545663596376011,-0.41465849079824746,0.016599773770639748
1,KIT,-2.0556983421356496e-13,-0.14487925029301008,0.24476642273729105,0.32953474109962061,-0.16525326059902065,-0.12075193594261367,-0.12414646653993808,-0.043056553048606824
1,LCK,-1.225042777992086e-13,0.31720270070702306,0.17248384568766165,-0.92099188956658529,-0.025223459514454812,-0.048241648178639761,0.51096690379934884,0.087324120224276547
1,MAP2K1,-1.7989479103208372e-13,0.23294546810702932,-0.11297703808014622,-0.65741275287638623,0.049518451945860381,0.13379868236428183,0.037908182437734722,-0.074669504405324535
1,MAPK1,1.296333955613719e-13,-0.19171259552371472,-0.037463911656054838,0.62590222550120322,-0.14903652905240086,-0.13256829208069443,-0.24248761227683485,-0.10182681224210867
1,MAPK14,-3.1691147434678193e-13,0.15876670285871639,0.010764410437275126,-0.34252159078333366,0.16665034645717713,0.13625685827506076,0.16912877071555629,0.18895145550737791
1,MAPKAPK2,3.7935363880227049e-13,0.53649487985893518,-0.17938070715475643,-0.43175129430090264,-0.10431304381153336,0.10815717710557264,0.024407691817890945,-0.049733152364807041
1,MET,-1.9411034946564038e-13,-0.040546183067438624,-0.051294990782810926,0.48730232157266312,0.090006656190427844,-0.025398617030779221,-0.42299818402091754,-0.020473154447092575
1,PLK1,3.1883725461358457e-14,-0.51211098319487758,0.099429970944801965,0.27112718325745705,0.015788640731386781,-0.10002587993622798,0.1190777453885547,-0.054468144796125495
1,ROCK1,9.3958752370478056e-14,0.23618127145009149,-0.028023821776272769,-1.1751372533664115,0.19891965273943479,0.18770812532067321,0.41055462379891289,0.11770572704835028
1,SRC,-2.0886881870930583e-13,0.18355856586800656,0.18027705656285217,-0.69981239899810865,-0.047310536881146448,-0.095078497595133954,0.33037021336736372,0.066850267222480636
1,SHARED_TARGET_BLIND,2.0022184588749762e-15,0.011660683385569498,0.0037954377005718809,-0.065228229339732879,-2.8443795648983795e-06,0.0046552598086321804,0.032865864471434435,0.00043396299060253921
2,ABL1,1.4512509904092546e-13,-0.023740693443077603,0.012349504224894977,0.51391671923898408,-0.076856433538487257,-0.091265474234952182,-0.00061307409069722091,-0.039293151525027888
2,AKT1,1.1909892786922401e-13,0.14866160615311941,-0.14541007894772717,-0.7579977054163114,0.051622233038492907,0.18398393803235141,0.076827167153428147,-0.038970569366329498
2,AKT2,5.3956400995472069e-13,0.41484245304832712,0.23549232582238402,-1.1279714614821101,-0.0069167092258117097,0.10116245351617795,0.26528072395684277,0.025988150074025874
2,CDK2,-4.7892263682283993e-14,0.018373191098440461,-0.11160143698990813,-0.19931863322204829,0.061260025748656376,0.03645071439887216,0.12992066466449886,0.047888367967078481
2,CSF1R,1.5049623525091405e-13,-0.22669877554109119,0.15645207653731261,0.28429939032367163,0.10379501930538269,-0.026398908549849623,0.09900240677794607,0.048550905490358016
2,EGFR,-2.1118410481744156e-13,-0.680130358310578,-0.17937566412972006,0.93560181649139218,-0.041025365512151378,-0.09788641999125193,-0.12904055678948087,-0.16876798899490292
2,FGFR1,3.5172320381795736e-14,-0.069132404290105073,0.11679155983864992,0.27457512839647613,-0.076077755648149961,-0.052196126152306281,-0.11386261146444204,0.070405491019142452
2,IGF1R,2.6524377294682905e-14,-0.062025304684281739,0.0071328998345671383,0.28797171761312118,-0.029598097133328127,0.0095215044164733888,-0.16065356339326425,0.024982358280268041
2,JAK2,9.2684866097639419e-14,-0.04578080361844529,-0.13552876857392662,0.34113089477362563,-0.078181235648262543,0.0018482311259505433,0.080872018144689015,-0.085072536337630275
2,KDR,-5.0243417528802747e-14,-0.032527756139643149,-0.15247918901194707,0.66553188304197608,0.046368958873529667,-0.028983739091809662,-0.41298437079667383,0.012073337025592585
2,KIT,-2.1758165296505865e-13,-0.12209544696160357,0.26575576078914326,0.29136199575760324,-0.16834212009332436,-0.11778064276854759,-0.12434879597271525,-0.044852182231932054
2,LCK,-6.8971107046118113e-14,0.3646887437540321,0.18138256181922982,-0.98727221216556194,-0.024919203534533901,-0.045895679808049081,0.51466954366217654,0.092313129827802931
2,MAP2K1,-4.7159915260032722e-13,0.19456116954492972,-0.13163069072730685,-0.59462684025101531,0.047728571471398987,0.12889133147373427,0.037031702259084712,-0.079552814076489356
2,MAPK1,7.923398257548261e-14,-0.18873697088621352,-0.0373573418289012,0.61705318011821098,-0.14848795519050698,-0.12898105577028074,-0.23991511829929704,-0.10579228625545956
2,MAPK14,-3.0377000572322018e-13,0.19562044720850763,0.025482775325428305,-0.38108615988702299,0.16602919583334363,0.13247287887837644,0.16098797197512074,0.18591136897132202
2,MAPKAPK2,4.448834583024273e-13,0.52473858998659573,-0.18845542246002087,-0.39404458710033596,-0.10660309633850075,0.1107357185376642,0.012870699725166797,-0.056852203685863821
2,MET,-1.0690584909224383e-13,-0.0826734319396914,-0.078382690990844148,0.56043746071076461,0.095627734021162605,-0.025721333381432208,-0.42369264049367333,-0.025677248722667592
2,PLK1,2.555827591269751e-13,-0.52632132901800954,0.081881779278037789,0.28870891237289598,0.03023346101210134,-0.088547770411404325,0.11790829610839111,-0.052324005418275754
2,ROCK1,-1.0334154979274819e-13,0.23854990701897524,-0.015047017414746434,-1.2097250054184523,0.20129113253788011,0.18677186676306926,0.42640729850151915,0.13747137477846744
2,SRC,-1.9584501846848707e-13,0.20756311852731213,0.16523501550241426,-0.72051167363385993,-0.044052762875841547,-0.091945203483313226,0.33396428416229229,0.073834869940333309
2,SHARED_TARGET_BLIND,5.6885766462261601e-15,0.012386797575375676,0.0036343978948506009,-0.065598258986899666,0.00014477985515259627,0.0048118141749736816,0.032531602289545547,0.0011132183379906361
3,ABL1,1.6877844900833929e-13,-0.032462449328061735,0.021378186335961551,0.50622369841852766,-0.072037524696524663,-0.088554190681210732,0.0021904575775043666,-0.031834000523201941
3,AKT1,8.9813851050783273e-14,0.14337942103017862,-0.17150206144865915,-0.70187083451445142,0.055413028421431421,0.17956997352609796,0.058345957503779612,-0.055642044436113695
3,AKT2,5.703988747650975e-13,0.39796057269040114,0.19561338866871592,-1.0616482170993544,0.0040502123167162592,0.1062400607562065,0.24666680305319194,0.015499191880043124
3,CDK2,-2.4961037221647519e-13,-0.0041463216863551963,-0.11423364040721229,-0.17853180774469427,0.059531066086552994,0.035057195353042254,0.13407552232521144,0.048549704447324649
3,CSF1R,2.9533847332246288e-13,-0.26388698163123792,0.17571969922798719,0.2874201360196123,0.10929243676535667,-0.017997056616980971,0.10762039380759061,0.052385416888139046
3,EGFR,-1.0131243388549422e-13,-0.63537730391803238,-0.14300732094294807,0.85910243765981031,-0.045093644423819204,-0.0992165421830003,-0.12920712575711182,-0.17049091383001483
3,FGFR1,3.8378816968000079e-14,-0.01367624498508991,0.11976817530364157,0.21945226819859184,-0.081492681876685277,-0.051708291069704752,-0.11351166832377371,0.074562052598359352
3,IGF1R,-9.4320341151554131e-14,-0.10431487049618583,0.0009794545562564472,0.3240568937211496,-0.023105246604625516,0.010585766277506297,-0.15658354827049883,0.027463882462411368
