arm,panel,degenerate_geometry,spearman,target_label_qap_p_positive,murcko_scaffold_clusters_lower_90,murcko_scaffold_clusters_upper_90,generic_murcko_framework_clusters_lower_90,generic_murcko_framework_clusters_upper_90,conservative_union_lower_90,conservative_union_upper_90
observed_residual,DAVIS,False,0.27979984866179414,0.0054599999999999996,0.27425527168707114,0.28599911646480947,0.27122500841982794,0.28986208977942246,0.27122500841982794,0.28986208977942246
observed_residual,PKIS2,False,0.28717080659764616,0.0044200000000000003,0.28098046162526741,0.29362262549917584,0.27758716162133079,0.29720234268043583,0.27758716162133079,0.29720234268043583
observed_residual,PKIS1,False,0.17364265812874249,0.02794,0.16886894373805361,0.17867828384224083,0.16722373123034467,0.18153708879528671,0.16722373123034467,0.18153708879528671
observed_residual,KiRHub,False,0.32158843881081411,0.00248,0.3165734580780048,0.32831905243037768,0.31352788603270831,0.33249546204079128,0.31352788603270831,0.33249546204079128
descriptor_component_target_specific,DAVIS,False,0.25635729813189184,0.0081200000000000005,0.25404243593276388,0.25867049823511673,0.25309425395950619,0.25916886456980148,0.25309425395950619,0.25916886456980148
descriptor_component_target_specific,PKIS2,False,0.21846676026890974,0.01712,0.21605724608204638,0.22074470644324612,0.21520537819242702,0.22143071465749897,0.21520537819242702,0.22143071465749897
descriptor_component_target_specific,PKIS1,False,0.096789093151727498,0.094659999999999994,0.094407922073945799,0.098837932527654243,0.093650181299671481,0.099588675003389845,0.093650181299671481,0.099588675003389845
descriptor_component_target_specific,KiRHub,False,0.2877674115480674,0.0073800000000000003,0.2833092329427408,0.29219925905514221,0.28249594317381599,0.29321768644998181,0.28249594317381599,0.29321768644998181
descriptor_component_target_blind,DAVIS,True,,,,,,,,
descriptor_component_target_blind,PKIS2,True,,,,,,,,
descriptor_component_target_blind,PKIS1,True,,,,,,,,
descriptor_component_target_blind,KiRHub,True,,,,,,,,
