PKIS1_activity_threshold_percent_inhibition,selected_pocket_identity_threshold,panel,metric,augmented_minus_baseline
80.0,0.55,DAVIS,top_5_roc_auc,0.15000000000000002
80.0,0.55,DAVIS,top_5_average_precision,0.18010209685755701
80.0,0.55,DAVIS,top_10_roc_auc,0.1434287473068636
80.0,0.55,DAVIS,top_10_average_precision,0.24524840263502806
80.0,0.55,DAVIS,top_15_roc_auc,0.15378025273077744
80.0,0.55,DAVIS,top_15_average_precision,0.2007774092856675
80.0,0.55,PKIS2,continuous_spearman,0.10986278960927626
80.0,0.55,PKIS2,top_5_roc_auc,0.12944444444444447
80.0,0.55,PKIS2,top_5_average_precision,0.20335006687265186
80.0,0.55,PKIS2,top_10_roc_auc,0.10987996306555858
80.0,0.55,PKIS2,top_10_average_precision,0.14424448770657855
80.0,0.55,PKIS2,top_15_roc_auc,0.12079674448490041
80.0,0.55,PKIS2,top_15_average_precision,0.1545855297494081
80.0,0.55,KiRHub,continuous_spearman,0.1376390365092487
80.0,0.55,KiRHub,top_5_roc_auc,0.12277777777777776
80.0,0.55,KiRHub,top_5_average_precision,0.1958668030755039
80.0,0.55,KiRHub,top_10_roc_auc,0.14035087719298245
80.0,0.55,KiRHub,top_10_average_precision,0.21765403158295715
80.0,0.55,KiRHub,top_15_roc_auc,0.1499250374812594
80.0,0.55,KiRHub,top_15_average_precision,0.2046535411815176
