threshold,low_identity_pairs,discovery_top_10_average_precision,discovery_continuous_spearman
0.3,9,0.32123289413069456,0.5762442756104923
0.35,64,0.3090944763171013,0.5817309416648079
0.4,127,0.32406587682233823,0.5748358680295854
0.45,148,0.32526697472395405,0.5750528152842841
0.5,170,0.33709386232086097,0.5747413909993133
0.55,177,0.3572868001137307,0.5767096624633137
0.6,181,0.35642435658504285,0.5753887336141401
0.65,184,0.3424497601882531,0.574585678856828
0.7,185,0.34226549765914754,0.5747623858949293
