omitted_target,panel,metric,selected_threshold_after_deletion,augmented_minus_baseline
CDK2,KiRHub,top_15_average_precision,0.55,0.05474027087978289
CSF1R,DAVIS,continuous_spearman,0.55,0.028269373845009216
CSF1R,DAVIS,top_5_roc_auc,0.55,0.03292181069958844
CSF1R,DAVIS,top_5_average_precision,0.55,0.024313272081442988
CSF1R,DAVIS,top_10_roc_auc,0.55,0.030864197530864224
CSF1R,DAVIS,top_10_average_precision,0.55,0.029834240223508057
CSF1R,DAVIS,top_15_roc_auc,0.55,0.03289124668435006
CSF1R,DAVIS,top_15_average_precision,0.55,0.02892902001452663
CSF1R,PKIS2,continuous_spearman,0.55,0.01336309309525524
CSF1R,PKIS2,top_5_roc_auc,0.55,0.0185185185185186
CSF1R,PKIS2,top_5_average_precision,0.55,0.019743762655548586
CSF1R,PKIS2,top_10_roc_auc,0.55,0.019244734931009422
CSF1R,PKIS2,top_10_average_precision,0.55,0.019038380703886887
CSF1R,PKIS2,top_15_roc_auc,0.55,0.022811671087533125
CSF1R,PKIS2,top_15_average_precision,0.55,0.023508399533650526
CSF1R,KiRHub,continuous_spearman,0.55,0.02321741426068591
CSF1R,KiRHub,top_5_roc_auc,0.55,0.01989026063100141
CSF1R,KiRHub,top_5_average_precision,0.55,0.03167388231295454
CSF1R,KiRHub,top_10_roc_auc,0.55,0.024691358024691357
CSF1R,KiRHub,top_10_average_precision,0.55,0.030626693728767806
CSF1R,KiRHub,top_15_roc_auc,0.55,0.02811671087533152
CSF1R,KiRHub,top_15_average_precision,0.55,0.027426069024133914
EGFR,DAVIS,continuous_spearman,0.55,0.012940696474428193
EGFR,DAVIS,top_5_roc_auc,0.55,0.014403292181069949
EGFR,DAVIS,top_5_average_precision,0.55,0.044748472205657586
EGFR,DAVIS,top_10_roc_auc,0.55,0.014524328249818419
EGFR,DAVIS,top_10_average_precision,0.55,0.03161709490943415
EGFR,DAVIS,top_15_roc_auc,0.55,0.0177718832891246
EGFR,DAVIS,top_15_average_precision,0.55,0.026332504918120836
EGFR,PKIS2,continuous_spearman,0.55,0.009662322701418313
EGFR,PKIS2,top_5_roc_auc,0.55,0.013031550068587139
EGFR,PKIS2,top_5_average_precision,0.55,0.009347163274936926
EGFR,PKIS2,top_10_roc_auc,0.55,0.010530137981118348
EGFR,PKIS2,top_10_average_precision,0.55,0.008489433997228568
EGFR,PKIS2,top_15_roc_auc,0.55,0.01485411140583548
EGFR,PKIS2,top_15_average_precision,0.55,0.026378513098198053
EGFR,KiRHub,continuous_spearman,0.55,0.014637482900136778
EGFR,KiRHub,top_5_roc_auc,0.55,0.010288065843621408
EGFR,KiRHub,top_5_average_precision,0.55,0.0044498342344437
EGFR,KiRHub,top_10_roc_auc,0.55,0.017066085693536737
EGFR,KiRHub,top_10_average_precision,0.55,0.033524061203409394
EGFR,KiRHub,top_15_roc_auc,0.55,0.019098143236074283
EGFR,KiRHub,top_15_average_precision,0.55,0.029547161398302713
FGFR1,DAVIS,continuous_spearman,0.6,0.01667506659946716
FGFR1,DAVIS,top_5_roc_auc,0.6,0.023319615912208436
FGFR1,DAVIS,top_5_average_precision,0.6,0.05799684661305354
FGFR1,DAVIS,top_10_roc_auc,0.6,0.024691358024691357
FGFR1,DAVIS,top_10_average_precision,0.6,0.07402408741838473
FGFR1,DAVIS,top_15_roc_auc,0.6,0.023342175066312976
FGFR1,DAVIS,top_15_average_precision,0.6,0.05491800086529092
FGFR1,PKIS2,continuous_spearman,0.6,0.013883888928888588
FGFR1,PKIS2,top_5_roc_auc,0.6,0.032235939643347034
FGFR1,PKIS2,top_5_average_precision,0.6,0.05411673515080084
FGFR1,PKIS2,top_10_roc_auc,0.6,0.012708787218591144
FGFR1,PKIS2,top_10_average_precision,0.6,0.02624696186548381
FGFR1,PKIS2,top_15_roc_auc,0.6,0.018832891246684302
FGFR1,PKIS2,top_15_average_precision,0.6,0.05182760398951175
FGFR1,KiRHub,continuous_spearman,0.6,0.01113591091271271
FGFR1,KiRHub,top_5_roc_auc,0.6,0.013031550068587028
FGFR1,KiRHub,top_5_average_precision,0.6,0.040888458727272814
FGFR1,KiRHub,top_10_roc_auc,0.6,0.016339869281045694
FGFR1,KiRHub,top_10_average_precision,0.6,0.07001412710019911
FGFR1,KiRHub,top_15_roc_auc,0.6,0.022546419098143256
FGFR1,KiRHub,top_15_average_precision,0.6,0.057983312432472955
IGF1R,DAVIS,continuous_spearman,0.55,0.01636066911464712
IGF1R,DAVIS,top_5_roc_auc,0.55,0.0198902606310013
IGF1R,DAVIS,top_5_average_precision,0.55,0.02457140059120272
IGF1R,DAVIS,top_10_roc_auc,0.55,0.020697167755991286
IGF1R,DAVIS,top_10_average_precision,0.55,0.025012740196179828
IGF1R,DAVIS,top_15_roc_auc,0.55,0.017506631299734732
IGF1R,DAVIS,top_15_average_precision,0.55,0.019794678079251393
IGF1R,PKIS2,continuous_spearman,0.55,0.00987832097343222
IGF1R,PKIS2,top_5_roc_auc,0.55,0.01714677640603568
IGF1R,PKIS2,top_5_average_precision,0.55,0.015788846844030646
IGF1R,PKIS2,top_10_roc_auc,0.55,0.011619462599854802
IGF1R,PKIS2,top_10_average_precision,0.55,0.011812188348601815
IGF1R,PKIS2,top_15_roc_auc,0.55,0.012732095490716189
IGF1R,PKIS2,top_15_average_precision,0.55,0.01789988541488896
IGF1R,KiRHub,continuous_spearman,0.55,0.015518275853793173
IGF1R,KiRHub,top_5_roc_auc,0.55,0.01440329218107006
IGF1R,KiRHub,top_5_average_precision,0.55,0.012670270996714472
IGF1R,KiRHub,top_10_roc_auc,0.55,0.017429193899782147
IGF1R,KiRHub,top_10_average_precision,0.55,0.024617512345524395
IGF1R,KiRHub,top_15_roc_auc,0.55,0.020954907161803704
IGF1R,KiRHub,top_15_average_precision,0.55,0.025125409459575032
JAK2,DAVIS,continuous_spearman,0.6,0.020049439604483188
JAK2,DAVIS,top_5_roc_auc,0.6,0.013031550068587139
JAK2,DAVIS,top_5_average_precision,0.6,0.02833206324131765
JAK2,DAVIS,top_10_roc_auc,0.6,0.021060275962236807
JAK2,DAVIS,top_10_average_precision,0.6,0.05216543330080953
JAK2,DAVIS,top_15_roc_auc,0.6,0.023076923076923106
JAK2,DAVIS,top_15_average_precision,0.6,0.04354377700642681
JAK2,PKIS2,continuous_spearman,0.6,0.01486788105695147
JAK2,PKIS2,top_5_roc_auc,0.6,0.024691358024691357
JAK2,PKIS2,top_5_average_precision,0.6,0.040717998047831605
JAK2,PKIS2,top_10_roc_auc,0.6,0.012345679012345734
JAK2,PKIS2,top_10_average_precision,0.6,0.022288555717216774
JAK2,PKIS2,top_15_roc_auc,0.6,0.01538461538461533
JAK2,PKIS2,top_15_average_precision,0.6,0.03831521417805289
JAK2,KiRHub,continuous_spearman,0.6,0.022965416276669703
JAK2,KiRHub,top_5_roc_auc,0.6,0.017832647462277196
JAK2,KiRHub,top_5_average_precision,0.6,0.03497783106592478
JAK2,KiRHub,top_10_roc_auc,0.6,0.017429193899782147
JAK2,KiRHub,top_10_average_precision,0.6,0.053576589665631835
JAK2,KiRHub,top_15_roc_auc,0.6,0.023872679045092826
JAK2,KiRHub,top_15_average_precision,0.6,0.04801875265339761
KDR,DAVIS,continuous_spearman,0.55,0.026942184462524332
KDR,DAVIS,top_5_roc_auc,0.55,0.043209876543209846
KDR,DAVIS,top_5_average_precision,0.55,0.032533739910815235
KDR,DAVIS,top_10_roc_auc,0.55,0.0374001452432825
KDR,DAVIS,top_10_average_precision,0.55,0.04008437126878689
KDR,DAVIS,top_15_roc_auc,0.55,0.037931034482758585
KDR,DAVIS,top_15_average_precision,0.55,0.03482802334249041
KDR,PKIS2,continuous_spearman,0.55,0.015568675450596425
KDR,PKIS2,top_5_roc_auc,0.55,0.030178326474622708
KDR,PKIS2,top_5_average_precision,0.55,0.026248196074688396
KDR,PKIS2,top_10_roc_auc,0.55,0.019970951343500354
KDR,PKIS2,top_10_average_precision,0.55,0.018747623441711075
KDR,PKIS2,top_15_roc_auc,0.55,0.023342175066312976
KDR,PKIS2,top_15_average_precision,0.55,0.025949868175285884
KDR,KiRHub,continuous_spearman,0.55,0.035889312885496905
KDR,KiRHub,top_5_roc_auc,0.55,0.03017832647462282
