pocket_identity_quartile,target_pairs,mean_pocket_identity,mean_ungated_absolute_error_gain,median_ungated_absolute_error_gain
Q1_lowest,48,0.3129901960784313,0.0038271123081270214,0.005143541797956924
Q2,51,0.35363321799307956,0.0018332267420109083,0.0027603553058584973
Q3,49,0.40288115246098444,0.002233838302890317,0.0016403231487885177
Q4_highest,42,0.5445378151260505,0.0026491838821783584,0.0032340174964229453
