target_a,target_b,klifs_pocket_identity,ungated_locked_mean_absolute_error_gain,pocket_identity_quartile
ABL1,AKT1,0.3294117647058823,0.02129428006279721,Q1_lowest
ABL1,AKT2,0.3058823529411765,0.00981223850861035,Q1_lowest
ABL1,CDK2,0.4,0.015814992251768578,Q3
ABL1,CSF1R,0.5058823529411764,-0.005649780503094504,Q4_highest
ABL1,EGFR,0.5529411764705883,0.009829528821666877,Q4_highest
ABL1,FGFR1,0.5294117647058824,0.0046547927556899555,Q4_highest
ABL1,IGF1R,0.5882352941176471,0.018568032366584053,Q4_highest
ABL1,JAK2,0.4941176470588235,0.004618794378389228,Q4_highest
ABL1,KDR,0.4941176470588235,0.0030208063191740444,Q4_highest
ABL1,KIT,0.5176470588235295,0.013104629787905553,Q4_highest
ABL1,LCK,0.5647058823529412,-0.009382819128631925,Q4_highest
ABL1,MAP2K1,0.3647058823529411,-0.005614994589762778,Q2
ABL1,MAPK1,0.3294117647058823,0.015524095422742745,Q1_lowest
ABL1,MAPK14,0.388235294117647,-0.001545229783266137,Q3
ABL1,MAPKAPK2,0.3176470588235294,0.009634406321777533,Q1_lowest
ABL1,MET,0.4941176470588235,0.0023996871941695717,Q4_highest
ABL1,PLK1,0.2823529411764706,0.015440844673908993,Q1_lowest
ABL1,ROCK1,0.3647058823529411,0.018106346988675137,Q2
ABL1,SRC,0.6,-0.01897242256748355,Q4_highest
AKT1,AKT2,0.8705882352941177,0.013081992278292764,Q4_highest
AKT1,CDK2,0.2941176470588235,0.01446178893900063,Q1_lowest
AKT1,CSF1R,0.3529411764705882,0.009448077028904933,Q2
AKT1,EGFR,0.3294117647058823,0.011200578947825002,Q1_lowest
AKT1,FGFR1,0.3411764705882353,0.00748852317231478,Q2
AKT1,IGF1R,0.3176470588235294,-0.0032320393188750574,Q1_lowest
AKT1,JAK2,0.3411764705882353,0.00029354566561656803,Q2
AKT1,KDR,0.3294117647058823,0.014558843172112404,Q1_lowest
AKT1,KIT,0.388235294117647,0.0013553772547605092,Q3
AKT1,LCK,0.3411764705882353,-0.010403640316239138,Q2
AKT1,MAP2K1,0.2941176470588235,-0.005297550954290631,Q1_lowest
AKT1,MAPK1,0.3294117647058823,-0.003542906005517543,Q1_lowest
AKT1,MAPK14,0.2941176470588235,-0.004955510881962,Q1_lowest
AKT1,MAPKAPK2,0.3529411764705882,0.009315208721156432,Q2
AKT1,MET,0.3411764705882353,0.017144126296491535,Q2
AKT1,PLK1,0.3294117647058823,0.009967775436483417,Q1_lowest
AKT1,ROCK1,0.388235294117647,0.018952739604714997,Q3
AKT1,SRC,0.3647058823529411,-0.017151525503153242,Q2
AKT2,CDK2,0.3058823529411765,0.006463196595440257,Q1_lowest
AKT2,CSF1R,0.3647058823529411,-2.934854222202965e-05,Q2
AKT2,EGFR,0.3411764705882353,0.004590168726028521,Q2
AKT2,FGFR1,0.3647058823529411,0.002776667132245595,Q2
AKT2,IGF1R,0.3176470588235294,-0.005556061842485027,Q1_lowest
AKT2,JAK2,0.3411764705882353,0.0041820493891721044,Q2
AKT2,KDR,0.3647058823529411,0.0027603553058584973,Q2
