target_a,target_b,klifs_pocket_identity,ungated_locked_mean_absolute_error_gain,pocket_identity_quartile
MAPK1,SRC,0.3764705882352941,-0.004453552917066728,Q3
MAPK14,MAPKAPK2,0.3411764705882353,0.004105859247770516,Q2
MAPK14,MET,0.3647058823529411,-0.009714369945767187,Q2
MAPK14,PLK1,0.3176470588235294,-0.0018152374717995134,Q1_lowest
MAPK14,ROCK1,0.3529411764705882,-0.0015465676443663183,Q2
MAPK14,SRC,0.3647058823529411,-0.008535037143549085,Q2
MAPKAPK2,MET,0.3176470588235294,-0.009509667553711298,Q1_lowest
MAPKAPK2,PLK1,0.3294117647058823,0.01077754978926182,Q1_lowest
MAPKAPK2,ROCK1,0.3764705882352941,0.011545868963341088,Q3
MAPKAPK2,SRC,0.3176470588235294,-0.011729573870645382,Q1_lowest
MET,PLK1,0.3058823529411765,-0.011852344307391202,Q1_lowest
MET,ROCK1,0.4352941176470588,0.01450357714942141,Q3
MET,SRC,0.4117647058823529,0.01659877363493162,Q3
PLK1,ROCK1,0.2823529411764706,0.011337167500578782,Q1_lowest
PLK1,SRC,0.3176470588235294,-0.01680709708575312,Q1_lowest
ROCK1,SRC,0.3764705882352941,-0.024780608199991783,Q3
