metric,observed_mean_degree_prior_increment,minimum_panel_delta,maximum_panel_delta,degree_target_label_qap_p_positive,holm_p_across_three_primary_metrics,null_mean,null_q025,null_q975,permutations,seed
continuous_spearman,0.19755438625650804,0.14194299011052935,0.23629755015811782,0.0016799664006719867,0.004439911201775964,0.008507337896807163,-0.022190788197952716,0.07730743379682482,50000,20260822
top_10_roc_auc,0.12393556991894938,0.1157279162819328,0.13111726685133884,0.0014799704005919881,0.004439911201775964,-0.004074999487021673,-0.06207038062993745,0.05786395814096642,50000,20260822
top_10_average_precision,0.08874909434535866,0.07791047465532819,0.09683264607456388,0.02023959520809584,0.02023959520809584,0.008868728923720329,-0.03197587906245136,0.0833081932480826,50000,20260822
