dataset,transformation,observed_low_high_geometry_spearman,global_mw_matched_group_disjoint_median,global_mw_matched_group_disjoint_q025,within_low_mw_group_disjoint_median,within_low_mw_group_disjoint_q025,within_high_mw_group_disjoint_median,within_high_mw_group_disjoint_q025,observed_below_global_group_disjoint_q025,observed_below_both_within_band_group_disjoint_q025,interpretation
Docking-44,raw,0.2272436943147387,0.99562224950108347,0.99194481980341842,0.98890717047442067,0.98429990794004429,0.98941494425888221,0.98285763683912042,True,True,descriptive separation from chemical-disjoint controls; not causal attribution to molecular weight
Docking-44,row_centered_residual,0.20496480945389367,0.99170153509683467,0.98534493850792548,0.97988134014263018,0.97359712679670429,0.97876654968081989,0.9664119353274826,True,True,descriptive separation from chemical-disjoint controls; not causal attribution to molecular weight
DOCKSTRING-58,raw,0.40947327442193726,0.99773338476378504,0.99679462961851917,0.99120694620777128,0.98834410006533613,0.9800006390725311,0.971849855498777,True,True,descriptive separation from chemical-disjoint controls; not causal attribution to molecular weight
DOCKSTRING-58,row_centered_residual,0.35059784207093159,0.99448185816977808,0.99287537757260091,0.97851615573180006,0.97278361734192353,0.96622584167544745,0.95762617015777185,True,True,descriptive separation from chemical-disjoint controls; not causal attribution to molecular weight
