dataset,support_seed,support_ligands,transformation,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_median_molecular_weight,high_median_molecular_weight,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_absolute_correlation,second_mean_absolute_correlation
DOCKSTRING-58,71,15000,raw,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.57300000000021,0.40947327442193726,0.59052672557806274,0.017543859649122806,0.14089347079037801,1.7509677205005809,3.080338511406147,0.74189454009214972,0.53587997823645417
DOCKSTRING-58,71,15000,row_centered_residual,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.57300000000021,0.35059784207093159,0.64940215792906841,0.3666061705989111,0.16083916083916083,19.552064499216343,23.799697948677796,0.15016451663472777,0.12368696855924498
DOCKSTRING-58,72,15000,raw,324.40025000000009,450.54225000000019,3750,3750,285.73400000000004,499.55800000000033,0.39349177981997474,0.60650822018002526,0.023593466424682397,0.14878892733564014,1.7677874573847663,3.0759774536356939,0.73811221632214175,0.53543840549332256
DOCKSTRING-58,72,15000,row_centered_residual,324.40025000000009,450.54225000000019,3750,3750,285.73400000000004,499.55800000000033,0.34065741343982553,0.65934258656017453,0.3666061705989111,0.1649122807017544,19.436387025357746,24.417487902111905,0.15085782895642533,0.12033528153740608
DOCKSTRING-58,73,15000,raw,325.30900000000008,450.45775000000015,3750,3750,287.33850000000001,499.2210000000004,0.40916175645230124,0.59083824354769876,0.021173623714458561,0.156794425087108,1.7900255696708651,3.1421241137692579,0.73271491627123342,0.53030670217684583
DOCKSTRING-58,73,15000,row_centered_residual,325.30900000000008,450.45775000000015,3750,3750,287.33850000000001,499.2210000000004,0.35992609054709274,0.64007390945290732,0.35934664246823955,0.16083916083916083,19.564936878197546,23.938078636321812,0.15063622084277309,0.12206469264618683
DOCKSTRING-58,74,15000,raw,323.35200000000003,451.45375000000013,3751,3750,284.44299999999993,498.61300000000028,0.38666619612536068,0.61333380387463932,0.022383545069570479,0.15277777777777779,1.7594373067080662,3.1159539152499152,0.74006582768760421,0.53226039727165497
DOCKSTRING-58,74,15000,row_centered_residual,323.35200000000003,451.45375000000013,3751,3750,284.44299999999993,498.61300000000028,0.32540387277103661,0.67459612722896334,0.36297640653357532,0.14878892733564014,19.205658979490938,23.835132054803672,0.15277957262572459,0.12320202478563835
DOCKSTRING-58,75,15000,raw,325.36400000000003,450.48275000000018,3752,3750,286.30399999999997,495.82600000000025,0.40250589069768267,0.59749410930231739,0.016938898971566849,0.1649122807017544,1.7743935313859385,3.065790509903533,0.73594707076806409,0.53791367422217906
DOCKSTRING-58,75,15000,row_centered_residual,325.36400000000003,450.48275000000018,3752,3750,286.30399999999997,495.82600000000025,0.36102479369214213,0.63897520630785787,0.3599516031457955,0.18149466192170818,19.664399604325379,24.123018724597042,0.15011328158987772,0.12159889387757501
DOCKSTRING-58,20260809,15000,raw,325.33850000000007,449.57775000000026,3750,3750,286.375,497.46150000000034,0.37736794053937817,0.62263205946062183,0.018753781004234724,0.13698630136986301,1.7491367060703391,3.0224471935302661,0.74211499525456448,0.54152306209029344
DOCKSTRING-58,20260809,15000,row_centered_residual,325.33850000000007,449.57775000000026,3750,3750,286.375,497.46150000000034,0.33180070612121332,0.66819929387878663,0.37507562008469447,0.15277777777777779,19.202031529817646,23.886230820972262,0.15245535978761218,0.12328089692685727
