dataset,control_type,transformation,repetitions,geometry_spearman_mean,geometry_spearman_median,geometry_spearman_q025,geometry_spearman_q975,sign_flip_fraction_mean,sign_flip_fraction_median,sign_flip_fraction_q025,sign_flip_fraction_q975,top_positive_10pct_pair_jaccard_mean,top_positive_10pct_pair_jaccard_median,top_positive_10pct_pair_jaccard_q025,top_positive_10pct_pair_jaccard_q975,absolute_median_mw_difference_mean,absolute_median_mw_difference_median,absolute_median_mw_difference_q025,absolute_median_mw_difference_q975,mw_ks_statistic_mean,mw_ks_statistic_median,mw_ks_statistic_q025,mw_ks_statistic_q975,first_ligands_mean,first_ligands_median,first_ligands_q025,first_ligands_q975,second_ligands_mean,second_ligands_median,second_ligands_q025,second_ligands_q975,chemical_group_overlap_mean,chemical_group_overlap_median,chemical_group_overlap_q025,chemical_group_overlap_q975
DOCKSTRING-58,mw_matched_chemical_group_disjoint,raw,200,0.99769534469801291,0.99773338476378504,0.99679462961851917,0.99833951340346883,0.0044706594071385365,0.0042347247428917122,0.0018148820326678765,0.0072595281306715061,0.86769200662820267,0.8651685393258427,0.83425414364640882,0.90804597701149425,1.318052499999991,1.0427499999999554,0.043699999999928713,2.9626875000000457,0.016254999943597442,0.01623267627694433,0.009390342228288889,0.021879940089590422,7502.5200000000004,7501,7422.8000000000002,7581.3000000000002,7497.4799999999996,7499,7418.6999999999998,7577.1999999999998,0,0,0,0
DOCKSTRING-58,mw_matched_chemical_group_disjoint,row_centered_residual,200,0.99435914665267133,0.99448185816977808,0.99287537757260091,0.99523510101918378,0.027915910465819725,0.027828191167574106,0.022988505747126436,0.034513006654567462,0.90006488585635736,0.89714285714285713,0.8651685393258427,0.93023255813953487,1.318052499999991,1.0427499999999554,0.043699999999928713,2.9626875000000457,0.016254999943597442,0.01623267627694433,0.009390342228288889,0.021879940089590422,7502.5200000000004,7501,7422.8000000000002,7581.3000000000002,7497.4799999999996,7499,7418.6999999999998,7577.1999999999998,0,0,0,0
Docking-44,mw_matched_chemical_group_disjoint,raw,200,0.99531803605097469,0.99562224950108347,0.99194481980341842,0.99728428659275126,0.0016649048625792813,0.0021141649048625794,0,0.0031712473572938688,0.77241980158844536,0.77570093457943923,0.66666666666666663,0.84466019417475724,0.80399499999997426,0.46974999999997635,0.025599999999954555,2.0215249999999703,0.011273313091195723,0.010887668515804333,0.0076580750156577584,0.016270336082415439,6324.96,6325,6312.9750000000004,6335.0249999999996,6326.04,6326,6315.9750000000004,6338.0249999999996,0,0,0,0
Docking-44,mw_matched_chemical_group_disjoint,row_centered_residual,200,0.99131974946679879,0.99170153509683467,0.98534493850792548,0.99470442673409176,0.038974630021141647,0.038054968287526428,0.027457716701902748,0.053937632135306557,0.84901641697530561,0.86274509803921573,0.7592592592592593,0.91919191919191923,0.80399499999997426,0.46974999999997635,0.025599999999954555,2.0215249999999703,0.011273313091195723,0.010887668515804333,0.0076580750156577584,0.016270336082415439,6324.96,6325,6312.9750000000004,6335.0249999999996,6326.04,6326,6315.9750000000004,6338.0249999999996,0,0,0,0
