dataset,support_seed,support_ligands,transformation,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_median_molecular_weight,high_median_molecular_weight,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_absolute_correlation,second_mean_absolute_correlation
Docking-44,,12651,raw,218.29999999999995,349.33300000000008,3163,3163,178.054,413.60200000000026,0.2272436943147387,0.77275630568526132,0.02748414376321353,0.049723756906077346,1.1872844551689294,2.9949607528316653,0.91185733602438235,0.50727851264301149
Docking-44,,12651,row_centered_residual,218.29999999999995,349.33300000000008,3163,3163,178.054,413.60200000000026,0.20496480945389367,0.79503519054610639,0.42494714587737842,0.079545454545454544,13.62457616857832,10.147009176104564,0.17482474424270331,0.23498785535833677
DOCKSTRING-58,71,15000,raw,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.57300000000021,0.40947327442193726,0.59052672557806274,0.017543859649122806,0.14089347079037801,1.7509677205005809,3.080338511406147,0.74189454009214972,0.53587997823645417
DOCKSTRING-58,71,15000,row_centered_residual,325.36800000000005,449.49125000000026,3751,3750,286.31000000000006,498.57300000000021,0.35059784207093159,0.64940215792906841,0.3666061705989111,0.16083916083916083,19.552064499216343,23.799697948677796,0.15016451663472777,0.12368696855924498
