panel_a,panel_b,support_a,support_b,targets,target_pairs,transform,edge_spearman,target_label_qap_p_two_sided,target_label_qap_null_spearman_median,top_decile_precision,top_decile_precision_null_median,top_decile_precision_above_null,top_decile_jaccard,top_decile_jaccard_null_median,edge_sign_agreement_fraction,edge_sign_agreement_null_median,edge_sign_agreement_above_null,permutations,seed,interpretation
DAVIS,PKIS2,67 informative released profiles,644 informative released profiles,21,210,two_way_centered,0.8484034299449614,0.0001,-0.011109419390786315,0.5714285714285714,0.09523809523809523,0.47619047619047616,0.4,0.05,0.7952380952380952,0.5190476190476191,0.2761904761904761,9999,25260810,"Independent-panel agreement is an external reproducibility benchmark, not a formal noise ceiling, because assay technology and chemical support differ between panels."
DAVIS,PKIS2,67 informative released profiles,644 informative released profiles,21,210,raw,0.582087057367676,0.0001,-0.004110880389254048,0.5238095238095238,0.09523809523809523,0.4285714285714286,0.3548387096774194,0.05,0.7476190476190476,0.6904761904761905,0.05714285714285716,9999,25260811,"Independent-panel agreement is an external reproducibility benchmark, not a formal noise ceiling, because assay technology and chemical support differ between panels."
