panel,experimental_ligands,targets,raw_docking_raw_experiment,raw_docking_centered_experiment,centered_docking_centered_experiment,experimental_estimand_increment,docking_transform_increment,docking_transform_increment_with_raw_experiment,experimental_estimand_increment_with_centered_docking,two_factor_interaction,path_averaged_experimental_fraction,fraction_before_docking_centering,paired_qap_docking_increment_p_positive,paired_qap_docking_increment_with_raw_experiment_p_positive,paired_qap_docking_increment_with_raw_experiment_null_lower_95,paired_qap_docking_increment_with_raw_experiment_null_upper_95,matched_support_docking_increment_with_raw_experiment,matched_null_mean_docking_increment_with_raw_experiment,matched_null_p_positive_docking_increment_with_raw_experiment,matched_support_docking_increment_with_centered_experiment,matched_null_mean_docking_increment_with_centered_experiment,matched_null_p_positive_docking_increment_with_centered_experiment
DAVIS,72,20,0.050220665100797375,0.2634080839095995,0.27979984866179414,0.21318741880880215,0.016391764752194615,0.16838256198961632,0.06119662157138045,-0.1519907972374217,0.5975803993293705,0.9286008230452676,0.33536,0.01512,-0.15221036885407235,0.1528050492723956,0.16249349376932737,0.022579362017609468,0.0029985007496251873,0.010245509060609614,0.02607027516435067,0.6901549225387307
PKIS2,645,20,-0.21524054464258383,0.24349442541782032,0.287170806597646,0.45873497006040415,0.04367638117982567,0.2485708162203065,0.2538405350199233,-0.20489443504048083,0.7091554592877888,0.9130664920846072,0.14606,0.00152,-0.1702362363150459,0.1712159106317276,0.24284620801567625,-0.06668872005493666,0.0004997501249375312,0.03410095920429354,0.005010559557707532,0.17191404297851073
PKIS1,360,20,-0.1592384101615295,0.17278186740848633,0.1736426581287425,0.33202027757001584,0.0008607907202561604,0.21795326011363492,0.11492780817663709,-0.21709246939337876,0.6713329899508051,0.9974141193289324,0.46218,0.00536,-0.17460055024122262,0.17320780135329583,0.21509620473522378,-0.019963955263376597,0.0004997501249375312,-0.005848828003691631,-0.004706463366094119,0.512743628185907
KiRHub,92,20,-0.029274757574564686,0.27611174533191624,0.32158843881081417,0.30538650290648095,0.045476693478897934,0.2644447068806397,0.08641848950473918,-0.21896801340174174,0.5583443867120105,0.8703862532536826,0.1255,8e-05,-0.14168475289445254,0.1472671206812842,0.2609980448503458,0.02594360333643883,0.0004997501249375312,0.041052019227825254,0.0015894973034680949,0.07296351824087956
