inchikey,row_mean_all_44,row_mean_local_targets,local_minus_all_row_mean,observed_targets,eligible_nontied_target_pairs,changed_pair_predictions,accuracy_all_44_row_mean,accuracy_local_target_row_mean,local_minus_all_accuracy,accuracy_absolute_vina,accuracy_column_standardized
MRBDMNSDAVCSSF-UHFFFAOYSA-N,-8.070454545454542,-8.155263157894737,-0.08480861244019522,5,10,0,0.5,0.5,0.0,0.6,0.4
MXYUKLILVYORSK-HBMCJLEFSA-N,-8.665909090909091,-8.763157894736842,-0.09724880382775147,2,1,0,1.0,1.0,0.0,1.0,1.0
NLBUEDSBXVNAPB-DFQSSKMNSA-N,-8.142674906647487,-8.246781470854987,-0.10410656420750009,3,3,0,0.0,0.0,0.0,0.0,0.0
NTYJJOPFIAHURM-UHFFFAOYSA-N,-4.404545454545455,-4.421052631578948,-0.01650717703349258,2,1,0,0.0,0.0,0.0,1.0,1.0
ODQWQRRAPPTVAG-GZTJUZNOSA-N,-8.259090909090908,-8.381578947368421,-0.12248803827751331,2,1,0,1.0,1.0,0.0,1.0,1.0
OGAKLTJNUQRZJU-UHFFFAOYSA-N,-8.274999999999999,-8.373684210526315,-0.09868421052631682,5,10,0,0.7,0.7,0.0,0.4,0.6
OIGNJSKKLXVSLS-VWUMJDOOSA-N,-7.394947633920214,-7.50730778664446,-0.11236015272424549,2,1,0,1.0,1.0,0.0,1.0,1.0
OROGSEYTTFOCAN-DNJOTXNNSA-N,-8.30858399755658,-8.438886734012883,-0.13030273645630253,3,3,0,0.0,0.0,0.0,0.3333333333333333,0.0
PHLBKPHSAVXXEF-UHFFFAOYSA-N,-8.240909090909092,-8.350000000000001,-0.10909090909090935,7,21,1,0.6190476190476191,0.6666666666666666,0.04761904761904756,0.6190476190476191,0.42857142857142855
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,-8.436363636363636,-8.55,-0.11363636363636509,12,66,0,0.7878787878787878,0.7878787878787878,0.0,0.8106060606060606,0.7727272727272727
PJMPHNIQZUBGLI-UHFFFAOYSA-N,-8.211363636363636,-8.318421052631576,-0.1070574162679403,6,15,0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.3333333333333333
PLDUPXSUYLZYBN-UHFFFAOYSA-N,-7.831311270283849,-7.915202523486563,-0.08389125320271429,19,171,4,0.4678362573099415,0.45614035087719296,-0.011695906432748537,0.5584795321637427,0.45614035087719296
QCHFTSOMWOSFHM-WPRPVWTQSA-N,-6.488636363636362,-6.505263157894734,-0.016626794258371547,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
QEVHRUUCFGRFIF-MDEJGZGSSA-N,-7.043908377512266,-7.043227664677678,0.0006807128345878155,2,1,0,0.0,0.0,0.0,1.0,0.0
QHJLPOSPWKZACG-UHFFFAOYSA-N,-8.41540217937476,-8.475728839276037,-0.060326659901276614,2,1,0,1.0,1.0,0.0,1.0,1.0
QHMBSVQNZZTUGM-ZWKOTPCHSA-N,-7.340909090909093,-7.386842105263159,-0.04593301435406616,8,28,0,0.39285714285714285,0.39285714285714285,0.0,0.5,0.39285714285714285
QPGGEKPRGVJKQB-UHFFFAOYSA-N,-7.69040217937476,-7.799413049802354,-0.10901087042759361,5,10,0,0.5,0.5,0.0,0.3,0.5
QSLMDECMDJKHMQ-UHFFFAOYSA-N,-8.329545454545451,-8.452631578947368,-0.12308612440191702,12,66,0,0.7121212121212122,0.7121212121212122,0.0,0.7954545454545454,0.7272727272727273
QVDSEJDULKLHCG-UHFFFAOYSA-N,-6.824999999999999,-6.860526315789474,-0.035526315789474516,3,3,0,1.0,1.0,0.0,0.6666666666666666,1.0
QZAYGJVTTNCVMB-UHFFFAOYSA-N,-6.597727272727272,-6.623684210526314,-0.025956937799041846,6,15,0,0.3333333333333333,0.3333333333333333,0.0,0.4666666666666667,0.3333333333333333
QZUDBNBUXVUHMW-UHFFFAOYSA-N,-8.344947633920217,-8.375728839276041,-0.03078120535582407,17,136,0,0.4117647058823529,0.4117647058823529,0.0,0.5073529411764706,0.35294117647058826
RCINICONZNJXQF-MZXODVADSA-N,-6.943349666667368,-7.016264946857271,-0.07291528018990334,2,1,0,1.0,1.0,0.0,0.5,1.0
RDOIQAHITMMDAJ-UHFFFAOYSA-N,-8.098531980177011,-8.19830018757338,-0.09976820739636949,10,45,0,0.5333333333333333,0.5333333333333333,0.0,0.4666666666666667,0.5777777777777777
REFJWTPEDVJJIY-UHFFFAOYSA-N,-8.613129452102031,-8.69151831296025,-0.07838886085821883,3,3,0,0.0,0.0,0.0,0.6666666666666666,0.0
RGCVKNLCSQQDEP-UHFFFAOYSA-N,-7.49040217937476,-7.541518312960248,-0.051116133585487944,4,5,0,0.8,0.8,0.0,0.8,0.8
RHCSKNNOAZULRK-UHFFFAOYSA-N,-5.71590909090909,-5.765789473684211,-0.04988038277512086,2,1,0,0.0,0.0,0.0,1.0,0.0
RMEDXOLNCUSCGS-UHFFFAOYSA-N,-9.094947633920214,-9.194149891907616,-0.09920225798740212,7,20,0,0.6,0.6,0.0,0.7,0.4
RMHMFHUVIITRHF-UHFFFAOYSA-N,-8.035856724829307,-8.162570944539198,-0.12671421970989094,3,3,0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666
RQDLDNLBJUDOFV-UHFFFAOYSA-N,-7.952272727272725,-8.023684210526314,-0.07141148325358859,2,1,0,1.0,1.0,0.0,1.0,1.0
RSDOPYMFZBJHRL-UHFFFAOYSA-N,-6.475,-6.528947368421052,-0.053947368421052744,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
RUZIUYOSRDWYQF-HNNXBMFYSA-N,-7.201765815738397,-7.270465681381299,-0.06869986564290187,5,10,0,0.4,0.4,0.0,0.5,0.3
SMANXXCATUTDDT-QPJJXVBHSA-N,-9.38812945210203,-9.475728839276035,-0.08759938717400573,14,91,1,0.4835164835164835,0.4725274725274725,-0.010989010989011005,0.5439560439560439,0.4725274725274725
SPCIYGNTAMCTRO-UHFFFAOYSA-N,-6.606818181818183,-6.663157894736843,-0.05633971291865958,6,15,0,0.4,0.4,0.0,0.43333333333333335,0.4
STECJAGHUSJQJN-FWXGHANASA-N,-7.665909090909091,-7.81842105263158,-0.15251196172248882,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
SZOCKYDZSPRJPT-UHFFFAOYSA-N,-7.33409090909091,-7.452631578947369,-0.1185406698564595,2,1,0,1.0,1.0,0.0,1.0,1.0
TTWJBBZEZQICBI-UHFFFAOYSA-N,-6.429545454545454,-6.4868421052631575,-0.057296650717703734,4,6,1,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.4166666666666667,0.8333333333333334
UIQMVEYFGZJHCZ-SSTWWWIQSA-N,-8.235856724829306,-8.309939365591829,-0.0740826407625228,3,3,0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.3333333333333333
UNBRKDKAWYKMIV-QWQRMKEZSA-N,-7.635856724829307,-7.733623576118145,-0.09776685128883766,5,10,0,0.8,0.8,0.0,0.8,0.8
UQCNKQCJZOAFTQ-ISWURRPUSA-N,-7.615402179374763,-7.696781470854986,-0.08137929148022316,3,3,0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666
UQOFGTXDASPNLL-XHNCKOQMSA-N,-4.970454545454546,-4.992105263157895,-0.021650717703349365,2,1,0,1.0,1.0,0.0,1.0,1.0
UZHSEJADLWPNLE-GRGSLBFTSA-N,-7.669947633920214,-7.765202523486566,-0.09525488956635186,3,3,0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666
VAYOSLLFUXYJDT-RDTXWAMCSA-N,-8.204038543011123,-8.23625515506551,-0.03221661205438764,6,15,0,0.6,0.6,0.0,0.6,0.6666666666666666
VMWNQDUVQKEIOC-CYBMUJFWSA-N,-8.54090909090909,-8.581578947368419,-0.04066985645932952,6,15,0,0.5333333333333333,0.5333333333333333,0.0,0.7,0.26666666666666666
VMXUWOKSQNHOCA-UHFFFAOYSA-N,-5.784090909090907,-5.855263157894735,-0.071172248803828,2,1,0,1.0,1.0,0.0,0.0,1.0
VOKSWYLNZZRQPF-CCKFTAQKSA-N,-7.91590909090909,-7.971052631578945,-0.05514354066985483,3,3,0,0.6666666666666666,0.6666666666666666,0.0,0.8333333333333334,0.6666666666666666
VTTONGPRPXSUTJ-UHFFFAOYSA-N,-6.7636363636363654,-6.792105263157896,-0.02846889952153031,3,3,0,0.0,0.0,0.0,0.0,0.0
VYFYYTLLBUKUHU-UHFFFAOYSA-N,-6.0090909090909115,-6.031578947368421,-0.022488038277509226,5,10,0,0.6,0.6,0.0,0.25,0.5
WCJFBSYALHQBSK-UHFFFAOYSA-N,-7.170454545454546,-7.294736842105261,-0.12428229665071555,2,1,0,1.0,1.0,0.0,0.0,1.0
WHQCHUCQKNIQEC-UHFFFAOYSA-N,-8.376765815738397,-8.452044628749723,-0.07527881301132666,2,1,0,0.0,0.0,0.0,0.0,0.0
WIKYUJGCLQQFNW-UHFFFAOYSA-N,-7.801765815738396,-7.844149891907615,-0.042384076169219576,13,78,0,0.5897435897435898,0.5897435897435898,0.0,0.6923076923076923,0.6025641025641025
WJFKNYWRSNBZNX-UHFFFAOYSA-N,-7.48409090909091,-7.51842105263158,-0.034330143540669766,5,10,0,0.5,0.5,0.0,0.6,0.5
WRGOSJVRKURGMQ-UHFFFAOYSA-N,-8.488636363636365,-8.573684210526318,-0.08504784688995315,2,1,0,0.0,0.0,0.0,0.0,0.0
WSPOMRSOLSGNFJ-AUWJEWJLSA-N,-7.90909090909091,-7.944736842105264,-0.03564593301435437,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333
WVLOADHCBXTIJK-YNHQPCIGSA-N,-8.25403854301112,-8.283623576118142,-0.029585033107021985,3,3,0,1.0,1.0,0.0,0.6666666666666666,1.0
WVVSZNPYNCNODU-XTQGRXLLSA-N,-8.158583997556576,-8.199413049802354,-0.04082905224577793,5,10,0,0.2,0.2,0.0,0.55,0.1
WYWIFABBXFUGLM-UHFFFAOYSA-N,-7.261363636363637,-7.371052631578946,-0.1096889952153095,5,10,0,0.5,0.5,0.0,0.5,0.5
WZHJKEUHNJHDLS-QTGUNEKASA-N,-8.947220361192944,-9.025728839276038,-0.07850847808309425,12,66,2,0.5454545454545454,0.5454545454545454,0.0,0.5757575757575758,0.6060606060606061
XADCESSVHJOZHK-UHFFFAOYSA-N,-7.109090909090907,-7.178947368421052,-0.06985645933014517,3,3,0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333
XDRYMKDFEDOLFX-UHFFFAOYSA-N,-7.547727272727275,-7.60263157894737,-0.05490430622009512,7,21,0,0.5714285714285714,0.5714285714285714,0.0,0.6666666666666666,0.5238095238095238
XIUGOOSNVROHDP-LJQANCHMSA-N,-7.901698795057933,-7.920669200783185,-0.018970405725251993,2,1,0,1.0,1.0,0.0,1.0,1.0
XJGVXQDUIWGIRW-UHFFFAOYSA-N,-8.199493088465669,-8.252044628749722,-0.05255154028405329,3,3,0,0.0,0.0,0.0,0.0,0.0
XQYZDYMELSJDRZ-UHFFFAOYSA-N,-7.892674906647486,-7.967834102433933,-0.07515919578644681,4,6,0,0.5,0.5,0.0,0.5,0.5
XTKDAFGWCDAMPY-UHFFFAOYSA-N,-8.351765815738396,-8.465202523486564,-0.11343670774816772,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
YBHILYKTIRIUTE-UHFFFAOYSA-N,-8.426765815738394,-8.465202523486562,-0.03843670774816843,2,1,0,1.0,1.0,0.0,1.0,0.0
YECBIJXISLIIDS-UHFFFAOYSA-N,-7.1000000000000005,-7.218421052631581,-0.11842105263158054,7,21,0,0.8095238095238095,0.8095238095238095,0.0,0.7619047619047619,0.8571428571428571
YHDCGYWZEFIUHE-UHFFFAOYSA-N,-7.586363636363637,-7.68157894736842,-0.09521531100478331,2,1,0,1.0,1.0,0.0,1.0,1.0
YLJREFDVOIBQDA-UHFFFAOYSA-N,-7.7659090909090915,-7.815789473684211,-0.04988038277511908,5,10,1,0.5,0.4,-0.09999999999999998,0.8,0.3
YVUQSNJEYSNKRX-UHFFFAOYSA-N,-9.597220361192942,-9.662570944539196,-0.06535058334625354,6,15,1,0.26666666666666666,0.3333333333333333,0.06666666666666665,0.3333333333333333,0.26666666666666666
ZFLRVRLYWHNAEC-AWEZNQCLSA-N,-7.638129452102034,-7.6178341024339336,0.02029534966810065,3,3,0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
ZGUGWUXLJSTTMA-UHFFFAOYSA-N,-7.388636363636365,-7.476315789473683,-0.0876794258373188,12,66,3,0.7121212121212122,0.696969696969697,-0.015151515151515138,0.8106060606060606,0.7121212121212122
ZJVFLBOZORBYFE-UHFFFAOYSA-N,-7.268181818181819,-7.344736842105264,-0.07655502392344449,2,1,0,1.0,1.0,0.0,0.5,1.0
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,-7.195454545454546,-7.257894736842107,-0.06244019138756052,18,153,0,0.5163398692810458,0.5163398692810458,0.0,0.6339869281045751,0.49673202614379086
ZPUCINDJVBIVPJ-LJISPDSOSA-N,-7.654545454545455,-7.752631578947367,-0.09808612440191222,4,6,0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.5
ZVNYJIZDIRKMBF-UHFFFAOYSA-N,-8.356072425294983,-8.3809965621103,-0.0249241368153168,2,1,0,0.0,0.0,0.0,0.0,1.0
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,-7.33409090909091,-7.397368421052634,-0.06327751196172393,9,35,0,0.8,0.8,0.0,0.8857142857142857,0.8
