metric,observed_mean_locked_delta,minimum_locked_panel_delta,target_label_qap_p_positive,holm_p_across_three_primary_metrics,null_mean,null_q025,null_q975,permutations,seed
continuous_spearman,0.2626957154375176,0.20084591933586143,0.000599970001499925,0.00119994000299985,0.007997323996436705,-0.021874946237029444,0.0802491831673421,20000,20260831
top_10_roc_auc,0.14958448753462605,0.1286549707602339,0.00034998250087495624,0.0010499475026248687,-0.0052173489278752325,-0.0703831948291782,0.06535344208474403,20000,20260831
top_10_average_precision,0.12571360340470722,0.08665593659790288,0.008999550022498875,0.008999550022498875,0.009024778309094471,-0.03206844165657397,0.0869934036063939,20000,20260831
