sampling_scheme,repetition,sample_size,metric,DAVIS_augmented_minus_baseline,PKIS2_augmented_minus_baseline,KiRHub_augmented_minus_baseline,mean_locked_delta,minimum_locked_panel_delta,positive_on_every_locked_panel
uniform_random,0,10,continuous_spearman,0.38867150424053154,0.44926627213758663,0.30484588434436877,0.3809278869074957,0.30484588434436877,True
uniform_random,0,10,top_10_roc_auc,0.17543859649122806,0.1815943367189905,0.17328408741151125,0.17677234020724328,0.17328408741151125,True
uniform_random,0,10,top_10_average_precision,0.11376717599511153,0.04557777637488425,0.12657904583453933,0.0953079994015117,0.04557777637488425,True
uniform_random,0,20,continuous_spearman,0.2136912963035862,0.27381542862391584,0.13706867517834725,0.20819180003528306,0.13706867517834725,True
uniform_random,0,20,top_10_roc_auc,0.0972606955986457,0.10772545398584177,0.08925823330255456,0.09808146096234734,0.08925823330255456,True
uniform_random,0,20,top_10_average_precision,0.04361026107746699,0.06118027464069235,0.03850492634358044,0.047765154020579924,0.03850492634358044,True
uniform_random,0,40,continuous_spearman,0.262089779422378,0.3148901923219917,0.19825130015265036,0.2584104239656734,0.19825130015265036,True
uniform_random,0,40,top_10_roc_auc,0.08895044629116655,0.12311480455524781,0.11665127731609726,0.10957217605417054,0.08895044629116655,True
uniform_random,0,40,top_10_average_precision,0.07489021408127716,0.100529782580177,0.10958815582978648,0.09500271749708022,0.07489021408127716,True
uniform_random,0,80,continuous_spearman,0.1796165807188127,0.20806816342776663,0.13334208120650665,0.17367560845102867,0.13334208120650665,True
uniform_random,0,80,top_10_roc_auc,0.08125577100646353,0.08156355801785165,0.1028008618036319,0.0885400636093157,0.08125577100646353,True
uniform_random,0,80,top_10_average_precision,0.07586273651931871,0.06588129449405855,0.08645759664534028,0.07606720921957251,0.06588129449405855,True
uniform_random,0,160,continuous_spearman,0.2134533541532715,0.23668420615237917,0.12889641205981794,0.19301132412182287,0.12889641205981794,True
uniform_random,0,160,top_10_roc_auc,0.11849799938442596,0.14004309018159433,0.1117266851338874,0.12342259156663589,0.1117266851338874,True
uniform_random,0,160,top_10_average_precision,0.11000766532131417,0.09560864633235636,0.10117165709321635,0.10226265624896229,0.09560864633235636,True
uniform_random,0,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,0,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,0,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,1,10,continuous_spearman,-0.04970716494552263,0.007367458786582515,-0.0867439103867872,-0.0430278721819091,-0.0867439103867872,False
uniform_random,1,10,top_10_roc_auc,0.06186518928901208,0.049861495844875314,0.03539550630963373,0.04904073048117371,0.03539550630963373,True
uniform_random,1,10,top_10_average_precision,0.028144977618895145,0.010075945602816563,0.03150677610102409,0.023242566440911935,0.010075945602816563,True
uniform_random,1,20,continuous_spearman,-0.012143797539223289,0.03308445634155199,-0.05055920779260545,-0.009872849663425581,-0.05055920779260545,False
uniform_random,1,20,top_10_roc_auc,0.06648199445983383,0.04339796860572487,0.04493690366266545,0.05160562224274138,0.04339796860572487,True
uniform_random,1,20,top_10_average_precision,0.08828639917239081,0.06503862686267173,0.07969059960303182,0.07767187521269812,0.06503862686267173,True
uniform_random,1,40,continuous_spearman,0.06809519435587222,0.06696496914187736,-0.027270619830553733,0.03592984788906528,-0.027270619830553733,False
uniform_random,1,40,top_10_roc_auc,0.10403200984918437,0.11511234225915656,0.04678362573099415,0.08864265927977837,0.04678362573099415,True
uniform_random,1,40,top_10_average_precision,0.1020771759232037,0.08819548146828703,0.06526165421019217,0.08517810386722764,0.06526165421019217,True
uniform_random,1,80,continuous_spearman,0.1471077344320662,0.17594247398601215,0.05569945806925691,0.12624988882911176,0.05569945806925691,True
uniform_random,1,80,top_10_roc_auc,0.10372422283779625,0.11819021237303784,0.10864881502000612,0.11018775007694674,0.10372422283779625,True
uniform_random,1,80,top_10_average_precision,0.11081091627540052,0.08220736934014283,0.11120677444847099,0.10140835335467145,0.08220736934014283,True
uniform_random,1,160,continuous_spearman,0.24445581667956978,0.2659808334098772,0.1554724507604089,0.2219697002832853,0.1554724507604089,True
uniform_random,1,160,top_10_roc_auc,0.10680209295167742,0.11788242536164972,0.12003693444136654,0.11490715091823123,0.10680209295167742,True
uniform_random,1,160,top_10_average_precision,0.09805756806776819,0.07234934331680187,0.10216811848383214,0.0908583432894674,0.07234934331680187,True
uniform_random,1,360,continuous_spearman,0.21442261850087696,0.23629755015811782,0.14194299011052935,0.19755438625650804,0.14194299011052935,True
uniform_random,1,360,top_10_roc_auc,0.1157279162819328,0.12496152662357651,0.13111726685133884,0.12393556991894938,0.1157279162819328,True
uniform_random,1,360,top_10_average_precision,0.09150416230618391,0.07791047465532819,0.09683264607456388,0.08874909434535866,0.07791047465532819,True
uniform_random,2,10,continuous_spearman,0.3218500002186968,0.3683012067691043,0.22165361046595547,0.3039349391512522,0.22165361046595547,True
uniform_random,2,10,top_10_roc_auc,0.164973838104032,0.22622345337026784,0.11357340720221609,0.16825689955883863,0.11357340720221609,True
uniform_random,2,10,top_10_average_precision,0.11249055699344339,0.09924054998036884,0.07673319643521359,0.09615476780300862,0.07673319643521359,True
