sample_size,degree_spearman_vs_full_PKIS1,degree_rmse_vs_full_PKIS1
10,0.7334249273091444,0.05614960175974339
20,0.8749597327370512,0.03515837184954831
40,0.8766368569123363,0.03227486121839514
80,0.9390240472319978,0.02026302735964638
160,0.9540297977386958,0.018721042453761903
360,1.0,0.0
