n_ligands,component,raw_pr,residual_pr,pr_increase,raw_pc1_fraction,residual_pc1_fraction,raw_mean_correlation,residual_mean_absolute_correlation,residual_fraction_grand_centered_ss,z_then_row_center_pr
64,released_score,2.3767146253724594,4.816067403687613,2.439352778315154,0.6247723035251648,0.367128207891533,0.5503201281211624,0.28513412127886517,0.26753517904642565,4.74463399383444
64,rescored_post_total,2.3794058883805227,4.788605662093846,2.4091997737133233,0.6241769136306878,0.36834457095543405,0.5493806638546961,0.286731648989715,0.267289452799447,4.720015392495927
64,zero_rot_pre_total,1.6700622239950507,4.700073577507272,3.0300113535122213,0.7640484513295762,0.37332025809934366,0.7182328670868109,0.28141171663991565,0.1918652235543231,4.445053196123919
64,post_gauss1,5.156911611085612,6.215567667673985,1.0586560565883723,0.35871285391938007,0.2570408791171251,0.2549985896391984,0.19312009047102532,0.5416202157328321,6.529917725004936
64,post_gauss2,2.490941357791524,5.957414329130132,3.466472971338608,0.6101479438566976,0.26720001491826484,0.5207091556831929,0.21307492227398264,0.45678456264462236,6.1394816187011845
64,post_repulsion,7.299445813183077,5.9195479638277115,-1.3798978493553653,0.2268623842984998,0.27878290101279135,0.1071690070086176,0.21086821461353808,0.7176724776655131,7.064686341316779
64,post_hydrophobic,1.9605646968025885,6.115566748057525,4.155002051254936,0.7020856827059542,0.2594003310371618,0.649394941171638,0.20616710398287758,0.28405778703361895,6.261200366781313
64,post_hydrogen,4.493217111971004,6.759835148726785,2.2666180367557818,0.4136817123025125,0.23885043261584882,0.33579266998648755,0.16948087462366043,0.5605795638714627,6.747001888203234
64,pre_gauss1,2.9880817180918386,6.314181258875147,3.326099540783308,0.5476722740865683,0.24961558128188882,0.47807495450815385,0.19161626039953594,0.4222531128167348,6.420598207412211
64,pre_gauss2,1.9206487978641487,6.129536205055293,4.208887407191144,0.7093267757982611,0.25476819102552084,0.6518752179214111,0.20404078517889201,0.34548268892397554,6.290636621948896
64,pre_repulsion,7.153801923566554,5.6707569464751035,-1.4830449770914509,0.23297501838342427,0.2971412122597256,0.123184919143498,0.2260729221685012,0.7158855471411473,6.964338949014429
64,pre_hydrophobic,1.9364890268652901,5.973540386017904,4.037051359152613,0.7067498591151741,0.26621982549085343,0.6551042432993677,0.2132500646235347,0.2790458645382573,6.144735218470184
64,pre_hydrogen,4.161407516012286,6.767061171428342,2.605653655416056,0.4398014505808908,0.2346425667494016,0.36508866585874583,0.16380679132904782,0.5375854374618434,6.775742844586727
128,released_score,2.6878260480720897,4.645962969099014,1.9581369210269246,0.5771054556302374,0.3874022806707097,0.4802585064992416,0.30205494144133843,0.3026079288882851,4.533213436554521
128,rescored_post_total,2.685333539914839,4.636674173121154,1.951340633206315,0.5773762761496687,0.387964318513951,0.48036330666553373,0.30276583901275844,0.3017763611024913,4.526986824174558
128,zero_rot_pre_total,1.7391153388491274,4.319777954303513,2.5806626154543855,0.7473153854474953,0.4111334119811022,0.6963100173030488,0.3176794851102964,0.20578434156049122,4.26050945551272
128,post_gauss1,5.409584175213888,6.32160965233338,0.9120254771194922,0.3467040443335856,0.2709193474493586,0.21400129389746556,0.19380445008902508,0.5559704783649184,6.579714467801817
128,post_gauss2,2.599327501869081,5.6339450234856265,3.0346175216165454,0.5947425015182745,0.3048806403298451,0.482644830366608,0.23628787376865612,0.46634524488401174,5.675064185793691
128,post_repulsion,6.7922057162640845,6.054198208133059,-0.7380075081310258,0.2647408909019422,0.2851339725951986,0.12338271392130541,0.21757755897593578,0.7281740038799905,6.952382412096007
128,post_hydrophobic,2.0630814772870054,6.014411485055088,3.951330007768082,0.6822655180395977,0.2897803596627259,0.6257125882544661,0.20602949954932462,0.2967352811650803,6.136928883334152
