term,shared_row_axis_covariance_share,raw_pc1_bilinear_share,residual_frobenius_inner_product_share,residual_pc1_bilinear_share
gauss1,0.2733346569510844,0.2585688181450693,0.28181391622777496,0.2747463258419287
gauss2,0.7153277445056864,0.7127815116829779,0.5252048479896845,0.5545663104542826
repulsion,-0.28576815671482936,-0.2443242966715254,-0.06467279850851583,-0.037377704750809676
hydrophobic,0.29770950690418446,0.2869650276127051,0.22796092350052122,0.25539552895064355
hydrogen,-0.0006037516461258981,-0.013991060769226892,0.029693110790535247,-0.04733046049604475
