removed_term,raw_pr,residual_pr,pr_increase,raw_pc1_fraction,residual_pc1_fraction,raw_mean_correlation,residual_mean_absolute_correlation,residual_fraction_grand_centered_ss,z_then_row_center_pr
gauss1,3.001530703241512,5.385831633253192,2.3843009300116798,0.5418625870237272,0.333285876799358,0.4152894294369497,0.2476806495249107,0.3449956582053121,5.3515235487538995
gauss2,4.53879678724258,6.158557625899709,1.619760838657129,0.40617574217884816,0.2843819763636024,0.28304745517627217,0.20788904912624984,0.4289188366809318,6.4249175528007
repulsion,3.0222569376147757,5.922746865087509,2.9004899274727336,0.5416182003061636,0.3033940665592817,0.42295014388386637,0.21319255582865382,0.46127010026259607,6.002657400337913
hydrophobic,2.9248630223859267,5.555299203763547,2.6304361813776205,0.5520282109695974,0.32333673163281396,0.44886807635377174,0.23847709210157442,0.3580336818012174,5.4881159037509395
hydrogen,2.7046191751675557,5.036970037116701,2.3323508619491453,0.5769607230618843,0.3641312575419321,0.4761466530288867,0.2741948275978665,0.32812838847772996,4.911447751065761
