term,vina_1_1_2_weight,shared_row_axis_covariance_share,raw_pc1_bilinear_share,residual_frobenius_inner_product_share,residual_pc1_bilinear_share,full_score_raw_pr,fixed_pose_term_removal_raw_pr,fixed_pose_term_removal_raw_pr_minus_full,full_score_residual_pr,fixed_pose_term_removal_residual_pr,fixed_pose_term_removal_residual_pr_minus_full,analysis_boundary
gauss1,-0.035579,0.2733346569510844,0.2585688181450693,0.2818139162277749,0.2747463258419287,2.649528001680738,3.001530703241512,0.35200270156077407,4.911876072913026,5.385831633253192,0.4739555603401655,linear score attribution and term removal on fixed Vina-selected poses; not an independent re-docking ablation
gauss2,-0.005156,0.7153277445056864,0.7127815116829779,0.5252048479896845,0.5545663104542826,2.649528001680738,4.53879678724258,1.8892687855618422,4.911876072913026,6.158557625899709,1.2466815529866828,linear score attribution and term removal on fixed Vina-selected poses; not an independent re-docking ablation
repulsion,0.840245,-0.2857681567148293,-0.2443242966715254,-0.0646727985085158,-0.0373777047508096,2.649528001680738,3.0222569376147757,0.3727289359340378,4.911876072913026,5.922746865087509,1.010870792174483,linear score attribution and term removal on fixed Vina-selected poses; not an independent re-docking ablation
hydrophobic,-0.035069,0.2977095069041844,0.2869650276127051,0.2279609235005212,0.2553955289506435,2.649528001680738,2.9248630223859267,0.2753350207051888,4.911876072913026,5.555299203763547,0.6434231308505209,linear score attribution and term removal on fixed Vina-selected poses; not an independent re-docking ablation
hydrogen,-0.587439,-0.0006037516461258,-0.0139910607692268,0.0296931107905352,-0.0473304604960447,2.649528001680738,2.7046191751675557,0.0550911734868178,4.911876072913026,5.036970037116701,0.1250939642036748,linear score attribution and term removal on fixed Vina-selected poses; not an independent re-docking ablation
