target_support,ligand_support,n_targets,n_ligands,component,mean_descriptor_spearman_rho,exact_target_label_permutations,exact_two_sided_p,max_abs_fwer_p_across_five_terms,analysis_role
different_receptor_structure_only_6,seeded_random_first_256,6,256,post_gauss2,0.5591836734693876,720,0.16805555555555557,0.38333333333333336,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_first_256,6,256,post_repulsion,-0.17551020408163262,720,0.6972222222222222,0.9916666666666667,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_first_256,6,256,post_hydrophobic,0.7306122448979592,720,0.020833333333333332,0.125,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_first_256,6,256,post_hydrogen,-0.5265306122448978,720,0.019444444444444445,0.4444444444444444,exploratory_cross_panel_term_localisation
all_9_mapped_targets,seeded_random_second_256,9,256,rescored_post_total,0.7857142857142856,362880,0.00466820987654321,,exploratory_cross_panel_term_localisation
all_9_mapped_targets,seeded_random_second_256,9,256,post_gauss1,0.5047619047619046,362880,0.13065751763668432,0.2848985890652557,exploratory_cross_panel_term_localisation
all_9_mapped_targets,seeded_random_second_256,9,256,post_gauss2,0.6119047619047618,362880,0.05877149470899471,0.12463624338624339,exploratory_cross_panel_term_localisation
all_9_mapped_targets,seeded_random_second_256,9,256,post_repulsion,-0.2738095238095238,362880,0.3748649691358025,0.8003499779541446,exploratory_cross_panel_term_localisation
all_9_mapped_targets,seeded_random_second_256,9,256,post_hydrophobic,0.6999999999999998,362880,0.013172398589065255,0.04605103615520282,exploratory_cross_panel_term_localisation
all_9_mapped_targets,seeded_random_second_256,9,256,post_hydrogen,-0.5928571428571427,362880,0.012624007936507937,0.14861386684303352,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_second_256,6,256,rescored_post_total,0.836734693877551,720,0.013888888888888888,,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_second_256,6,256,post_gauss1,0.2571428571428571,720,0.5777777777777777,0.9638888888888889,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_second_256,6,256,post_gauss2,0.5428571428571427,720,0.22916666666666666,0.5430555555555555,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_second_256,6,256,post_repulsion,-0.14285714285714285,720,0.7361111111111112,0.9944444444444445,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_second_256,6,256,post_hydrophobic,0.5591836734693876,720,0.15,0.5125,exploratory_cross_panel_term_localisation
different_receptor_structure_only_6,seeded_random_second_256,6,256,post_hydrogen,-0.5265306122448979,720,0.125,0.5722222222222222,exploratory_cross_panel_term_localisation
