target_support,ligand_support,component,descriptor,descriptor_spearman_rho,dockstring_target,docking44_slope_per_descriptor_sd,dockstring_term_slope_per_descriptor_sd
all_9_mapped_targets,all_selected_ligands,rescored_post_total,clogp,0.6333333333333333,AR,0.1652051279087681,0.46314568123276256
all_9_mapped_targets,all_selected_ligands,rescored_post_total,clogp,0.6333333333333333,PTGS2,0.0736524268481949,0.15998751815852344
all_9_mapped_targets,all_selected_ligands,rescored_post_total,clogp,0.6333333333333333,ACHE,-0.1255919874659024,-0.02957218284148801
all_9_mapped_targets,all_selected_ligands,rescored_post_total,clogp,0.6333333333333333,DRD2,-0.0433081478964118,-0.1969250017815174
all_9_mapped_targets,all_selected_ligands,rescored_post_total,clogp,0.6333333333333333,LCK,-0.0387194876479238,-0.11046544096283942
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,NR3C1,0.1033963472975031,0.11531974517380565
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,ADRB2,-0.1198092063249794,-0.2332548583586662
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,ADRB1,-0.1353347276622611,-0.20813592824195584
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,ADORA2A,0.0213544842673491,0.011632598249354507
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,AR,0.0866283457685421,0.315155922673639
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,PTGS2,0.2273209355523062,0.18978121596193284
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,ACHE,-0.0074452921725787,-0.06345504515369159
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,DRD2,-0.0084592699909194,-0.143208093641089
all_9_mapped_targets,all_selected_ligands,rescored_post_total,rotatable_bonds,0.8333333333333333,LCK,-0.051182140678297,0.016164443336670383
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,NR3C1,0.1808728054418931,0.3502289368642388
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,ADRB2,-0.2918932615534004,-0.2800990352558751
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,ADRB1,-0.2888038371157874,-0.2949735108466901
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,ADORA2A,-0.0684379445172921,-0.1637500209234793
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,AR,0.539277715515936,0.5737066021642668
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,PTGS2,0.3541913741352515,0.2577825424583463
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,ACHE,-0.2528490510517092,0.06630308239767138
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,DRD2,-0.062601907343823,-0.2976939263823697
all_9_mapped_targets,all_selected_ligands,rescored_post_total,ring_count,0.7,LCK,-0.0575172140944752,-0.21150467047610913
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,NR3C1,0.2260202592664451,-0.19538265301766888
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,ADRB2,-0.2666998880366934,-0.17526443761400723
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,ADRB1,-0.3336395894984085,-0.1082961076733292
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,ADORA2A,4.4595495800410814e-05,0.004901167153784147
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,AR,0.4828635088286998,0.18088817576069405
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,PTGS2,0.4437132110090549,0.2272436067607068
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,ACHE,-0.1729644194779466,0.08470686991922563
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,DRD2,-0.0364321346513515,-0.009851368415284917
all_9_mapped_targets,all_selected_ligands,post_gauss1,heavy_atoms,0.5,LCK,-0.099457348017531,-0.008945252874120301
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,NR3C1,0.181761587978138,-0.18981386605876027
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,ADRB2,-0.1933161663540562,-0.16765427025407192
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,ADRB1,-0.304916058350481,-0.10704166365291486
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,ADORA2A,0.0330735591252509,0.009045850131475953
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,AR,0.4173901626894785,0.17005945660997135
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,PTGS2,0.4112464691827339,0.22354136250852322
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,ACHE,-0.0931613913374121,0.08250096526271895
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,DRD2,-0.0166485895484512,-0.007662551040641656
all_9_mapped_targets,all_selected_ligands,post_gauss1,molecular_weight,0.5666666666666667,LCK,-0.0940592354136013,-0.01297528350630074
all_9_mapped_targets,all_selected_ligands,post_gauss1,labute_asa,0.5,NR3C1,0.2156763470327827,-0.19330920569647023
