support,n_ligands,representation,raw_pr,residual_pr,pr_increase,raw_pc1_fraction,residual_pc1_fraction,raw_mean_correlation,residual_mean_absolute_correlation,residual_fraction_grand_centered_ss,z_then_row_center_pr
all_selected_ligands,512,released_score,2.6544188032771032,4.911918815488637,2.2575000122115334,0.5833274056006245,0.3694471436891063,0.48504557957696914,0.2821880177527786,0.3001808304343005,4.777223155051752
all_selected_ligands,512,rescored_post_total,2.649528001680738,4.911876072913026,2.2623480712322883,0.5840426349700731,0.3695179041185967,0.486053549899879,0.28251800555727774,0.2991421154117253,4.778861125680864
all_selected_ligands,512,zero_rot_pre_total,1.7166996796360583,4.731688060331328,3.0149883806952693,0.7538235844870557,0.3796577827280093,0.7088314732390849,0.2831986669948235,0.20089405603888577,4.7330939103867715
target_invariant_effective_torsions,511,released_score,2.6527649746473614,4.9092299623042575,2.256464987656896,0.583547379171855,0.3697130358660303,0.48531705241179984,0.28248580578285903,0.30023004219420607,4.774363588603371
target_invariant_effective_torsions,511,rescored_post_total,2.6479211082211784,4.907619859282108,2.2596987510609297,0.5842454233185328,0.3699072239396601,0.48631344678414057,0.2829499070168019,0.2992034720059991,4.774333327233919
target_invariant_effective_torsions,511,zero_rot_pre_total,1.722441888137274,4.725998728148349,3.0035568400110755,0.7524258153510398,0.38025111830496966,0.7070160955130543,0.28408480493900695,0.2017866158100227,4.728778401654544
released_scores_reproduced_within_0.10_kcal_mol,497,released_score,2.625971477620049,4.9383521665306285,2.3123806889105794,0.5874517366224515,0.3669193842993695,0.49091049714724083,0.27806051425350314,0.29825852454176766,4.806998983961026
released_scores_reproduced_within_0.10_kcal_mol,497,rescored_post_total,2.6256659878593527,4.926411426053664,2.3007454381943115,0.5874296760421495,0.3679456082153336,0.49095768517761873,0.27937797002962755,0.29803795561827295,4.794831654497513
released_scores_reproduced_within_0.10_kcal_mol,497,zero_rot_pre_total,1.7194209591546659,4.736350919806458,3.0169299606517925,0.753153285999138,0.379032754950066,0.7077360223889182,0.2821998901240717,0.201714916463154,4.750309351716436
both_quality_rules,497,released_score,2.625971477620049,4.9383521665306285,2.3123806889105794,0.5874517366224515,0.3669193842993695,0.49091049714724083,0.27806051425350314,0.29825852454176766,4.806998983961026
both_quality_rules,497,rescored_post_total,2.6256659878593527,4.926411426053664,2.3007454381943115,0.5874296760421495,0.3679456082153336,0.49095768517761873,0.27937797002962755,0.29803795561827295,4.794831654497513
both_quality_rules,497,zero_rot_pre_total,1.7194209591546659,4.736350919806458,3.0169299606517925,0.753153285999138,0.379032754950066,0.7077360223889182,0.2821998901240717,0.201714916463154,4.750309351716436
