scorer,family,polarity_applied,n_ligands,n_targets,n_cells,raw_pc1_fraction,raw_participation_ratio,row_centered_participation_ratio,participation_ratio_increase,raw_mean_squared_offdiagonal_correlation,row_centered_mean_squared_offdiagonal_correlation,pc1_uniform_cosine,pc1_min_loading,pc1_max_loading,raw_mean_correlation,row_centered_pc1_fraction,row_centered_mean_absolute_correlation,z_then_row_center_participation_ratio,raw_pc1_fraction_ci_low,raw_pc1_fraction_ci_high,raw_participation_ratio_ci_low,raw_participation_ratio_ci_high,row_centered_participation_ratio_ci_low,row_centered_participation_ratio_ci_high,participation_ratio_increase_ci_low,participation_ratio_increase_ci_high,raw_mean_squared_offdiagonal_correlation_ci_low,raw_mean_squared_offdiagonal_correlation_ci_high,row_centered_mean_squared_offdiagonal_correlation_ci_low,row_centered_mean_squared_offdiagonal_correlation_ci_high,pc1_uniform_cosine_ci_low,pc1_uniform_cosine_ci_high,raw_participation_ratio_vs_released_vina,raw_participation_ratio_vs_released_vina_ci_low,raw_participation_ratio_vs_released_vina_ci_high,raw_pc1_fraction_vs_released_vina,raw_pc1_fraction_vs_released_vina_ci_low,raw_pc1_fraction_vs_released_vina_ci_high,prediction_holds
released_vina,vina_family,-1.0,2000,9,18000,0.5731439853187308,2.739619141220106,5.124553012269496,2.38493387104939,0.28564102052483603,0.09453134201294448,0.9500659103814194,0.08196720032065337,0.40212635950871695,0.47202937718946436,0.355851946262061,0.2721382677117694,5.026055772428728,0.5520042460880414,0.5974413070566909,2.5624713439852047,2.9047477439195553,4.929810706154006,5.3001296742405675,2.1573201868680205,2.582814551419053,0.26229697022827414,0.3140292998361431,0.08725895764089409,0.10320348837717831,0.9390689026080762,0.9587110501194492,0.0,0.0,0.0,0.0,0.0,0.0,True
smina_vina,vina_family,-1.0,2000,9,18000,0.5769648766815985,2.7102613762172574,5.131465693828136,2.4212043176108784,0.290089116449047,0.09423560774324045,0.9545510536908395,0.09452708969622826,0.3998122803307425,0.48019243488879737,0.3553416380147206,0.2717127201827586,5.027697583588598,0.5567375453825426,0.5993315540958682,2.54816840653568,2.8655339016896653,4.936949783638446,5.308577450184112,2.1968629238131254,2.6180384214203087,0.2675969954423439,0.31649358305540853,0.08692118050145922,0.1028734946297348,0.944828071714639,0.9623961425399553,-0.0293577650028487,-0.06615495170909395,0.003956288762169492,0.0038208913628676733,-0.0006789472063880558,0.008572472209728264,True
vinardo,non_vina_empirical,-1.0,2000,9,18000,0.5670775771558391,2.806199043739193,5.736176862587703,2.92997781884851,0.2758981481587864,0.07112365987831307,0.966814373544579,0.15274741813197906,0.3954602734548082,0.480857255780496,0.3170799329469713,0.2262650883975684,5.59346956687931,0.551167560281787,0.584777567584115,2.6726763838878584,2.932783907120528,5.49715989457272,5.933903354946814,2.658363531925217,3.1689845552342435,0.2585945762555241,0.29592638180353803,0.06458852763361479,0.07965113287587218,0.9532190641924163,0.976677784726626,0.06657990251908696,-0.07679240809661383,0.19481870414451102,-0.006066408162891723,-0.023879016199621798,0.012928679658793464,True
rfscore_v1,non_vina_machine_learned,1.0,2000,9,18000,0.6345392431332049,2.3445003823103803,6.443768167019477,4.099267784709097,0.35484637088920984,0.049587286637340466,0.9586823616813316,0.06406094270006937,0.3796148385157902,0.541177746999351,0.2681368293378603,0.1803715281603792,6.677574892932688,0.6135491627782952,0.6566044870858326,2.2081560337369672,2.484263703688092,6.2603810941653375,6.580458108715569,3.838677885407095,4.305783753868929,0.3278504757101392,0.38447486627740257,0.045960741869089015,0.05470152028714422,0.9521408801494599,0.9644551961209924,-0.3951187589097258,-0.5250193788310826,-0.2694406021413769,0.06139525781447408,0.04324310062187414,0.07915548386623146,True
rfscore_v2,non_vina_machine_learned,1.0,2000,9,18000,0.6687951580830438,2.12957057592338,5.651628378552058,3.522057802628678,0.4032755184162904,0.07405767411554826,0.9535457402759491,0.0468618264003108,0.37927560116804787,0.5708582741833705,0.32430010705349777,0.22400828388468336,6.0016602375162265,0.6482340618875587,0.6910291610841326,2.008175152938226,2.2488255891685314,5.4700360856109285,5.801297819475952,3.283075653810972,3.72727915927588,0.3752611166451875,0.4352100984130012,0.06892212484501094,0.08066591931092765,0.9469746023282863,0.9593599648609561,-0.6100485652967262,-0.7270419283144339,-0.5019338056611702,0.09565117276431301,0.07956195284953606,0.11134977321476003,True
rfscore_v3,non_vina_machine_learned_with_vina_features,1.0,2000,9,18000,0.6297732701888057,2.3690377601755435,5.998594177876541,3.6295564177009974,0.34987634807333695,0.0625439422371863,0.9562269136750033,0.057190780841224025,0.3814999595214996,0.5340545691539115,0.30309640142259114,0.20774373934244292,6.228753233916521,0.6087176631485738,0.6524581095995377,2.227193829844925,2.5098483619857874,5.804668596286033,6.154756953900939,3.3608224435837295,3.856896178478603,0.32323425188591165,0.38011993404018335,0.05778544684069211,0.0688095141124478,0.9495434581158008,0.9619931050367311,-0.3705813810445626,-0.4907667542664725,-0.2527021588415242,0.0566292848700749,0.03948832028391297,0.0732761329261795,True
nnscore,non_vina_machine_learned,1.0,2000,9,18000,0.5257573810676985,3.2096017386209272,6.794763336601215,3.5851615979802878,0.22551077722913357,0.04056868050723497,0.973024961590511,0.13421540790674305,0.38740259544669997,0.44241374194753114,0.25603442429623896,0.16250339684182818,6.879489198603659,0.5066524409489578,0.5449899585123561,3.032371750493262,3.3967098278092047,6.619832924127855,6.922313420399092,3.30375884757228,3.814295459671553,0.2062028571885489,0.24599672885472942,0.03751792308303265,0.044943866105944676,0.9674203366721588,0.977438205201545,0.46998259740082116,0.2994553607382301,0.6385772864972994,-0.04738660425103225,-0.06704131930503708,-0.027015454451154393,True
plecscore_linear,non_vina_machine_learned,1.0,2000,9,18000,0.4140126381957506,4.593270617980356,7.465210799074506,2.87194018109415,0.1199235182434469,0.02569902649493451,0.9857554956967747,0.22347873474148133,0.3885687413344412,0.33093814023135393,0.19481571224569577,0.13292189006425315,7.562278042753848,0.39637677153029544,0.43232921636163424,4.335322899626185,4.8484395962152025,7.336612793694759,7.532473305518097,2.5709302164315333,3.1181571975003606,0.10703341577735338,0.1344962419330935,0.02435333381315743,0.028340517169530836,0.9803225296617468,0.9894624147834222,1.85365147676025,1.5914794257474596,2.1195680230400162,-0.15913134712298016,-0.18368497374998047,-0.13525942281053965,False
