workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,pubchem_cid,pubchem_smiles,pubchem_inchikey,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,structure_fragment_count,butina_r2_2048_tanimoto50_cluster,butina_cluster_size,murcko_scaffold,murcko_scaffold_size,cluster_multiplier_group,cluster_multiplier_group_source
121,Rapamycin,53123-88-9,True,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QFJCIRLUMZQUOT,QFJCIRLUMZQUOT,,QFJCIRLUMZQUOT,1,B055,1,O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,1,B055,resolved_structure_butina
122,"Rho Kinase Inhibitor III, Rockout",7272-84-6,True,644354,C1=CC=C2C(=C1)C(=CN2)C3=CC=NC=C3,LLJRXVHJOJRCSM-UHFFFAOYSA-N,LLJRXVHJOJRCSM-UHFFFAOYSA-N,LLJRXVHJOJRCSM,LLJRXVHJOJRCSM,,LLJRXVHJOJRCSM,1,B054,1,c1ccc2c(-c3ccncc3)c[nH]c2c1,1,B054,resolved_structure_butina
123,Rho Kinase Inhibitor IV,913844-45-8,True,11976582,C[C@H]1CN(CCCN1S(=O)(=O)C2=CC=CC3=C2C(=CN=C3)C)C(=O)CN,CMKMGFAUKPAOMG-AWEZNQCLSA-N,CMKMGFAUKPAOMG-AWEZNQCLSA-N,CMKMGFAUKPAOMG,CMKMGFAUKPAOMG;ILDBNQGLZFSHQZ,,CMKMGFAUKPAOMG,1,B053,1,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,2,B053,resolved_structure_butina
124,Ro-32-0432,151342-35-7,True,127757,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5C[C@H](CCN5C6=CC=CC=C64)CN(C)C,FXGHOAZJQNLNFD-KRWDZBQOSA-N,FXGHOAZJQNLNFD-KRWDZBQOSA-N,FXGHOAZJQNLNFD,FXGHOAZJQNLNFD;HSPRASOZRZDELU,,FXGHOAZJQNLNFD,1,B052,1,O=C1NC(=O)C(c2c3n(c4ccccc24)CCCC3)=C1c1c[nH]c2ccccc12,1,B052,resolved_structure_butina
125,SB 202474,172747-50-1,False,5162,CCC1=C(N=C(N1)C2=CC=C(C=C2)OC)C3=CC=NC=C3,MYKGURNPAUBQLJ-UHFFFAOYSA-N,MYKGURNPAUBQLJ-UHFFFAOYSA-N,MYKGURNPAUBQLJ,MYKGURNPAUBQLJ,,MYKGURNPAUBQLJ,1,B051,1,c1ccc(-c2nc(-c3ccncc3)c[nH]2)cc1,1,B051,resolved_structure_butina
126,SB 202190,152121-30-7,True,5169,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,QHKYPYXTTXKZST-UHFFFAOYSA-N,QHKYPYXTTXKZST-UHFFFAOYSA-N,QHKYPYXTTXKZST,QHKYPYXTTXKZST,,QHKYPYXTTXKZST,1,B002,3,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,3,B002,resolved_structure_butina
127,SB 203580,152121-47-6,True,176155,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,CDMGBJANTYXAIV-UHFFFAOYSA-N,CDMGBJANTYXAIV-UHFFFAOYSA-N,CDMGBJANTYXAIV,CDMGBJANTYXAIV,,CDMGBJANTYXAIV,1,B002,3,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,3,B002,resolved_structure_butina
128,SB220025,165806-53-1,True,5164,C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F,VSPFURGQAYMVAN-UHFFFAOYSA-N,VSPFURGQAYMVAN-UHFFFAOYSA-N,VSPFURGQAYMVAN,VSPFURGQAYMVAN,,VSPFURGQAYMVAN,1,B050,1,c1ccc(-c2ncn(C3CCNCC3)c2-c2ccncn2)cc1,1,B050,resolved_structure_butina
129,SB 218078,135897-06-2,True,3387354,C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O,OTPNDVKVEAIXTI-UHFFFAOYSA-N,OTPNDVKVEAIXTI-UHFFFAOYSA-N,OTPNDVKVEAIXTI,OTPNDVKVEAIXTI,,OTPNDVKVEAIXTI,1,B049,1,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1,1,B049,resolved_structure_butina
130,SC-68376,318480-82-9,True,5174,CC1=NC(=C(O1)C2=CC=NC=C2)C3=CC=CC=C3,BHWCZLOXTLWZAQ-UHFFFAOYSA-N,BHWCZLOXTLWZAQ-UHFFFAOYSA-N,BHWCZLOXTLWZAQ,BHWCZLOXTLWZAQ,,BHWCZLOXTLWZAQ,1,B048,1,c1ccc(-c2ncoc2-c2ccncc2)cc1,1,B048,resolved_structure_butina
131,SKF-86002,72873-74-6,True,5228,C1CSC2=NC(=C(N21)C3=CC=NC=C3)C4=CC=C(C=C4)F,YOELZIQOLWZLQC-UHFFFAOYSA-N,YOELZIQOLWZLQC-UHFFFAOYSA-N,YOELZIQOLWZLQC,YOELZIQOLWZLQC,,YOELZIQOLWZLQC,1,B047,1,c1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,1,B047,resolved_structure_butina
132,Sphingosine Kinase Inhibitor,312636-16-1,True,,,,,,ZDRVLAOYDGQLFI;ZFGXZJKLOFCECI,ZDRVLAOYDGQLFI;ZFGXZJKLOFCECI,ZDRVLAOYDGQLFI;ZFGXZJKLOFCECI,,,,,,U132,unresolved_identity_specific_singleton
133,Src Kinase Inhibitor I,179248-59-0,True,1474853,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)OC,DMWVGXGXHPOEPT-UHFFFAOYSA-N,DMWVGXGXHPOEPT-UHFFFAOYSA-N,DMWVGXGXHPOEPT,DMWVGXGXHPOEPT,,DMWVGXGXHPOEPT,1,B000,6,c1ccc(Oc2ccc(Nc3ncnc4ccccc34)cc2)cc1,1,B000,resolved_structure_butina
134,"Staurosporine, Streptomyces sp.",62996-74-1,True,44259,C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,HKSZLNNOFSGOKW-FYTWVXJKSA-N,HKSZLNNOFSGOKW-FYTWVXJKSA-N,HKSZLNNOFSGOKW,HKSZLNNOFSGOKW,,HKSZLNNOFSGOKW,1,B010,2,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCCC3O1,1,B010,resolved_structure_butina
135,STO-609,52029-86-4,True,3467590,C1=CC=C2C(=C1)N=C3N2C(=O)C4=CC=CC5=C(C=CC3=C54)C(=O)O,MYKOWOGZBMOVBJ-UHFFFAOYSA-N,MYKOWOGZBMOVBJ-UHFFFAOYSA-N,MYKOWOGZBMOVBJ,MYKOWOGZBMOVBJ,,MYKOWOGZBMOVBJ,1,B046,1,O=c1c2cccc3cccc(c32)c2nc3ccccc3n12,1,B046,resolved_structure_butina
136,SU6656,330161-87-0,True,,,,,,LOGJQOUIVKBFGH,LOGJQOUIVKBFGH,LOGJQOUIVKBFGH,,,,,,U136,unresolved_identity_specific_singleton
137,SU9516,666837-93-0,True,5289419,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3,QNUKRWAIZMBVCU-WCIBSUBMSA-N,QNUKRWAIZMBVCU-WCIBSUBMSA-N,QNUKRWAIZMBVCU,QNUKRWAIZMBVCU,,QNUKRWAIZMBVCU,1,B045,1,O=C1Nc2ccccc2C1=Cc1cnc[nH]1,1,B045,resolved_structure_butina
138,SU11652,326914-10-7,True,5329103,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,XPLJEFSRINKZLC-ATVHPVEESA-N,XPLJEFSRINKZLC-ATVHPVEESA-N,XPLJEFSRINKZLC,XPLJEFSRINKZLC,,XPLJEFSRINKZLC,1,B008,2,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,3,B008,resolved_structure_butina
139,Syk Inhibitor,622387-85-3,True,6419747,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N)NC3=O,MLKHXLFEYOOYEY-NVNXTCNLSA-N,MLKHXLFEYOOYEY-NVNXTCNLSA-N,MLKHXLFEYOOYEY,MLKHXLFEYOOYEY,,MLKHXLFEYOOYEY,1,B044,1,O=C1Nc2ccccc2C1=Cc1c[nH]c2ccccc12,2,B044,resolved_structure_butina
140,Syk Inhibitor II,227449-73-2,True,,,,,,FQNFLNSVHWCZML;LCACSMNPIITJGG;OWOVYLSSMDVDIW;PVURZQHSTKFHCH,FQNFLNSVHWCZML;LCACSMNPIITJGG;OWOVYLSSMDVDIW;PVURZQHSTKFHCH,FQNFLNSVHWCZML;LCACSMNPIITJGG;OWOVYLSSMDVDIW;PVURZQHSTKFHCH,,,,,,U140,unresolved_identity_specific_singleton
141,Syk Inhibitor III,1485-00-3,True,672296,C1OC2=C(O1)C=C(C=C2)/C=C/[N+](=O)[O-],KFLWBZPSJQPRDD-ONEGZZNKSA-N,KFLWBZPSJQPRDD-ONEGZZNKSA-N,KFLWBZPSJQPRDD,KFLWBZPSJQPRDD,,KFLWBZPSJQPRDD,1,B043,1,c1ccc2c(c1)OCO2,1,B043,resolved_structure_butina
142,Tpl2 Kinase Inhibitor,871307-18-5,True,9549300,C1=CC(=CN=C1)CNC2=NC=C3C(=C2)C(=C(C=N3)C#N)NC4=CC(=C(C=C4)F)Cl,NMEUKWOOQOHUNA-UHFFFAOYSA-N,NMEUKWOOQOHUNA-UHFFFAOYSA-N,NMEUKWOOQOHUNA,NMEUKWOOQOHUNA,,NMEUKWOOQOHUNA,1,B042,1,c1ccc(Nc2ccnc3cnc(NCc4cccnc4)cc23)cc1,1,B042,resolved_structure_butina
143,TGF-b RI Kinase Inhibitor,396129-53-6,True,447966,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,IBCXZJCWDGCXQT-UHFFFAOYSA-N,IBCXZJCWDGCXQT-UHFFFAOYSA-N,IBCXZJCWDGCXQT,IBCXZJCWDGCXQT,,IBCXZJCWDGCXQT,1,B041,1,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,1,B041,resolved_structure_butina
144,TGF-b RI Inhibitor III,356559-13-2,True,16079009,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4.Cl,BTUOOXPZOVNPMF-UHFFFAOYSA-N,BTUOOXPZOVNPMF-UHFFFAOYSA-N,BTUOOXPZOVNPMF,BTUOOXPZOVNPMF,,BTUOOXPZOVNPMF,2,B040,1,c1ccc(-c2[nH]cnc2-c2ccc3c(c2)OCO3)nc1,1,B040,resolved_structure_butina
145,AG 9,2826-26-8,True,2063,COC1=CC=C(C=C1)C=C(C#N)C#N,UOHFCPXBKJPCAD-UHFFFAOYSA-N,UOHFCPXBKJPCAD-UHFFFAOYSA-N,UOHFCPXBKJPCAD,UOHFCPXBKJPCAD,,UOHFCPXBKJPCAD,1,B039,1,c1ccccc1,5,B039,resolved_structure_butina
146,AG 490,133550-30-8,True,5328779,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,TUCIOBMMDDOEMM-RIYZIHGNSA-N,TUCIOBMMDDOEMM-RIYZIHGNSA-N,TUCIOBMMDDOEMM,TUCIOBMMDDOEMM,,TUCIOBMMDDOEMM,1,B038,1,O=C(C=Cc1ccccc1)NCc1ccccc1,1,B038,resolved_structure_butina
147,AG 112,144978-82-5,True,5328804,C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O,DXVJRTIPBNBLLB-BJMVGYQFSA-N,DXVJRTIPBNBLLB-BJMVGYQFSA-N,DXVJRTIPBNBLLB,DXVJRTIPBNBLLB,,DXVJRTIPBNBLLB,1,B037,1,c1ccccc1,5,B037,resolved_structure_butina
148,AG 1295,71897-07-9,True,2048,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,FQNCLVJEQCJWSU-UHFFFAOYSA-N,FQNCLVJEQCJWSU-UHFFFAOYSA-N,FQNCLVJEQCJWSU,FQNCLVJEQCJWSU,,FQNCLVJEQCJWSU,1,B009,2,c1ccc(-c2cnc3ccccc3n2)cc1,2,B009,resolved_structure_butina
149,AG 1296,146535-11-7,True,2049,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,QNOXYUNHIGOWNY-UHFFFAOYSA-N,QNOXYUNHIGOWNY-UHFFFAOYSA-N,QNOXYUNHIGOWNY,QNOXYUNHIGOWNY,,QNOXYUNHIGOWNY,1,B009,2,c1ccc(-c2cnc3ccccc3n2)cc1,2,B009,resolved_structure_butina
150,AG 1478,175178-82-2,True,2051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,GFNNBHLJANVSQV-UHFFFAOYSA-N,GFNNBHLJANVSQV-UHFFFAOYSA-N,GFNNBHLJANVSQV,GFNNBHLJANVSQV;WDJDYIUSDDVWKB,,GFNNBHLJANVSQV,1,B000,6,c1ccc(Nc2ncnc3ccccc23)cc1,4,B000,resolved_structure_butina
151,VEGF Receptor 2 Kinase Inhibitor I,15966-93-5,True,6419834,CCOC(=O)C1=C(NC(=C1C)/C=C\2/C3=CC=CC=C3NC2=O)C,PMUJUSJUVIXDQC-LCYFTJDESA-N,PMUJUSJUVIXDQC-LCYFTJDESA-N,PMUJUSJUVIXDQC,PMUJUSJUVIXDQC,,PMUJUSJUVIXDQC,1,B036,1,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,3,B036,resolved_structure_butina
152,VEGF Receptor Tyrosine Kinase Inhibitor II,269390-69-4,True,9797919,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3,GGPZCOONYBPZEW-UHFFFAOYSA-N,GGPZCOONYBPZEW-UHFFFAOYSA-N,GGPZCOONYBPZEW,GGPZCOONYBPZEW,,GGPZCOONYBPZEW,1,B035,1,O=C(Nc1ccccc1)c1ccccc1NCc1ccncc1,1,B035,resolved_structure_butina
153,"VEGF Receptor Tyrosine Kinase Inhibitor III, KRN633",286370-15-8,True,9549295,CCCNC(=O)NC1=C(C=C(C=C1)OC2=NC=NC3=CC(=C(C=C32)OC)OC)Cl,VPBYZLCHOKSGRX-UHFFFAOYSA-N,VPBYZLCHOKSGRX-UHFFFAOYSA-N,VPBYZLCHOKSGRX,VPBYZLCHOKSGRX,,VPBYZLCHOKSGRX,1,B034,1,c1ccc(Oc2ncnc3ccccc23)cc1,1,B034,resolved_structure_butina
154,VEGF Receptor 2 Kinase Inhibitor II,288144-20-7,False,5329155,C1CCC2=C(C1)C=C(N2)/C=C\3/C4=C(C=CC(=C4)Br)NC3=O,RFHPWPWVGFSLOP-ZROIWOOFSA-N,RFHPWPWVGFSLOP-ZROIWOOFSA-N,RFHPWPWVGFSLOP,RFHPWPWVGFSLOP,,RFHPWPWVGFSLOP,1,B033,1,O=C1Nc2ccccc2C1=Cc1cc2c([nH]1)CCCC2,1,B033,resolved_structure_butina
155,VEGF Receptor 2 Kinase Inhibitor III,204005-46-9,True,,,,,,WUWDLXZGHZSWQZ,WUWDLXZGHZSWQZ,WUWDLXZGHZSWQZ,,,,,,U155,unresolved_identity_specific_singleton
156,VEGF Receptor 2 Kinase Inhibitor IV,216661-57-3,True,5329468,COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=CSC=C4)N=C2,HBWLNACPIFKNIP-UHFFFAOYSA-N,HBWLNACPIFKNIP-UHFFFAOYSA-N,HBWLNACPIFKNIP,HBWLNACPIFKNIP,,HBWLNACPIFKNIP,1,B032,1,c1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,1,B032,resolved_structure_butina
157,Wortmannin,19545-26-7,True,312145,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD,QDLHCMPXEPAAMD,,QDLHCMPXEPAAMD,1,B031,1,O=C1OCC2C3=C(C(=O)c4occ1c42)C1CCC(=O)C1CC3,1,B031,resolved_structure_butina
158,"ROCK Inhibitor, Y-27632",146986-50-7,True,448042,C[C@H](C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,IYOZTVGMEWJPKR,IYOZTVGMEWJPKR,,IYOZTVGMEWJPKR,1,B030,1,O=C(Nc1ccncc1)C1CCCCC1,1,B030,resolved_structure_butina
159,Bosutinib,380843-75-4,True,5328940,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N,UBPYILGKFZZVDX-UHFFFAOYSA-N,UBPYILGKFZZVDX,UBPYILGKFZZVDX,,UBPYILGKFZZVDX,1,B029,1,c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1,1,B029,resolved_structure_butina
160,Dasatinib,302962-49-8,True,3062316,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,ZBNZXTGUTAYRHI,ZBNZXTGUTAYRHI,,ZBNZXTGUTAYRHI,1,B028,1,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,1,B028,resolved_structure_butina
161,Dovitinib,405169-16-6,True,135398510,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N,PIQCTGMSNWUMAF-UHFFFAOYSA-N,PIQCTGMSNWUMAF-UHFFFAOYSA-N,PIQCTGMSNWUMAF,PIQCTGMSNWUMAF,,PIQCTGMSNWUMAF,1,B027,1,O=c1[nH]c2ccccc2cc1-c1nc2ccc(N3CCNCC3)cc2[nH]1,1,B027,resolved_structure_butina
162,Erlotinib,183319-69-9,True,,,,,,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,,,,,,U162,unresolved_identity_specific_singleton
163,Gefitinib,184475-35-2,True,123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ,XGALLCVXEZPNRQ,,XGALLCVXEZPNRQ,1,B000,6,c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,1,B000,resolved_structure_butina
164,Imatinib,220127-57-1,True,,,,,,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,,,,,,U164,unresolved_identity_specific_singleton
165,Lapatinib,231277-92-2,True,208908,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU,BCFGMOOMADDAQU,,BCFGMOOMADDAQU,1,B026,1,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,1,B026,resolved_structure_butina
166,Masitinib,790299-79-5,True,10074640,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,WJEOLQLKVOPQFV-UHFFFAOYSA-N,WJEOLQLKVOPQFV-UHFFFAOYSA-N,WJEOLQLKVOPQFV,WJEOLQLKVOPQFV,,WJEOLQLKVOPQFV,1,B025,1,O=C(Nc1cccc(Nc2nc(-c3cccnc3)cs2)c1)c1ccc(CN2CCNCC2)cc1,1,B025,resolved_structure_butina
167,Mubritinib,366017-09-6,True,6444692,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)/C=C/C4=CC=C(C=C4)C(F)(F)F,ZTFBIUXIQYRUNT-MDWZMJQESA-N,ZTFBIUXIQYRUNT-MDWZMJQESA-N,ZTFBIUXIQYRUNT,ZTFBIUXIQYRUNT,,ZTFBIUXIQYRUNT,1,B024,1,C(=Cc1nc(COc2ccc(CCCCn3ccnn3)cc2)co1)c1ccccc1,1,B024,resolved_structure_butina
168,Nilotinib,641571-10-0,True,644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,HHZIURLSWUIHRB,,HHZIURLSWUIHRB,1,B023,1,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,1,B023,resolved_structure_butina
169,Pazopanib,444731-52-6,True,10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,CUIHSIWYWATEQL-UHFFFAOYSA-N,CUIHSIWYWATEQL-UHFFFAOYSA-N,CUIHSIWYWATEQL,CUIHSIWYWATEQL,,CUIHSIWYWATEQL,1,B022,1,c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,1,B022,resolved_structure_butina
170,Roscovitine,186692-46-6,True,160355,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,BTIHMVBBUGXLCJ,BTIHMVBBUGXLCJ,,BTIHMVBBUGXLCJ,1,B021,1,c1ccc(CNc2ncnc3[nH]cnc23)cc1,3,B021,resolved_structure_butina
171,Sorafenib,284461-73-0,True,216239,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO,,MLDQJTXFUGDVEO,1,B020,1,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,1,B020,resolved_structure_butina
172,Sunitinib,557795-19-4,True,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,WINHZLLDWRZWRT-ATVHPVEESA-N,WINHZLLDWRZWRT-ATVHPVEESA-N,WINHZLLDWRZWRT,WINHZLLDWRZWRT,,WINHZLLDWRZWRT,1,B008,2,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,3,B008,resolved_structure_butina
173,Tandutinib,387867-13-2,True,3038522,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,UXXQOJXBIDBUAC-UHFFFAOYSA-N,UXXQOJXBIDBUAC-UHFFFAOYSA-N,UXXQOJXBIDBUAC,UXXQOJXBIDBUAC,,UXXQOJXBIDBUAC,1,B007,2,O=C(Nc1ccccc1)N1CCN(c2ncnc3cc(OCCCN4CCCCC4)ccc23)CC1,1,B007,resolved_structure_butina
174,Tofacitinib,477600-75-2,True,9926791,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,UJLAWZDWDVHWOW-YPMHNXCESA-N,UJLAWZDWDVHWOW-YPMHNXCESA-N,UJLAWZDWDVHWOW,UJLAWZDWDVHWOW,,UJLAWZDWDVHWOW,1,B019,1,c1nc(NC2CCCNC2)c2cc[nH]c2n1,1,B019,resolved_structure_butina
175,Tozasertib,639089-54-6,True,5494449,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,GCIKSSRWRFVXBI-UHFFFAOYSA-N,GCIKSSRWRFVXBI-UHFFFAOYSA-N,GCIKSSRWRFVXBI,GCIKSSRWRFVXBI,,GCIKSSRWRFVXBI,1,B018,1,O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1,1,B018,resolved_structure_butina
176,Vandetanib,443913-73-3,True,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,UHTHHESEBZOYNR-UHFFFAOYSA-N,UHTHHESEBZOYNR-UHFFFAOYSA-N,UHTHHESEBZOYNR,UHTHHESEBZOYNR,,UHTHHESEBZOYNR,1,B017,1,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,1,B017,resolved_structure_butina
177,Vatalanib,212141-51-0,True,,,,,,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,,,,,,U177,unresolved_identity_specific_singleton
178,VX-702,745833-23-2,True,10341154,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,FYSRKRZDBHOFAY-UHFFFAOYSA-N,FYSRKRZDBHOFAY-UHFFFAOYSA-N,FYSRKRZDBHOFAY,FYSRKRZDBHOFAY,,FYSRKRZDBHOFAY,1,B016,1,c1ccc(Nc2cccc(-c3ccccc3)n2)cc1,1,B016,resolved_structure_butina
