workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,pubchem_cid,pubchem_smiles,pubchem_inchikey,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,structure_fragment_count,butina_r2_2048_tanimoto50_cluster,butina_cluster_size,murcko_scaffold,murcko_scaffold_size,cluster_multiplier_group,cluster_multiplier_group_source
84,JNK Inhibitor IX,312917-14-9,True,766949,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CC4=CC=CC=C43)C#N,WQGDQGAFSDMBLA-UHFFFAOYSA-N,WQGDQGAFSDMBLA-UHFFFAOYSA-N,WQGDQGAFSDMBLA,WQGDQGAFSDMBLA,,WQGDQGAFSDMBLA,1,B077,1,O=C(Nc1cc2c(s1)CCCC2)c1cccc2ccccc12,1,B077,resolved_structure_butina
85,"K-252a, Nocardiopsis sp.",97161-97-2,True,,,,,,KOZFSFOOLUUIGY,KOZFSFOOLUUIGY,KOZFSFOOLUUIGY,,,,,,U085,unresolved_identity_specific_singleton
86,Kenpaullone,142273-20-9,True,3820,C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br,QQUXFYAWXPMDOE-UHFFFAOYSA-N,QQUXFYAWXPMDOE-UHFFFAOYSA-N,QQUXFYAWXPMDOE,QQUXFYAWXPMDOE,,QQUXFYAWXPMDOE,1,B006,3,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,3,B006,resolved_structure_butina
87,KN-62,127191-97-3,True,5312126,CN([C@@H](CC1=CC=C(C=C1)OS(=O)(=O)C2=CC=CC3=C2C=CN=C3)C(=O)N4CCN(CC4)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC7=C6C=CN=C7,RJVLFQBBRSMWHX-DHUJRADRSA-N,RJVLFQBBRSMWHX-DHUJRADRSA-N,RJVLFQBBRSMWHX,RJVLFQBBRSMWHX,,RJVLFQBBRSMWHX,1,B076,1,O=C(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)NS(=O)(=O)c1cccc2cnccc12)N1CCN(c2ccccc2)CC1,1,B076,resolved_structure_butina
88,KN-93,139298-40-1,True,,,,,,LLLQTDSSHZREGW,LLLQTDSSHZREGW,LLLQTDSSHZREGW,,,,,,U088,unresolved_identity_specific_singleton
89,Lck Inhibitor,213743-31-8,True,,,,,,BHJJWVDKNXABFS;FMETVQKSDIOGPX,BHJJWVDKNXABFS;FMETVQKSDIOGPX,BHJJWVDKNXABFS;FMETVQKSDIOGPX,,,,,,U089,unresolved_identity_specific_singleton
90,LY 294002,154447-36-6,True,3973,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,CZQHHVNHHHRRDU-UHFFFAOYSA-N,CZQHHVNHHHRRDU-UHFFFAOYSA-N,CZQHHVNHHHRRDU,CZQHHVNHHHRRDU,,CZQHHVNHHHRRDU,1,B004,3,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,1,B004,resolved_structure_butina
91,LY 303511- Negative control,154447-38-8,True,3971,C1CN(CCN1)C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,NGAGMBNBKCDCDJ-UHFFFAOYSA-N,NGAGMBNBKCDCDJ-UHFFFAOYSA-N,NGAGMBNBKCDCDJ,NGAGMBNBKCDCDJ,,NGAGMBNBKCDCDJ,1,B004,3,O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,1,B004,resolved_structure_butina
92,MEK Inhibitor I,297744-42-4,True,9951490,C1=CC=C(C(=C1)N)S/C(=C(\C#N)/C2=CC=CC(=C2)C(C3=CC=NC=C3)O)/N,NHBMKTBZZSJUGA-HEHNFIMWSA-N,NHBMKTBZZSJUGA-HEHNFIMWSA-N,NHBMKTBZZSJUGA,NHBMKTBZZSJUGA,,NHBMKTBZZSJUGA,1,B075,1,C(=Cc1cccc(Cc2ccncc2)c1)Sc1ccccc1,1,B075,resolved_structure_butina
93,MEK Inhibitor II,623163-52-0,True,389898,C1CC(=O)N(C1=O)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl,GYQSWJNGTWVFOL-UHFFFAOYSA-N,GYQSWJNGTWVFOL-UHFFFAOYSA-N,GYQSWJNGTWVFOL,GYQSWJNGTWVFOL,,GYQSWJNGTWVFOL,1,B074,1,O=C1C=C(N2C(=O)CCC2=O)C(=O)c2ccccc21,1,B074,resolved_structure_butina
94,MEK1/2 Inhibitor,305350-87-2,True,24906275,C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F,JLOXTZFYJNCPIS-UHFFFAOYSA-N,JLOXTZFYJNCPIS-UHFFFAOYSA-N,JLOXTZFYJNCPIS,JLOXTZFYJNCPIS,,JLOXTZFYJNCPIS,1,B073,1,C(=Cc1ccccc1)Sc1ccccc1,1,B073,resolved_structure_butina
95,Met Kinase Inhibitor,658084-23-2,True,9549297,CC1=C(NC(=C1C(=O)N2CCN(CC2)C)C)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O,FPYJSJDOHRDAMT-KQWNVCNZSA-N,FPYJSJDOHRDAMT-KQWNVCNZSA-N,FPYJSJDOHRDAMT,FPYJSJDOHRDAMT,,FPYJSJDOHRDAMT,1,B072,1,O=C1Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2C1=Cc1cc(C(=O)N2CCNCC2)c[nH]1,1,B072,resolved_structure_butina
96,MNK1 Inhibitor,522629-08-9,True,11644425,C1=CC(=CC=C1NC2=C3C(=NC=NC3=NN2)N)F,UQPMANVRZYYQMD-UHFFFAOYSA-N,UQPMANVRZYYQMD-UHFFFAOYSA-N,UQPMANVRZYYQMD,UQPMANVRZYYQMD,,UQPMANVRZYYQMD,1,B071,1,c1ccc(Nc2[nH]nc3ncncc23)cc1,1,B071,resolved_structure_butina
97,MK2a Inhibitor,41179-33-3,True,11382492,C1=CC=C(C(=C1)C2=CC=C(C=C2)CCCC(=O)NC3=CC=C(C=C3)O)F,ODYAQBDIXCVKAE-UHFFFAOYSA-N,ODYAQBDIXCVKAE-UHFFFAOYSA-N,ODYAQBDIXCVKAE,ODYAQBDIXCVKAE,,ODYAQBDIXCVKAE,1,B070,1,O=C(CCCc1ccc(-c2ccccc2)cc1)Nc1ccccc1,1,B070,resolved_structure_butina
