workbook_compound_index_1based,workbook_excel_column_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,pubchem_cas_query,pubchem_cas_query_cids,pubchem_name_query,pubchem_name_query_cids,pubchem_cas_query_url,pubchem_name_query_url,pubchem_cid,resolution_status,resolution_ambiguity,resolution_decision,pubchem_access_date,candidate_pubchem_cids,candidate_pubchem_inchikeys,candidate_connectivity_blocks,pubchem_smiles,pubchem_connectivity_smiles,pubchem_inchikey,pubchem_iupac_name,rdkit_standard_inchikey,rdkit_connectivity,rdkit_canonical_isomeric_smiles,rdkit_canonical_nonisomeric_smiles,structure_fragment_count,pubchem_rdkit_inchikey_agree,structure_usable,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks
147,148,AG 112,144978-82-5,True,,144978-82-5,5328804,AG 112,5328804,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/144978-82-5/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AG%20112/cids/JSON,5328804,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5328804,DXVJRTIPBNBLLB-BJMVGYQFSA-N,DXVJRTIPBNBLLB,C1=CC(=CC=C1/C=C(\C#N)/C(=C(C#N)C#N)N)O,C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O,DXVJRTIPBNBLLB-BJMVGYQFSA-N,"(3Z)-2-amino-4-(4-hydroxyphenyl)buta-1,3-diene-1,1,3-tricarbonitrile",DXVJRTIPBNBLLB-BJMVGYQFSA-N,DXVJRTIPBNBLLB,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,N#CC(=Cc1ccc(O)cc1)C(N)=C(C#N)C#N,1,True,True,,DXVJRTIPBNBLLB
148,149,AG 1295,71897-07-9,True,,71897-07-9,2048,AG 1295,2048,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/71897-07-9/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AG%201295/cids/JSON,2048,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,2048,FQNCLVJEQCJWSU-UHFFFAOYSA-N,FQNCLVJEQCJWSU,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,FQNCLVJEQCJWSU-UHFFFAOYSA-N,"6,7-dimethyl-2-phenylquinoxaline",FQNCLVJEQCJWSU-UHFFFAOYSA-N,FQNCLVJEQCJWSU,Cc1cc2ncc(-c3ccccc3)nc2cc1C,Cc1cc2ncc(-c3ccccc3)nc2cc1C,1,True,True,,FQNCLVJEQCJWSU
149,150,AG 1296,146535-11-7,True,,146535-11-7,2049,AG 1296,2049,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/146535-11-7/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AG%201296/cids/JSON,2049,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,2049,QNOXYUNHIGOWNY-UHFFFAOYSA-N,QNOXYUNHIGOWNY,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,QNOXYUNHIGOWNY-UHFFFAOYSA-N,"6,7-dimethoxy-2-phenylquinoxaline",QNOXYUNHIGOWNY-UHFFFAOYSA-N,QNOXYUNHIGOWNY,COc1cc2ncc(-c3ccccc3)nc2cc1OC,COc1cc2ncc(-c3ccccc3)nc2cc1OC,1,True,True,,QNOXYUNHIGOWNY
150,151,AG 1478,175178-82-2,True,,175178-82-2,2051,AG 1478,2051;3035187,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/175178-82-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/AG%201478/cids/JSON,2051,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,2051;3035187,GFNNBHLJANVSQV-UHFFFAOYSA-N;WDJDYIUSDDVWKB-UHFFFAOYSA-N,GFNNBHLJANVSQV;WDJDYIUSDDVWKB,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,GFNNBHLJANVSQV-UHFFFAOYSA-N,"N-(3-chlorophenyl)-6,7-dimethoxyquinazolin-4-amine",GFNNBHLJANVSQV-UHFFFAOYSA-N,GFNNBHLJANVSQV,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,1,True,True,,GFNNBHLJANVSQV
151,152,VEGF Receptor 2 Kinase Inhibitor I,15966-93-5,True,,15966-93-5,6419834,VEGF Receptor 2 Kinase Inhibitor I,6419834,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/15966-93-5/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VEGF%20Receptor%202%20Kinase%20Inhibitor%20I/cids/JSON,6419834,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,6419834,PMUJUSJUVIXDQC-LCYFTJDESA-N,PMUJUSJUVIXDQC,CCOC(=O)C1=C(NC(=C1C)/C=C\2/C3=CC=CC=C3NC2=O)C,CCOC(=O)C1=C(NC(=C1C)C=C2C3=CC=CC=C3NC2=O)C,PMUJUSJUVIXDQC-LCYFTJDESA-N,"ethyl 2,4-dimethyl-5-[(Z)-(2-oxo-1H-indol-3-ylidene)methyl]-1H-pyrrole-3-carboxylate",PMUJUSJUVIXDQC-LCYFTJDESA-N,PMUJUSJUVIXDQC,CCOC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,CCOC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C,1,True,True,,PMUJUSJUVIXDQC
152,153,VEGF Receptor Tyrosine Kinase Inhibitor II,269390-69-4,True,,269390-69-4,9797919,VEGF Receptor Tyrosine Kinase Inhibitor II,9797919,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/269390-69-4/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VEGF%20Receptor%20Tyrosine%20Kinase%20Inhibitor%20II/cids/JSON,9797919,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,9797919,GGPZCOONYBPZEW-UHFFFAOYSA-N,GGPZCOONYBPZEW,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)Cl)NCC3=CC=NC=C3,GGPZCOONYBPZEW-UHFFFAOYSA-N,N-(4-chlorophenyl)-2-(pyridin-4-ylmethylamino)benzamide,GGPZCOONYBPZEW-UHFFFAOYSA-N,GGPZCOONYBPZEW,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,1,True,True,,GGPZCOONYBPZEW
153,154,"VEGF Receptor Tyrosine Kinase Inhibitor III, KRN633",286370-15-8,True,,286370-15-8,9549295,"VEGF Receptor Tyrosine Kinase Inhibitor III, KRN633",,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/286370-15-8/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VEGF%20Receptor%20Tyrosine%20Kinase%20Inhibitor%20III%2C%20KRN633/cids/JSON,9549295,resolved_unique_cas_name_not_found,False,cas_unique,2026-08-10,9549295,VPBYZLCHOKSGRX-UHFFFAOYSA-N,VPBYZLCHOKSGRX,CCCNC(=O)NC1=C(C=C(C=C1)OC2=NC=NC3=CC(=C(C=C32)OC)OC)Cl,CCCNC(=O)NC1=C(C=C(C=C1)OC2=NC=NC3=CC(=C(C=C32)OC)OC)Cl,VPBYZLCHOKSGRX-UHFFFAOYSA-N,"1-[2-chloro-4-(6,7-dimethoxyquinazolin-4-yl)oxyphenyl]-3-propylurea",VPBYZLCHOKSGRX-UHFFFAOYSA-N,VPBYZLCHOKSGRX,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,1,True,True,,VPBYZLCHOKSGRX
154,155,VEGF Receptor 2 Kinase Inhibitor II,288144-20-7,False,MAPK14,288144-20-7,5329155,VEGF Receptor 2 Kinase Inhibitor II,5329155,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/288144-20-7/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VEGF%20Receptor%202%20Kinase%20Inhibitor%20II/cids/JSON,5329155,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5329155,RFHPWPWVGFSLOP-ZROIWOOFSA-N,RFHPWPWVGFSLOP,C1CCC2=C(C1)C=C(N2)/C=C\3/C4=C(C=CC(=C4)Br)NC3=O,C1CCC2=C(C1)C=C(N2)C=C3C4=C(C=CC(=C4)Br)NC3=O,RFHPWPWVGFSLOP-ZROIWOOFSA-N,"(3Z)-5-bromo-3-(4,5,6,7-tetrahydro-1H-indol-2-ylmethylidene)-1H-indol-2-one",RFHPWPWVGFSLOP-ZROIWOOFSA-N,RFHPWPWVGFSLOP,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,O=C1Nc2ccc(Br)cc2C1=Cc1cc2c([nH]1)CCCC2,1,True,True,,RFHPWPWVGFSLOP
155,156,VEGF Receptor 2 Kinase Inhibitor III,204005-46-9,True,,204005-46-9,123015,VEGF Receptor 2 Kinase Inhibitor III,5329098,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/204005-46-9/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VEGF%20Receptor%202%20Kinase%20Inhibitor%20III/cids/JSON,,unresolved_cas_name_conflict,True,disjoint_candidate_sets,2026-08-10,123015;5329098,WUWDLXZGHZSWQZ-UHFFFAOYSA-N;WUWDLXZGHZSWQZ-WQLSENKSSA-N,WUWDLXZGHZSWQZ,,,,,,,,,,False,False,WUWDLXZGHZSWQZ,WUWDLXZGHZSWQZ
156,157,VEGF Receptor 2 Kinase Inhibitor IV,216661-57-3,True,,216661-57-3,5329468,VEGF Receptor 2 Kinase Inhibitor IV,5329468,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/216661-57-3/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VEGF%20Receptor%202%20Kinase%20Inhibitor%20IV/cids/JSON,5329468,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5329468,HBWLNACPIFKNIP-UHFFFAOYSA-N,HBWLNACPIFKNIP,COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=CSC=C4)N=C2,COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=CSC=C4)N=C2,HBWLNACPIFKNIP-UHFFFAOYSA-N,"6-(4-methoxyphenyl)-3-thiophen-3-ylpyrazolo[1,5-a]pyrimidine",HBWLNACPIFKNIP-UHFFFAOYSA-N,HBWLNACPIFKNIP,COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,1,True,True,,HBWLNACPIFKNIP
