workbook_compound_index_1based,workbook_excel_column_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,pubchem_cas_query,pubchem_cas_query_cids,pubchem_name_query,pubchem_name_query_cids,pubchem_cas_query_url,pubchem_name_query_url,pubchem_cid,resolution_status,resolution_ambiguity,resolution_decision,pubchem_access_date,candidate_pubchem_cids,candidate_pubchem_inchikeys,candidate_connectivity_blocks,pubchem_smiles,pubchem_connectivity_smiles,pubchem_inchikey,pubchem_iupac_name,rdkit_standard_inchikey,rdkit_connectivity,rdkit_canonical_isomeric_smiles,rdkit_canonical_nonisomeric_smiles,structure_fragment_count,pubchem_rdkit_inchikey_agree,structure_usable,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks
157,158,Wortmannin,19545-26-7,True,,19545-26-7,312145,Wortmannin,312145,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/19545-26-7/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Wortmannin/cids/JSON,312145,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,312145,QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,QDLHCMPXEPAAMD-QAIWCSMKSA-N,"[(1R,3R,5S,9R,18S)-18-(methoxymethyl)-1,5-dimethyl-6,11,16-trioxo-13,17-dioxapentacyclo[10.6.1.02,10.05,9.015,19]nonadeca-2(10),12(19),14-trien-3-yl] acetate",QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,COCC1OC(=O)c2coc3c2C1(C)C1=C(C3=O)C2CCC(=O)C2(C)CC1OC(C)=O,1,True,True,,QDLHCMPXEPAAMD
158,159,"ROCK Inhibitor, Y-27632",146986-50-7,True,,146986-50-7,448042,"ROCK Inhibitor, Y-27632",448042,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/146986-50-7/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/ROCK%20Inhibitor%2C%20Y-27632/cids/JSON,448042,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,448042,IYOZTVGMEWJPKR-VOMCLLRMSA-N,IYOZTVGMEWJPKR,C[C@H](C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,IYOZTVGMEWJPKR-VOMCLLRMSA-N,4-[(1R)-1-aminoethyl]-N-pyridin-4-ylcyclohexane-1-carboxamide,IYOZTVGMEWJPKR-VOMCLLRMSA-N,IYOZTVGMEWJPKR,C[C@@H](N)C1CCC(C(=O)Nc2ccncc2)CC1,CC(N)C1CCC(C(=O)Nc2ccncc2)CC1,1,True,True,,IYOZTVGMEWJPKR
159,160,Bosutinib,380843-75-4,True,,380843-75-4,5328940,Bosutinib,5328940,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/380843-75-4/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Bosutinib/cids/JSON,5328940,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5328940,UBPYILGKFZZVDX-UHFFFAOYSA-N,UBPYILGKFZZVDX,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,UBPYILGKFZZVDX-UHFFFAOYSA-N,"4-(2,4-dichloro-5-methoxyanilino)-6-methoxy-7-[3-(4-methylpiperazin-1-yl)propoxy]quinoline-3-carbonitrile",UBPYILGKFZZVDX-UHFFFAOYSA-N,UBPYILGKFZZVDX,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1,True,True,,UBPYILGKFZZVDX
160,161,Dasatinib,302962-49-8,True,,302962-49-8,3062316,Dasatinib,3062316,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/302962-49-8/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Dasatinib/cids/JSON,3062316,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,3062316,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,ZBNZXTGUTAYRHI,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,"N-(2-chloro-6-methylphenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide",ZBNZXTGUTAYRHI-UHFFFAOYSA-N,ZBNZXTGUTAYRHI,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1,True,True,,ZBNZXTGUTAYRHI
161,162,Dovitinib,405169-16-6,True,,405169-16-6,135398510,Dovitinib,135398510,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/405169-16-6/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Dovitinib/cids/JSON,135398510,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,135398510,PIQCTGMSNWUMAF-UHFFFAOYSA-N,PIQCTGMSNWUMAF,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N,PIQCTGMSNWUMAF-UHFFFAOYSA-N,4-amino-5-fluoro-3-[6-(4-methylpiperazin-1-yl)-1H-benzimidazol-2-yl]-1H-quinolin-2-one,PIQCTGMSNWUMAF-UHFFFAOYSA-N,PIQCTGMSNWUMAF,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,1,True,True,,PIQCTGMSNWUMAF
162,163,Erlotinib,183319-69-9,True,,183319-69-9,176871,Erlotinib,176870,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/183319-69-9/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Erlotinib/cids/JSON,,unresolved_cas_name_conflict,True,disjoint_candidate_sets,2026-08-10,176870;176871,AAKJLRGGTJKAMG-UHFFFAOYSA-N;GTTBEUCJPZQMDZ-UHFFFAOYSA-N,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,,,,,,,,,,False,False,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ
163,164,Gefitinib,184475-35-2,True,,184475-35-2,123631,Gefitinib,123631,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/184475-35-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Gefitinib/cids/JSON,123631,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,123631,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,XGALLCVXEZPNRQ-UHFFFAOYSA-N,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-morpholin-4-ylpropoxy)quinazolin-4-amine,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,1,True,True,,XGALLCVXEZPNRQ
164,165,Imatinib,220127-57-1,True,,220127-57-1,123596,Imatinib,5291,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/220127-57-1/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Imatinib/cids/JSON,,unresolved_cas_name_conflict,True,disjoint_candidate_sets,2026-08-10,5291;123596,KTUFNOKKBVMGRW-UHFFFAOYSA-N;YLMAHDNUQAMNNX-UHFFFAOYSA-N,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,,,,,,,,,,False,False,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX
165,166,Lapatinib,231277-92-2,True,,231277-92-2,208908,Lapatinib,208908,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/231277-92-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Lapatinib/cids/JSON,208908,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,208908,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,BCFGMOOMADDAQU-UHFFFAOYSA-N,N-[3-chloro-4-[(3-fluorophenyl)methoxy]phenyl]-6-[5-[(2-methylsulfonylethylamino)methyl]furan-2-yl]quinazolin-4-amine,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1,True,True,,BCFGMOOMADDAQU
166,167,Masitinib,790299-79-5,True,,790299-79-5,10074640,Masitinib,10074640,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/790299-79-5/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Masitinib/cids/JSON,10074640,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,10074640,WJEOLQLKVOPQFV-UHFFFAOYSA-N,WJEOLQLKVOPQFV,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5,WJEOLQLKVOPQFV-UHFFFAOYSA-N,"4-[(4-methylpiperazin-1-yl)methyl]-N-[4-methyl-3-[(4-pyridin-3-yl-1,3-thiazol-2-yl)amino]phenyl]benzamide",WJEOLQLKVOPQFV-UHFFFAOYSA-N,WJEOLQLKVOPQFV,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,1,True,True,,WJEOLQLKVOPQFV
167,168,Mubritinib,366017-09-6,True,,366017-09-6,6444692,Mubritinib,6444692,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/366017-09-6/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Mubritinib/cids/JSON,6444692,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,6444692,ZTFBIUXIQYRUNT-MDWZMJQESA-N,ZTFBIUXIQYRUNT,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)/C=C/C4=CC=C(C=C4)C(F)(F)F,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F,ZTFBIUXIQYRUNT-MDWZMJQESA-N,"4-[[4-[4-(triazol-1-yl)butyl]phenoxy]methyl]-2-[(E)-2-[4-(trifluoromethyl)phenyl]ethenyl]-1,3-oxazole",ZTFBIUXIQYRUNT-MDWZMJQESA-N,ZTFBIUXIQYRUNT,FC(F)(F)c1ccc(/C=C/c2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,FC(F)(F)c1ccc(C=Cc2nc(COc3ccc(CCCCn4ccnn4)cc3)co2)cc1,1,True,True,,ZTFBIUXIQYRUNT
168,169,Nilotinib,641571-10-0,True,,641571-10-0,644241,Nilotinib,644241,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/641571-10-0/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Nilotinib/cids/JSON,644241,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,644241,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,HHZIURLSWUIHRB-UHFFFAOYSA-N,4-methyl-N-[3-(4-methylimidazol-1-yl)-5-(trifluoromethyl)phenyl]-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]benzamide,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,1,True,True,,HHZIURLSWUIHRB
169,170,Pazopanib,444731-52-6,True,,444731-52-6,10113978,Pazopanib,10113978,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/444731-52-6/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Pazopanib/cids/JSON,10113978,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,10113978,CUIHSIWYWATEQL-UHFFFAOYSA-N,CUIHSIWYWATEQL,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,CUIHSIWYWATEQL-UHFFFAOYSA-N,"5-[[4-[(2,3-dimethylindazol-6-yl)-methylamino]pyrimidin-2-yl]amino]-2-methylbenzenesulfonamide",CUIHSIWYWATEQL-UHFFFAOYSA-N,CUIHSIWYWATEQL,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,1,True,True,,CUIHSIWYWATEQL
170,171,Roscovitine,186692-46-6,True,,186692-46-6,160355,Roscovitine,160355,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/186692-46-6/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Roscovitine/cids/JSON,160355,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,160355,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,BTIHMVBBUGXLCJ,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,(2R)-2-[[6-(benzylamino)-9-propan-2-ylpurin-2-yl]amino]butan-1-ol,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,BTIHMVBBUGXLCJ,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,1,True,True,,BTIHMVBBUGXLCJ
171,172,Sorafenib,284461-73-0,True,,284461-73-0,216239,Sorafenib,216239,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/284461-73-0/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Sorafenib/cids/JSON,216239,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,216239,MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,MLDQJTXFUGDVEO-UHFFFAOYSA-N,4-[4-[[4-chloro-3-(trifluoromethyl)phenyl]carbamoylamino]phenoxy]-N-methylpyridine-2-carboxamide,MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1,True,True,,MLDQJTXFUGDVEO
172,173,Sunitinib,557795-19-4,True,,557795-19-4,5329102,Sunitinib,5329102,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/557795-19-4/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Sunitinib/cids/JSON,5329102,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5329102,WINHZLLDWRZWRT-ATVHPVEESA-N,WINHZLLDWRZWRT,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,WINHZLLDWRZWRT-ATVHPVEESA-N,"N-[2-(diethylamino)ethyl]-5-[(Z)-(5-fluoro-2-oxo-1H-indol-3-ylidene)methyl]-2,4-dimethyl-1H-pyrrole-3-carboxamide",WINHZLLDWRZWRT-ATVHPVEESA-N,WINHZLLDWRZWRT,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,1,True,True,,WINHZLLDWRZWRT
173,174,Tandutinib,387867-13-2,True,,387867-13-2,3038522,Tandutinib,3038522,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/387867-13-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Tandutinib/cids/JSON,3038522,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,3038522,UXXQOJXBIDBUAC-UHFFFAOYSA-N,UXXQOJXBIDBUAC,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,UXXQOJXBIDBUAC-UHFFFAOYSA-N,4-[6-methoxy-7-(3-piperidin-1-ylpropoxy)quinazolin-4-yl]-N-(4-propan-2-yloxyphenyl)piperazine-1-carboxamide,UXXQOJXBIDBUAC-UHFFFAOYSA-N,UXXQOJXBIDBUAC,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,1,True,True,,UXXQOJXBIDBUAC
174,175,Tofacitinib,477600-75-2,True,,477600-75-2,9926791,Tofacitinib,9926791,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/477600-75-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Tofacitinib/cids/JSON,9926791,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,9926791,UJLAWZDWDVHWOW-YPMHNXCESA-N,UJLAWZDWDVHWOW,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,UJLAWZDWDVHWOW-YPMHNXCESA-N,"3-[(3R,4R)-4-methyl-3-[methyl(7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino]piperidin-1-yl]-3-oxopropanenitrile",UJLAWZDWDVHWOW-YPMHNXCESA-N,UJLAWZDWDVHWOW,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,1,True,True,,UJLAWZDWDVHWOW
175,176,Tozasertib,639089-54-6,True,,639089-54-6,5494449,Tozasertib,5494449,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/639089-54-6/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Tozasertib/cids/JSON,5494449,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,5494449,GCIKSSRWRFVXBI-UHFFFAOYSA-N,GCIKSSRWRFVXBI,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,GCIKSSRWRFVXBI-UHFFFAOYSA-N,N-[4-[4-(4-methylpiperazin-1-yl)-6-[(5-methyl-1H-pyrazol-3-yl)amino]pyrimidin-2-yl]sulfanylphenyl]cyclopropanecarboxamide,GCIKSSRWRFVXBI-UHFFFAOYSA-N,GCIKSSRWRFVXBI,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,1,True,True,,GCIKSSRWRFVXBI
176,177,Vandetanib,443913-73-3,True,,443913-73-3,3081361,Vandetanib,3081361,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/443913-73-3/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Vandetanib/cids/JSON,3081361,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,3081361,UHTHHESEBZOYNR-UHFFFAOYSA-N,UHTHHESEBZOYNR,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,UHTHHESEBZOYNR-UHFFFAOYSA-N,N-(4-bromo-2-fluorophenyl)-6-methoxy-7-[(1-methylpiperidin-4-yl)methoxy]quinazolin-4-amine,UHTHHESEBZOYNR-UHFFFAOYSA-N,UHTHHESEBZOYNR,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,1,True,True,,UHTHHESEBZOYNR
177,178,Vatalanib,212141-51-0,True,,212141-51-0,22386467,Vatalanib,151194,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/212141-51-0/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Vatalanib/cids/JSON,,unresolved_cas_name_conflict,True,disjoint_candidate_sets,2026-08-10,151194;22386467,AZUQEHCMDUSRLH-UHFFFAOYSA-N;YCOYDOIWSSHVCK-UHFFFAOYSA-N,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,,,,,,,,,,False,False,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK
178,179,VX-702,745833-23-2,True,,745833-23-2,10341154,VX-702,10341154,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/745833-23-2/cids/JSON,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/VX-702/cids/JSON,10341154,resolved_unique_cas_name_agrees,False,cas_name_agree,2026-08-10,10341154,FYSRKRZDBHOFAY-UHFFFAOYSA-N,FYSRKRZDBHOFAY,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F,FYSRKRZDBHOFAY-UHFFFAOYSA-N,"6-(N-carbamoyl-2,6-difluoroanilino)-2-(2,4-difluorophenyl)pyridine-3-carboxamide",FYSRKRZDBHOFAY-UHFFFAOYSA-N,FYSRKRZDBHOFAY,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,NC(=O)c1ccc(N(C(N)=O)c2c(F)cccc2F)nc1-c1ccc(F)cc1F,1,True,True,,FYSRKRZDBHOFAY
