workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,butina_r2_2048_tanimoto50_cluster,murcko_scaffold,cluster_multiplier_group,cluster_multiplier_group_source
28,"Casein Kinase II Inhibitor III, TBCA",934358-00-6,True,,True,SVJQCVOKYJWUBC-OWOJBTEDSA-N,SVJQCVOKYJWUBC,SVJQCVOKYJWUBC,,SVJQCVOKYJWUBC,B115,c1ccccc1,B115,resolved_structure_butina
29,Cdk4 Inhibitor,546102-60-7,True,,True,NMFKDDRQSNVETB-UHFFFAOYSA-N,NMFKDDRQSNVETB,NMFKDDRQSNVETB,,NMFKDDRQSNVETB,B114,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,B114,resolved_structure_butina
30,Cdk4 Inhibitor II NSC 625987,141992-47-4,True,,True,KFAKESMKRPNZTM-UHFFFAOYSA-N,KFAKESMKRPNZTM,KFAKESMKRPNZTM,,KFAKESMKRPNZTM,B113,S=c1c2ccccc2[nH]c2ccccc12,B113,resolved_structure_butina
31,Cdk4 Inhibitor III,265312-55-8,True,,True,HFPLHASLIOXVGS-UHFFFAOYSA-N,HFPLHASLIOXVGS,HFPLHASLIOXVGS,,HFPLHASLIOXVGS,B112,O=C1C(Nc2ccccc2)=CC(=O)c2scnc21,B112,resolved_structure_butina
32,"Cdc2-Like Kinase Inhibitor, TG003",300801-52-9,True,,False,,,BGVLELSCIHASRV,BGVLELSCIHASRV,BGVLELSCIHASRV,,,U032,unresolved_identity_specific_singleton
33,Cdk/Crk Inhibitor,784211-09-2,True,,True,RSQPNXBTPUXMQN-UHFFFAOYSA-N,RSQPNXBTPUXMQN,RSQPNXBTPUXMQN,,RSQPNXBTPUXMQN,B111,O=c1[nH]c(Cc2ccccc2)nc2c1cnn2-c1ccccc1,B111,resolved_structure_butina
34,Chelerythrine Chloride,3895-92-9,True,,True,WEEFNMFMNMASJY-UHFFFAOYSA-M,WEEFNMFMNMASJY,WEEFNMFMNMASJY,,WEEFNMFMNMASJY,B110,c1ccc2c(c1)c[nH+]c1c3cc4c(cc3ccc21)OCO4,B110,resolved_structure_butina
35,Chk2 Inhibitor II,516480-79-8,True,,True,UXGJAOIJSROTTN-UHFFFAOYSA-N,UXGJAOIJSROTTN,UXGJAOIJSROTTN,,UXGJAOIJSROTTN,B109,c1ccc(Oc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,B109,resolved_structure_butina
36,Compound 52,212779-48-1,True,,True,XZEFMZCNXDQXOZ-UHFFFAOYSA-N,XZEFMZCNXDQXOZ,XZEFMZCNXDQXOZ,,XZEFMZCNXDQXOZ,B001,c1ccc(Nc2ncnc3[nH]cnc23)cc1,B001,resolved_structure_butina
37,Compound 56,171745-13-4,True,,True,YXOXHAUUTIOBDA-UHFFFAOYSA-N,YXOXHAUUTIOBDA,YXOXHAUUTIOBDA,,YXOXHAUUTIOBDA,B000,c1ccc(Nc2ncnc3ccccc23)cc1,B000,resolved_structure_butina
38,Cdk2 Inhibitor III,199986-75-9,True,,True,NQVIIUBWMBHLOZ-UHFFFAOYSA-N,NQVIIUBWMBHLOZ,NQVIIUBWMBHLOZ,,NQVIIUBWMBHLOZ,B108,c1ccc(CNc2ncnc3[nH]cnc23)cc1,B108,resolved_structure_butina
39,"Cdk2 Inhibitor IV, NU6140",444723-13-1,True,,True,XHEQSRJCJTWWAH-UHFFFAOYSA-N,XHEQSRJCJTWWAH,XHEQSRJCJTWWAH,,XHEQSRJCJTWWAH,B107,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,B107,resolved_structure_butina
40,DNA-PK Inhibitor II,154447-35-5,True,,True,KKTZALUTXUZPSN-UHFFFAOYSA-N,KKTZALUTXUZPSN,KKTZALUTXUZPSN,,KKTZALUTXUZPSN,B004,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,B004,resolved_structure_butina
41,DNA-PK Inhibitor III,404009-40-1,True,,True,YHKSBKQXCWHTQL-UHFFFAOYSA-N,YHKSBKQXCWHTQL,YHKSBKQXCWHTQL,,YHKSBKQXCWHTQL,B013,c1ccc(N2CCOCC2)cc1,B013,resolved_structure_butina
42,DNA-PK Inhibitor V,404009-46-7,True,,True,FALILNHGILFDLC-UHFFFAOYSA-N,FALILNHGILFDLC,FALILNHGILFDLC,,FALILNHGILFDLC,B013,O=C(c1ccccc1)c1ccc(N2CCOCC2)cc1,B013,resolved_structure_butina
43,Diacylglycerol Kinase Inhibitor II,120166-69-0,True,,True,ZCNBZFRECRPCKU-UHFFFAOYSA-N,ZCNBZFRECRPCKU,ZCNBZFRECRPCKU,,ZCNBZFRECRPCKU,B106,O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccccc2)c2ccccc2)CC1,B106,resolved_structure_butina
44,DMBI,5812-07-7,True,,False,,,UAKWLVYMKBWHMX,UAKWLVYMKBWHMX,UAKWLVYMKBWHMX,,,U044,unresolved_identity_specific_singleton
45,EGFR/ErbB-2 Inhibitor,179248-61-4,True,,True,DNOKYISWMVFYFA-UHFFFAOYSA-N,DNOKYISWMVFYFA,DNOKYISWMVFYFA,,DNOKYISWMVFYFA,B000,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,B000,resolved_structure_butina
46,EGFR Inhibitor,879127-07-8,True,,True,YOHYSYJDKVYCJI-UHFFFAOYSA-N,YOHYSYJDKVYCJI,YOHYSYJDKVYCJI,,YOHYSYJDKVYCJI,B012,O=C(Nc1cccc(Nc2cc(Nc3ccccc3)ncn2)c1)C1CC1,B012,resolved_structure_butina
47,EGFR/ErbB-2/ErbB-4 Inhibitor,881001-19-0,True,,True,DLPSDPPZXRJQOY-UHFFFAOYSA-N,DLPSDPPZXRJQOY,DLPSDPPZXRJQOY,,DLPSDPPZXRJQOY,B105,c1ccc(Nc2ncnc3cnccc23)cc1,B105,resolved_structure_butina
48,"ERK Inhibitor II, FR180204",865362-74-9,True,,True,XVECMUKVOMUNLE-UHFFFAOYSA-N,XVECMUKVOMUNLE,XVECMUKVOMUNLE,,XVECMUKVOMUNLE,B104,c1ccc(-c2nn3ccccc3c2-c2cc3c[nH]nc3nn2)cc1,B104,resolved_structure_butina
49,ERK Inhibitor III,345616-52-6,True,,False,,,RODAAYVFYDKHGT;USTUZACYWHRDNL,RODAAYVFYDKHGT;USTUZACYWHRDNL,RODAAYVFYDKHGT;USTUZACYWHRDNL,,,U049,unresolved_identity_specific_singleton
50,"Fascaplysin, Synthetic",114719-57-2,True,,True,WYQIPCUPNMRAKP-UHFFFAOYSA-O,WYQIPCUPNMRAKP,WYQIPCUPNMRAKP,,WYQIPCUPNMRAKP,B103,O=C1c2ccccc2-[n+]2ccc3c([nH]c4ccccc43)c21,B103,resolved_structure_butina
51,Flt-3 Inhibitor,301305-73-7,True,,True,FSPQCTGGIANIJZ-UHFFFAOYSA-N,FSPQCTGGIANIJZ,FSPQCTGGIANIJZ,,FSPQCTGGIANIJZ,B102,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,B102,resolved_structure_butina
52,Flt-3 Inhibitor II,896138-40-2,True,,True,NIMIWWQLOGNYHD-UHFFFAOYSA-N,NIMIWWQLOGNYHD,NIMIWWQLOGNYHD,,NIMIWWQLOGNYHD,B101,O=C(c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,B101,resolved_structure_butina
53,Flt-3 Inhibitor III,852045-46-6,True,,True,FNZTULJDGIXMJJ-UHFFFAOYSA-N,FNZTULJDGIXMJJ,FNZTULJDGIXMJJ,,FNZTULJDGIXMJJ,B100,c1ccc(-c2cnc(Nc3ccc(OCCN4CCCC4)cc3)s2)cc1,B100,resolved_structure_butina
54,cFMS Receptor Tyrosine Kinase Inhibitor,870483-87-7,True,,True,MYQAUKPBNJWPIE-UHFFFAOYSA-N,MYQAUKPBNJWPIE,MYQAUKPBNJWPIE,,MYQAUKPBNJWPIE,B099,c1ccc(COc2ccc(Cc3cncnc3)cc2)cc1,B099,resolved_structure_butina
55,GSK-3b Inhibitor I,327036-89-5,True,,True,JDSJDASOXWCHPN-UHFFFAOYSA-N,JDSJDASOXWCHPN,JDSJDASOXWCHPN,,JDSJDASOXWCHPN,B098,O=c1[nH]sc(=O)n1Cc1ccccc1,B098,resolved_structure_butina
56,GSK-3b Inhibitor II,478482-75-6,True,,True,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,ZRHRPGSSSVYBRG,ZRHRPGSSSVYBRG,,ZRHRPGSSSVYBRG,B097,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,B097,resolved_structure_butina
57,GSK-3b Inhibitor VIII,487021-52-3,True,,True,YAEMHJKFIIIULI-UHFFFAOYSA-N,YAEMHJKFIIIULI,YAEMHJKFIIIULI,,YAEMHJKFIIIULI,B096,O=C(NCc1ccccc1)Nc1nccs1,B096,resolved_structure_butina
58,GSK-3 Inhibitor IX,667463-62-9,True,,True,SAQUSDSPQYQNBG-UHFFFAOYSA-N,SAQUSDSPQYQNBG,SAQUSDSPQYQNBG,,SAQUSDSPQYQNBG,B011,c1ccc2[nH]c(-c3c[nH]c4ccccc34)cc2c1,B011,resolved_structure_butina
59,GSK-3 Inhibitor X,740841-15-0,True,,False,,,HUDSYNWJCPDHLL,HUDSYNWJCPDHLL,HUDSYNWJCPDHLL,,,U059,unresolved_identity_specific_singleton
60,GSK-3b Inhibitor XI,626604-39-5,True,,True,ZDEJZKULWCZIHL-UHFFFAOYSA-N,ZDEJZKULWCZIHL,ZDEJZKULWCZIHL,,ZDEJZKULWCZIHL,B095,O=C1NC(=O)C(c2c[nH]c3ncccc23)=C1c1cnccn1,B095,resolved_structure_butina
61,"GSK3b Inhibitor XII, TWS119",601514-19-6,True,,True,VPVLEBIVXZSOMQ-UHFFFAOYSA-N,VPVLEBIVXZSOMQ,VPVLEBIVXZSOMQ,,VPVLEBIVXZSOMQ,B094,c1ccc(Oc2ncnc3[nH]c(-c4ccccc4)cc23)cc1,B094,resolved_structure_butina
62,GSK-3 Inhibitor XIII,404828-08-6,True,,True,JYCUVOXSZBECAY-UHFFFAOYSA-N,JYCUVOXSZBECAY,JYCUVOXSZBECAY,,JYCUVOXSZBECAY,B093,c1ccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)cc1,B093,resolved_structure_butina
63,Gö 6976,136194-77-9,True,,True,VWVYILCFSYNJHF-UHFFFAOYSA-N,VWVYILCFSYNJHF,VWVYILCFSYNJHF,,VWVYILCFSYNJHF,B092,O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,B092,resolved_structure_butina
64,Gö 6983,133053-19-7,True,,True,LLJJDLHGZUOMQP-UHFFFAOYSA-N,LLJJDLHGZUOMQP,LLJJDLHGZUOMQP,,LLJJDLHGZUOMQP,B005,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,B005,resolved_structure_butina
65,GTP-14564,34823-86-4,True,,True,DZQLVVLATXPWBK-UHFFFAOYSA-N,DZQLVVLATXPWBK,DZQLVVLATXPWBK,,DZQLVVLATXPWBK,B091,c1ccc(-c2n[nH]c3c2oc2ccccc23)cc1,B091,resolved_structure_butina
66,Isogranulatimide,244148-46-7,True,,True,KUWAFJHRXZRHJH-UHFFFAOYSA-N,KUWAFJHRXZRHJH,KUWAFJHRXZRHJH,,KUWAFJHRXZRHJH,B090,O=c1[nH]cc2c1c1c3ccccc3nc1n1cncc21,B090,resolved_structure_butina
67,"H-89, Dihydrochloride",127243-85-0,True,,False,,,GELOGQJVGPIKAM;ZKZXNDJNWUTGDK,GELOGQJVGPIKAM;ZKZXNDJNWUTGDK,GELOGQJVGPIKAM;ZKZXNDJNWUTGDK,,,U067,unresolved_identity_specific_singleton
68,"HA 1077, Dihydrochloride Fasudil",103745-39-7,True,,True,NGOGFTYYXHNFQH-UHFFFAOYSA-N,NGOGFTYYXHNFQH,NGOGFTYYXHNFQH,,NGOGFTYYXHNFQH,B089,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,B089,resolved_structure_butina
69,"Herbimycin A, Streptomyces sp.",70563-58-5,True,,True,MCAHMSDENAOJFZ-BVXDHVRPSA-N,MCAHMSDENAOJFZ,MCAHMSDENAOJFZ,,MCAHMSDENAOJFZ,B088,O=C1C=C2CCCCCCC=CCCC=CC=CC(=O)NC(=C1)C2=O,B088,resolved_structure_butina
70,IC261,186611-52-9,True,,True,JBJYTZXCZDNOJW-JLHYYAGUSA-N,JBJYTZXCZDNOJW,JBJYTZXCZDNOJW,,JBJYTZXCZDNOJW,B087,O=C1Nc2ccccc2C1=Cc1ccccc1,B087,resolved_structure_butina
71,IKK-2 Inhibitor IV,507475-17-4,True,,True,SAYGKHKXGCPTLX-UHFFFAOYSA-N,SAYGKHKXGCPTLX,SAYGKHKXGCPTLX,,SAYGKHKXGCPTLX,B086,c1ccc(-c2cccs2)cc1,B086,resolved_structure_butina
72,Indirubin Derivative E804,854171-35-0,True,,False,,,TWOSIFOFWWXXIG,TWOSIFOFWWXXIG,TWOSIFOFWWXXIG,,,U072,unresolved_identity_specific_singleton
73,Indirubin-3′-monoxime,160807-49-8,True,,True,FQCPPVRJPILDIK-UHFFFAOYSA-N,FQCPPVRJPILDIK,FQCPPVRJPILDIK,,FQCPPVRJPILDIK,B011,c1ccc2[nH]c(-c3c[nH]c4ccccc34)cc2c1,B011,resolved_structure_butina
74,IGF-1R Inhibitor II,196868-63-0,True,,True,YBLWOZUPHDKFOT-UHFFFAOYSA-N,YBLWOZUPHDKFOT,YBLWOZUPHDKFOT,,YBLWOZUPHDKFOT,B085,O=C(Nc1ccccc1)Nc1ccnc2ccccc12,B085,resolved_structure_butina
75,IRAK-1/4 Inhibitor,509093-47-4,True,,True,QTCFYQHZJIIHBS-UHFFFAOYSA-N,QTCFYQHZJIIHBS,QTCFYQHZJIIHBS,,QTCFYQHZJIIHBS,B084,O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1ccccc1,B084,resolved_structure_butina
76,JAK Inhibitor I,457081-03-7,True,,True,VNDWQCSOSCCWIP-UHFFFAOYSA-N,VNDWQCSOSCCWIP,VNDWQCSOSCCWIP,,VNDWQCSOSCCWIP,B083,O=c1[nH]ccc2c3nc[nH]c3c3ccccc3c12,B083,resolved_structure_butina
77,JAK3 Inhibitor II,211555-04-3,True,,True,CBIAKDAYHRWZCU-UHFFFAOYSA-N,CBIAKDAYHRWZCU,CBIAKDAYHRWZCU,,CBIAKDAYHRWZCU,B000,c1ccc(Nc2ncnc3ccccc23)cc1,B000,resolved_structure_butina
78,JNK Inhibitor II,129-56-6,True,,True,ACPOUJIDANTYHO-UHFFFAOYSA-N,ACPOUJIDANTYHO,ACPOUJIDANTYHO,,ACPOUJIDANTYHO,B082,O=C1c2ccccc2-c2n[nH]c3cccc1c23,B082,resolved_structure_butina
79,JAK3 Inhibitor IV,58753-54-1,True,,True,JSASWRWALCMOQP-UHFFFAOYSA-N,JSASWRWALCMOQP,JSASWRWALCMOQP;NJTUORMLOPXPBY,,JSASWRWALCMOQP,B081,O=C(CCNCc1ccccc1)c1ccc2ccccc2c1,B081,resolved_structure_butina
80,"JNK Inhibitor, Negative Control",54642-23-8,True,,True,ODZGYELAMAOARP-UHFFFAOYSA-N,ODZGYELAMAOARP,ODZGYELAMAOARP,,ODZGYELAMAOARP,B080,O=C1c2ccccc2-c2n[nH]c3cccc1c23,B080,resolved_structure_butina
81,JAK3 Inhibitor VI,856436-16-3,True,,False,,,IQNTXIMXKCURDC;ZUDPNBZMAJGYTE,IQNTXIMXKCURDC;ZUDPNBZMAJGYTE,IQNTXIMXKCURDC;ZUDPNBZMAJGYTE,,,U081,unresolved_identity_specific_singleton
82,JNK Inhibitor V,345987-15-7,True,,True,RCYPVQCPYKNSTG-UHFFFAOYSA-N,RCYPVQCPYKNSTG,RCYPVQCPYKNSTG,,RCYPVQCPYKNSTG,B079,c1cncc(CCNc2nccc(Cc3nc4ccccc4s3)n2)c1,B079,resolved_structure_butina
83,JNK Inhibitor VIII,894804-07-0,True,,True,KQMPRSZTUSSXND-UHFFFAOYSA-N,KQMPRSZTUSSXND,KQMPRSZTUSSXND,,KQMPRSZTUSSXND,B078,O=C(Cc1ccccc1)Nc1ccccn1,B078,resolved_structure_butina
84,JNK Inhibitor IX,312917-14-9,True,,True,WQGDQGAFSDMBLA-UHFFFAOYSA-N,WQGDQGAFSDMBLA,WQGDQGAFSDMBLA,,WQGDQGAFSDMBLA,B077,O=C(Nc1cc2c(s1)CCCC2)c1cccc2ccccc12,B077,resolved_structure_butina
85,"K-252a, Nocardiopsis sp.",97161-97-2,True,,False,,,KOZFSFOOLUUIGY,KOZFSFOOLUUIGY,KOZFSFOOLUUIGY,,,U085,unresolved_identity_specific_singleton
86,Kenpaullone,142273-20-9,True,,True,QQUXFYAWXPMDOE-UHFFFAOYSA-N,QQUXFYAWXPMDOE,QQUXFYAWXPMDOE,,QQUXFYAWXPMDOE,B006,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,B006,resolved_structure_butina
87,KN-62,127191-97-3,True,,True,RJVLFQBBRSMWHX-DHUJRADRSA-N,RJVLFQBBRSMWHX,RJVLFQBBRSMWHX,,RJVLFQBBRSMWHX,B076,O=C(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)NS(=O)(=O)c1cccc2cnccc12)N1CCN(c2ccccc2)CC1,B076,resolved_structure_butina
88,KN-93,139298-40-1,True,,False,,,LLLQTDSSHZREGW,LLLQTDSSHZREGW,LLLQTDSSHZREGW,,,U088,unresolved_identity_specific_singleton
89,Lck Inhibitor,213743-31-8,True,,False,,,BHJJWVDKNXABFS;FMETVQKSDIOGPX,BHJJWVDKNXABFS;FMETVQKSDIOGPX,BHJJWVDKNXABFS;FMETVQKSDIOGPX,,,U089,unresolved_identity_specific_singleton
90,LY 294002,154447-36-6,True,,True,CZQHHVNHHHRRDU-UHFFFAOYSA-N,CZQHHVNHHHRRDU,CZQHHVNHHHRRDU,,CZQHHVNHHHRRDU,B004,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,B004,resolved_structure_butina
91,LY 303511- Negative control,154447-38-8,True,,True,NGAGMBNBKCDCDJ-UHFFFAOYSA-N,NGAGMBNBKCDCDJ,NGAGMBNBKCDCDJ,,NGAGMBNBKCDCDJ,B004,O=c1cc(N2CCNCC2)oc2c(-c3ccccc3)cccc12,B004,resolved_structure_butina
92,MEK Inhibitor I,297744-42-4,True,,True,NHBMKTBZZSJUGA-HEHNFIMWSA-N,NHBMKTBZZSJUGA,NHBMKTBZZSJUGA,,NHBMKTBZZSJUGA,B075,C(=Cc1cccc(Cc2ccncc2)c1)Sc1ccccc1,B075,resolved_structure_butina
93,MEK Inhibitor II,623163-52-0,True,,True,GYQSWJNGTWVFOL-UHFFFAOYSA-N,GYQSWJNGTWVFOL,GYQSWJNGTWVFOL,,GYQSWJNGTWVFOL,B074,O=C1C=C(N2C(=O)CCC2=O)C(=O)c2ccccc21,B074,resolved_structure_butina
94,MEK1/2 Inhibitor,305350-87-2,True,,True,JLOXTZFYJNCPIS-UHFFFAOYSA-N,JLOXTZFYJNCPIS,JLOXTZFYJNCPIS,,JLOXTZFYJNCPIS,B073,C(=Cc1ccccc1)Sc1ccccc1,B073,resolved_structure_butina
95,Met Kinase Inhibitor,658084-23-2,True,,True,FPYJSJDOHRDAMT-KQWNVCNZSA-N,FPYJSJDOHRDAMT,FPYJSJDOHRDAMT,,FPYJSJDOHRDAMT,B072,O=C1Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2C1=Cc1cc(C(=O)N2CCNCC2)c[nH]1,B072,resolved_structure_butina
96,MNK1 Inhibitor,522629-08-9,True,,True,UQPMANVRZYYQMD-UHFFFAOYSA-N,UQPMANVRZYYQMD,UQPMANVRZYYQMD,,UQPMANVRZYYQMD,B071,c1ccc(Nc2[nH]nc3ncncc23)cc1,B071,resolved_structure_butina
97,MK2a Inhibitor,41179-33-3,True,,True,ODYAQBDIXCVKAE-UHFFFAOYSA-N,ODYAQBDIXCVKAE,ODYAQBDIXCVKAE,,ODYAQBDIXCVKAE,B070,O=C(CCCc1ccc(-c2ccccc2)cc1)Nc1ccccc1,B070,resolved_structure_butina
98,NF-kB Activation Inhibitor,545380-34-5,True,,True,IBAKVEUZKHOWNG-UHFFFAOYSA-N,IBAKVEUZKHOWNG,IBAKVEUZKHOWNG,,IBAKVEUZKHOWNG,B069,c1ccc(Oc2ccc(CCNc3ncnc4ccccc34)cc2)cc1,B069,resolved_structure_butina
99,p38 MAP Kinase Inhibitor III,581098-48-8,True,,False,,,VXPWQNBKEIVYIS,VXPWQNBKEIVYIS,VXPWQNBKEIVYIS,,,U099,unresolved_identity_specific_singleton
100,p38 MAP Kinase Inhibitor,219138-24-6,True,,True,DZFBYHUKZSRPHU-UHFFFAOYSA-N,DZFBYHUKZSRPHU,DZFBYHUKZSRPHU,,DZFBYHUKZSRPHU,B068,O=c1c(-c2ccccc2)c(-c2ccncc2)[nH]n1-c1ccccc1,B068,resolved_structure_butina
101,PD 98059,167869-21-8,True,,True,QFWCYNPOPKQOKV-UHFFFAOYSA-N,QFWCYNPOPKQOKV,QFWCYNPOPKQOKV,,QFWCYNPOPKQOKV,B067,O=c1cc(-c2ccccc2)oc2ccccc12,B067,resolved_structure_butina
102,PD 169316,152121-53-4,True,,True,BGIYKDUASORTBB-UHFFFAOYSA-N,BGIYKDUASORTBB,BGIYKDUASORTBB,,BGIYKDUASORTBB,B002,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,B002,resolved_structure_butina
103,PD 158780,171179-06-9,True,,True,KFHMLBXBRCITHF-UHFFFAOYSA-N,KFHMLBXBRCITHF,KFHMLBXBRCITHF,,KFHMLBXBRCITHF,B003,c1ccc(Nc2ncnc3cnccc23)cc1,B003,resolved_structure_butina
104,PD 174265,216163-53-0,True,,True,WUPUZEMRHDROEO-UHFFFAOYSA-N,WUPUZEMRHDROEO,WUPUZEMRHDROEO,,WUPUZEMRHDROEO,B003,c1ccc(Nc2ncnc3ccccc23)cc1,B003,resolved_structure_butina
105,PDGF Receptor Tyrosine Kinase Inhibitor II,249762-74-1,True,,True,CZDUJGOCEPWCNA-UHFFFAOYSA-N,CZDUJGOCEPWCNA,CZDUJGOCEPWCNA,,CZDUJGOCEPWCNA,B066,O=C(c1cc2ccccc2[nH]1)c1cc2ccccc2[nH]1,B066,resolved_structure_butina
106,PDGF Receptor Tyrosine Kinase Inhibitor III,205254-94-0,True,,True,INTPTKHSGKBHHW-UHFFFAOYSA-N,INTPTKHSGKBHHW,INTPTKHSGKBHHW,,INTPTKHSGKBHHW,B007,O=C(Nc1ccc(Oc2ccccc2)cc1)N1CCN(c2ncnc3ccccc23)CC1,B007,resolved_structure_butina
107,PDGF Receptor Tyrosine Kinase Inhibitor IV,627518-40-5,True,,True,ZDNURMVOKAERHZ-UHFFFAOYSA-N,ZDNURMVOKAERHZ,ZDNURMVOKAERHZ,,ZDNURMVOKAERHZ,B065,c1ccc(Nc2n[nH]c3c2Cc2ccccc2-3)cc1,B065,resolved_structure_butina
108,PDGF RTK Inhibitor,347155-76-4,True,,True,ZXGIBSBJQLLUEE-UHFFFAOYSA-N,ZXGIBSBJQLLUEE,ZXGIBSBJQLLUEE,,ZXGIBSBJQLLUEE,B064,O=C(NC(=S)Nc1ccc(Oc2ccnc3ccccc23)cc1)c1ccccc1,B064,resolved_structure_butina
109,PDK1/Akt/Flt Dual Pathway Inhibitor,331253-86-2,True,,True,DPANHMGWPXVBQI-UHFFFAOYSA-N,DPANHMGWPXVBQI,DPANHMGWPXVBQI,,DPANHMGWPXVBQI,B063,O=C1c2ccccc2-c2nc3nnnn3nc21,B063,resolved_structure_butina
110,PKR Inhibitor,608512-97-6,True,,True,VFBGXTUGODTSPK-BAQGIRSFSA-N,VFBGXTUGODTSPK,VFBGXTUGODTSPK,,VFBGXTUGODTSPK,B062,O=C1Nc2ccc3ncsc3c2C1=Cc1cnc[nH]1,B062,resolved_structure_butina
111,"PKR Inhibitor, Negative Control",852547-30-9,True,,False,,,ZJFMARHFPUZEKI,ZJFMARHFPUZEKI,ZJFMARHFPUZEKI,,,U111,unresolved_identity_specific_singleton
112,PI-103,371935-74-9,True,,True,TUVCWJQQGGETHL-UHFFFAOYSA-N,TUVCWJQQGGETHL,TUVCWJQQGGETHL,,TUVCWJQQGGETHL,B061,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,B061,resolved_structure_butina
113,PI 3-Kg Inhibitor,648450-29-7,True,,False,,,SQWZFLMPDUSYGV,SQWZFLMPDUSYGV,SQWZFLMPDUSYGV,,,U113,unresolved_identity_specific_singleton
114,PI 3-Kg Inhibitor II,648449-76-7,True,,True,SRLVNYDXMUGOFI-YWEYNIOJSA-N,SRLVNYDXMUGOFI,SRLVNYDXMUGOFI,,SRLVNYDXMUGOFI,B060,O=C1NC(=O)C(=Cc2ccc3c(c2)OCO3)S1,B060,resolved_structure_butina
115,PP3,5334-30-5,True,,True,KKDPIZPUTYIBFX-UHFFFAOYSA-N,KKDPIZPUTYIBFX,KKDPIZPUTYIBFX,,KKDPIZPUTYIBFX,B059,c1ccc(-n2ncc3cncnc32)cc1,B059,resolved_structure_butina
116,"PP1 Analog II, 1NM-PP1",221244-14-0,True,,True,GDQXJQSQYMMKRA-UHFFFAOYSA-N,GDQXJQSQYMMKRA,GDQXJQSQYMMKRA,,GDQXJQSQYMMKRA,B058,c1ccc2c(Cc3n[nH]c4ncncc34)cccc2c1,B058,resolved_structure_butina
117,"Staurosporine, N-benzoyl-",120685-11-2,True,,True,BMGQWWVMWDBQGC-IIFHNQTCSA-N,BMGQWWVMWDBQGC,BMGQWWVMWDBQGC,,BMGQWWVMWDBQGC,B010,O=C(NC1CC2OC(C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1,B010,resolved_structure_butina
