workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,missing_fixed21_targets,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,candidate_connectivity_blocks,candidate_only_connectivity_blocks,de_leakage_connectivity_blocks,butina_r2_2048_tanimoto50_cluster,murcko_scaffold,cluster_multiplier_group,cluster_multiplier_group_source
138,SU11652,326914-10-7,True,,True,XPLJEFSRINKZLC-ATVHPVEESA-N,XPLJEFSRINKZLC,XPLJEFSRINKZLC,,XPLJEFSRINKZLC,B008,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,B008,resolved_structure_butina
139,Syk Inhibitor,622387-85-3,True,,True,MLKHXLFEYOOYEY-NVNXTCNLSA-N,MLKHXLFEYOOYEY,MLKHXLFEYOOYEY,,MLKHXLFEYOOYEY,B044,O=C1Nc2ccccc2C1=Cc1c[nH]c2ccccc12,B044,resolved_structure_butina
140,Syk Inhibitor II,227449-73-2,True,,False,,,FQNFLNSVHWCZML;LCACSMNPIITJGG;OWOVYLSSMDVDIW;PVURZQHSTKFHCH,FQNFLNSVHWCZML;LCACSMNPIITJGG;OWOVYLSSMDVDIW;PVURZQHSTKFHCH,FQNFLNSVHWCZML;LCACSMNPIITJGG;OWOVYLSSMDVDIW;PVURZQHSTKFHCH,,,U140,unresolved_identity_specific_singleton
141,Syk Inhibitor III,1485-00-3,True,,True,KFLWBZPSJQPRDD-ONEGZZNKSA-N,KFLWBZPSJQPRDD,KFLWBZPSJQPRDD,,KFLWBZPSJQPRDD,B043,c1ccc2c(c1)OCO2,B043,resolved_structure_butina
142,Tpl2 Kinase Inhibitor,871307-18-5,True,,True,NMEUKWOOQOHUNA-UHFFFAOYSA-N,NMEUKWOOQOHUNA,NMEUKWOOQOHUNA,,NMEUKWOOQOHUNA,B042,c1ccc(Nc2ccnc3cnc(NCc4cccnc4)cc23)cc1,B042,resolved_structure_butina
143,TGF-b RI Kinase Inhibitor,396129-53-6,True,,True,IBCXZJCWDGCXQT-UHFFFAOYSA-N,IBCXZJCWDGCXQT,IBCXZJCWDGCXQT,,IBCXZJCWDGCXQT,B041,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,B041,resolved_structure_butina
144,TGF-b RI Inhibitor III,356559-13-2,True,,True,BTUOOXPZOVNPMF-UHFFFAOYSA-N,BTUOOXPZOVNPMF,BTUOOXPZOVNPMF,,BTUOOXPZOVNPMF,B040,c1ccc(-c2[nH]cnc2-c2ccc3c(c2)OCO3)nc1,B040,resolved_structure_butina
145,AG 9,2826-26-8,True,,True,UOHFCPXBKJPCAD-UHFFFAOYSA-N,UOHFCPXBKJPCAD,UOHFCPXBKJPCAD,,UOHFCPXBKJPCAD,B039,c1ccccc1,B039,resolved_structure_butina
146,AG 490,133550-30-8,True,,True,TUCIOBMMDDOEMM-RIYZIHGNSA-N,TUCIOBMMDDOEMM,TUCIOBMMDDOEMM,,TUCIOBMMDDOEMM,B038,O=C(C=Cc1ccccc1)NCc1ccccc1,B038,resolved_structure_butina
147,AG 112,144978-82-5,True,,True,DXVJRTIPBNBLLB-BJMVGYQFSA-N,DXVJRTIPBNBLLB,DXVJRTIPBNBLLB,,DXVJRTIPBNBLLB,B037,c1ccccc1,B037,resolved_structure_butina
148,AG 1295,71897-07-9,True,,True,FQNCLVJEQCJWSU-UHFFFAOYSA-N,FQNCLVJEQCJWSU,FQNCLVJEQCJWSU,,FQNCLVJEQCJWSU,B009,c1ccc(-c2cnc3ccccc3n2)cc1,B009,resolved_structure_butina
149,AG 1296,146535-11-7,True,,True,QNOXYUNHIGOWNY-UHFFFAOYSA-N,QNOXYUNHIGOWNY,QNOXYUNHIGOWNY,,QNOXYUNHIGOWNY,B009,c1ccc(-c2cnc3ccccc3n2)cc1,B009,resolved_structure_butina
150,AG 1478,175178-82-2,True,,True,GFNNBHLJANVSQV-UHFFFAOYSA-N,GFNNBHLJANVSQV,GFNNBHLJANVSQV;WDJDYIUSDDVWKB,,GFNNBHLJANVSQV,B000,c1ccc(Nc2ncnc3ccccc23)cc1,B000,resolved_structure_butina
151,VEGF Receptor 2 Kinase Inhibitor I,15966-93-5,True,,True,PMUJUSJUVIXDQC-LCYFTJDESA-N,PMUJUSJUVIXDQC,PMUJUSJUVIXDQC,,PMUJUSJUVIXDQC,B036,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,B036,resolved_structure_butina
152,VEGF Receptor Tyrosine Kinase Inhibitor II,269390-69-4,True,,True,GGPZCOONYBPZEW-UHFFFAOYSA-N,GGPZCOONYBPZEW,GGPZCOONYBPZEW,,GGPZCOONYBPZEW,B035,O=C(Nc1ccccc1)c1ccccc1NCc1ccncc1,B035,resolved_structure_butina
153,"VEGF Receptor Tyrosine Kinase Inhibitor III, KRN633",286370-15-8,True,,True,VPBYZLCHOKSGRX-UHFFFAOYSA-N,VPBYZLCHOKSGRX,VPBYZLCHOKSGRX,,VPBYZLCHOKSGRX,B034,c1ccc(Oc2ncnc3ccccc23)cc1,B034,resolved_structure_butina
154,VEGF Receptor 2 Kinase Inhibitor II,288144-20-7,False,MAPK14,True,RFHPWPWVGFSLOP-ZROIWOOFSA-N,RFHPWPWVGFSLOP,RFHPWPWVGFSLOP,,RFHPWPWVGFSLOP,B033,O=C1Nc2ccccc2C1=Cc1cc2c([nH]1)CCCC2,B033,resolved_structure_butina
155,VEGF Receptor 2 Kinase Inhibitor III,204005-46-9,True,,False,,,WUWDLXZGHZSWQZ,WUWDLXZGHZSWQZ,WUWDLXZGHZSWQZ,,,U155,unresolved_identity_specific_singleton
156,VEGF Receptor 2 Kinase Inhibitor IV,216661-57-3,True,,True,HBWLNACPIFKNIP-UHFFFAOYSA-N,HBWLNACPIFKNIP,HBWLNACPIFKNIP,,HBWLNACPIFKNIP,B032,c1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1,B032,resolved_structure_butina
157,Wortmannin,19545-26-7,True,,True,QDLHCMPXEPAAMD-QAIWCSMKSA-N,QDLHCMPXEPAAMD,QDLHCMPXEPAAMD,,QDLHCMPXEPAAMD,B031,O=C1OCC2C3=C(C(=O)c4occ1c42)C1CCC(=O)C1CC3,B031,resolved_structure_butina
158,"ROCK Inhibitor, Y-27632",146986-50-7,True,,True,IYOZTVGMEWJPKR-VOMCLLRMSA-N,IYOZTVGMEWJPKR,IYOZTVGMEWJPKR,,IYOZTVGMEWJPKR,B030,O=C(Nc1ccncc1)C1CCCCC1,B030,resolved_structure_butina
159,Bosutinib,380843-75-4,True,,True,UBPYILGKFZZVDX-UHFFFAOYSA-N,UBPYILGKFZZVDX,UBPYILGKFZZVDX,,UBPYILGKFZZVDX,B029,c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1,B029,resolved_structure_butina
160,Dasatinib,302962-49-8,True,,True,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,ZBNZXTGUTAYRHI,ZBNZXTGUTAYRHI,,ZBNZXTGUTAYRHI,B028,O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1,B028,resolved_structure_butina
161,Dovitinib,405169-16-6,True,,True,PIQCTGMSNWUMAF-UHFFFAOYSA-N,PIQCTGMSNWUMAF,PIQCTGMSNWUMAF,,PIQCTGMSNWUMAF,B027,O=c1[nH]c2ccccc2cc1-c1nc2ccc(N3CCNCC3)cc2[nH]1,B027,resolved_structure_butina
162,Erlotinib,183319-69-9,True,,False,,,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,AAKJLRGGTJKAMG;GTTBEUCJPZQMDZ,,,U162,unresolved_identity_specific_singleton
163,Gefitinib,184475-35-2,True,,True,XGALLCVXEZPNRQ-UHFFFAOYSA-N,XGALLCVXEZPNRQ,XGALLCVXEZPNRQ,,XGALLCVXEZPNRQ,B000,c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,B000,resolved_structure_butina
164,Imatinib,220127-57-1,True,,False,,,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,KTUFNOKKBVMGRW;YLMAHDNUQAMNNX,,,U164,unresolved_identity_specific_singleton
165,Lapatinib,231277-92-2,True,,True,BCFGMOOMADDAQU-UHFFFAOYSA-N,BCFGMOOMADDAQU,BCFGMOOMADDAQU,,BCFGMOOMADDAQU,B026,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,B026,resolved_structure_butina
166,Masitinib,790299-79-5,True,,True,WJEOLQLKVOPQFV-UHFFFAOYSA-N,WJEOLQLKVOPQFV,WJEOLQLKVOPQFV,,WJEOLQLKVOPQFV,B025,O=C(Nc1cccc(Nc2nc(-c3cccnc3)cs2)c1)c1ccc(CN2CCNCC2)cc1,B025,resolved_structure_butina
167,Mubritinib,366017-09-6,True,,True,ZTFBIUXIQYRUNT-MDWZMJQESA-N,ZTFBIUXIQYRUNT,ZTFBIUXIQYRUNT,,ZTFBIUXIQYRUNT,B024,C(=Cc1nc(COc2ccc(CCCCn3ccnn3)cc2)co1)c1ccccc1,B024,resolved_structure_butina
168,Nilotinib,641571-10-0,True,,True,HHZIURLSWUIHRB-UHFFFAOYSA-N,HHZIURLSWUIHRB,HHZIURLSWUIHRB,,HHZIURLSWUIHRB,B023,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,B023,resolved_structure_butina
169,Pazopanib,444731-52-6,True,,True,CUIHSIWYWATEQL-UHFFFAOYSA-N,CUIHSIWYWATEQL,CUIHSIWYWATEQL,,CUIHSIWYWATEQL,B022,c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,B022,resolved_structure_butina
170,Roscovitine,186692-46-6,True,,True,BTIHMVBBUGXLCJ-OAHLLOKOSA-N,BTIHMVBBUGXLCJ,BTIHMVBBUGXLCJ,,BTIHMVBBUGXLCJ,B021,c1ccc(CNc2ncnc3[nH]cnc23)cc1,B021,resolved_structure_butina
171,Sorafenib,284461-73-0,True,,True,MLDQJTXFUGDVEO-UHFFFAOYSA-N,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO,,MLDQJTXFUGDVEO,B020,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,B020,resolved_structure_butina
172,Sunitinib,557795-19-4,True,,True,WINHZLLDWRZWRT-ATVHPVEESA-N,WINHZLLDWRZWRT,WINHZLLDWRZWRT,,WINHZLLDWRZWRT,B008,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,B008,resolved_structure_butina
173,Tandutinib,387867-13-2,True,,True,UXXQOJXBIDBUAC-UHFFFAOYSA-N,UXXQOJXBIDBUAC,UXXQOJXBIDBUAC,,UXXQOJXBIDBUAC,B007,O=C(Nc1ccccc1)N1CCN(c2ncnc3cc(OCCCN4CCCCC4)ccc23)CC1,B007,resolved_structure_butina
174,Tofacitinib,477600-75-2,True,,True,UJLAWZDWDVHWOW-YPMHNXCESA-N,UJLAWZDWDVHWOW,UJLAWZDWDVHWOW,,UJLAWZDWDVHWOW,B019,c1nc(NC2CCCNC2)c2cc[nH]c2n1,B019,resolved_structure_butina
175,Tozasertib,639089-54-6,True,,True,GCIKSSRWRFVXBI-UHFFFAOYSA-N,GCIKSSRWRFVXBI,GCIKSSRWRFVXBI,,GCIKSSRWRFVXBI,B018,O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1,B018,resolved_structure_butina
176,Vandetanib,443913-73-3,True,,True,UHTHHESEBZOYNR-UHFFFAOYSA-N,UHTHHESEBZOYNR,UHTHHESEBZOYNR,,UHTHHESEBZOYNR,B017,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,B017,resolved_structure_butina
177,Vatalanib,212141-51-0,True,,False,,,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,AZUQEHCMDUSRLH;YCOYDOIWSSHVCK,,,U177,unresolved_identity_specific_singleton
178,VX-702,745833-23-2,True,,True,FYSRKRZDBHOFAY-UHFFFAOYSA-N,FYSRKRZDBHOFAY,FYSRKRZDBHOFAY,,FYSRKRZDBHOFAY,B016,c1ccc(Nc2cccc(-c3ccccc3)n2)cc1,B016,resolved_structure_butina
