panel,workbook_compound_index_1based,workbook_compound_name,workbook_cas,complete_fixed21,structure_usable,rdkit_standard_inchikey,rdkit_connectivity,exact_full_standard_inchikey_overlap,connectivity_overlap,connectivity_only_overlap,conservative_de_leakage_connectivity_overlap,matching_full_rows,matching_connectivity_rows,matching_conservative_de_leakage_rows
DOCKSTRING,47,EGFR/ErbB-2/ErbB-4 Inhibitor,881001-19-0,True,True,DLPSDPPZXRJQOY-UHFFFAOYSA-N,DLPSDPPZXRJQOY,True,True,False,True,117,117,117
DOCKSTRING,48,"ERK Inhibitor II, FR180204",865362-74-9,True,True,XVECMUKVOMUNLE-UHFFFAOYSA-N,XVECMUKVOMUNLE,True,True,False,True,266,266,266
DOCKSTRING,49,ERK Inhibitor III,345616-52-6,True,False,,,False,False,False,True,,,465
DOCKSTRING,50,"Fascaplysin, Synthetic",114719-57-2,True,True,WYQIPCUPNMRAKP-UHFFFAOYSA-O,WYQIPCUPNMRAKP,True,True,False,True,324,324,324
DOCKSTRING,51,Flt-3 Inhibitor,301305-73-7,True,True,FSPQCTGGIANIJZ-UHFFFAOYSA-N,FSPQCTGGIANIJZ,True,True,False,True,202,202,202
DOCKSTRING,52,Flt-3 Inhibitor II,896138-40-2,True,True,NIMIWWQLOGNYHD-UHFFFAOYSA-N,NIMIWWQLOGNYHD,True,True,False,True,696,696,696
DOCKSTRING,53,Flt-3 Inhibitor III,852045-46-6,True,True,FNZTULJDGIXMJJ-UHFFFAOYSA-N,FNZTULJDGIXMJJ,True,True,False,True,4315,4315,4315
DOCKSTRING,54,cFMS Receptor Tyrosine Kinase Inhibitor,870483-87-7,True,True,MYQAUKPBNJWPIE-UHFFFAOYSA-N,MYQAUKPBNJWPIE,True,True,False,True,454,454,454
DOCKSTRING,55,GSK-3b Inhibitor I,327036-89-5,True,True,JDSJDASOXWCHPN-UHFFFAOYSA-N,JDSJDASOXWCHPN,True,True,False,True,188,188,188
DOCKSTRING,56,GSK-3b Inhibitor II,478482-75-6,True,True,ZRHRPGSSSVYBRG-UHFFFAOYSA-N,ZRHRPGSSSVYBRG,True,True,False,True,352,352,352
DOCKSTRING,57,GSK-3b Inhibitor VIII,487021-52-3,True,True,YAEMHJKFIIIULI-UHFFFAOYSA-N,YAEMHJKFIIIULI,True,True,False,True,263,263,263
DOCKSTRING,58,GSK-3 Inhibitor IX,667463-62-9,True,True,SAQUSDSPQYQNBG-UHFFFAOYSA-N,SAQUSDSPQYQNBG,True,True,False,True,24625,24625,24625
DOCKSTRING,59,GSK-3 Inhibitor X,740841-15-0,True,False,,,False,False,False,False,,,
DOCKSTRING,60,GSK-3b Inhibitor XI,626604-39-5,True,True,ZDEJZKULWCZIHL-UHFFFAOYSA-N,ZDEJZKULWCZIHL,True,True,False,True,327,327,327
DOCKSTRING,61,"GSK3b Inhibitor XII, TWS119",601514-19-6,True,True,VPVLEBIVXZSOMQ-UHFFFAOYSA-N,VPVLEBIVXZSOMQ,True,True,False,True,9827,9827,9827
DOCKSTRING,62,GSK-3 Inhibitor XIII,404828-08-6,True,True,JYCUVOXSZBECAY-UHFFFAOYSA-N,JYCUVOXSZBECAY,True,True,False,True,6385,6385,6385
DOCKSTRING,63,Gö 6976,136194-77-9,True,True,VWVYILCFSYNJHF-UHFFFAOYSA-N,VWVYILCFSYNJHF,False,False,False,False,,,
DOCKSTRING,64,Gö 6983,133053-19-7,True,True,LLJJDLHGZUOMQP-UHFFFAOYSA-N,LLJJDLHGZUOMQP,True,True,False,True,149,149,149
DOCKSTRING,65,GTP-14564,34823-86-4,True,True,DZQLVVLATXPWBK-UHFFFAOYSA-N,DZQLVVLATXPWBK,True,True,False,True,226,226,226
DOCKSTRING,66,Isogranulatimide,244148-46-7,True,True,KUWAFJHRXZRHJH-UHFFFAOYSA-N,KUWAFJHRXZRHJH,False,False,False,False,,,
DOCKSTRING,67,"H-89, Dihydrochloride",127243-85-0,True,False,,,False,False,False,True,,,171;2295;22427
DOCKSTRING,68,"HA 1077, Dihydrochloride Fasudil",103745-39-7,True,True,NGOGFTYYXHNFQH-UHFFFAOYSA-N,NGOGFTYYXHNFQH,True,True,False,True,1,1,1
DOCKSTRING,69,"Herbimycin A, Streptomyces sp.",70563-58-5,True,True,MCAHMSDENAOJFZ-BVXDHVRPSA-N,MCAHMSDENAOJFZ,False,True,True,True,,353;164348,353;164348
DOCKSTRING,70,IC261,186611-52-9,True,True,JBJYTZXCZDNOJW-JLHYYAGUSA-N,JBJYTZXCZDNOJW,True,True,False,True,18225,39;16983;18225,39;16983;18225
DOCKSTRING,71,IKK-2 Inhibitor IV,507475-17-4,True,True,SAYGKHKXGCPTLX-UHFFFAOYSA-N,SAYGKHKXGCPTLX,True,True,False,True,234,234,234
DOCKSTRING,72,Indirubin Derivative E804,854171-35-0,True,False,,,False,False,False,False,,,
DOCKSTRING,73,Indirubin-3′-monoxime,160807-49-8,True,True,FQCPPVRJPILDIK-UHFFFAOYSA-N,FQCPPVRJPILDIK,True,True,False,True,1502,1502,1502
DOCKSTRING,74,IGF-1R Inhibitor II,196868-63-0,True,True,YBLWOZUPHDKFOT-UHFFFAOYSA-N,YBLWOZUPHDKFOT,True,True,False,True,345,345,345
DOCKSTRING,75,IRAK-1/4 Inhibitor,509093-47-4,True,True,QTCFYQHZJIIHBS-UHFFFAOYSA-N,QTCFYQHZJIIHBS,True,True,False,True,335,335,335
DOCKSTRING,76,JAK Inhibitor I,457081-03-7,True,True,VNDWQCSOSCCWIP-UHFFFAOYSA-N,VNDWQCSOSCCWIP,True,True,False,True,323,323,323
DOCKSTRING,77,JAK3 Inhibitor II,211555-04-3,True,True,CBIAKDAYHRWZCU-UHFFFAOYSA-N,CBIAKDAYHRWZCU,True,True,False,True,543,543,543
DOCKSTRING,78,JNK Inhibitor II,129-56-6,True,True,ACPOUJIDANTYHO-UHFFFAOYSA-N,ACPOUJIDANTYHO,True,True,False,True,9,9,9
DOCKSTRING,79,JAK3 Inhibitor IV,58753-54-1,True,True,JSASWRWALCMOQP-UHFFFAOYSA-N,JSASWRWALCMOQP,True,True,False,True,10,10,10
DOCKSTRING,80,"JNK Inhibitor, Negative Control",54642-23-8,True,True,ODZGYELAMAOARP-UHFFFAOYSA-N,ODZGYELAMAOARP,True,True,False,True,401,401,401
