descriptor,unit,provenance,group,group_rows,finite_descriptor_rows,mean,standard_deviation,q025,q10,q25,median,q75,q90,q975,interquartile_range,median_absolute_deviation
molecular_weight,g/mol,"frozen column MW, g/mol",complete_rows,9297,9297,247.99484597181888,71.196977628056615,113.53120000000001,155.27739999999997,198.22200000000001,249.33199999999999,296.84199999999998,334.79400000000004,377.67920000000026,98.619999999999976,49.694999999999993
molecular_weight,g/mol,"frozen column MW, g/mol",excluded_incomplete_rows,3354,3354,457.24749224806214,182.12533628757342,283.15480000000002,315.52340000000009,351.40225000000015,398.55200000000013,496.6827500000004,671.49830000000031,943.62304999999981,145.28050000000025,60.760000000000019
rotatable_bonds,count,frozen column rotatable_bonds,complete_rows,9297,9297,3.9988168226309564,2.9063292812099797,0,1,2,3,6,8,11,4,2
rotatable_bonds,count,frozen column rotatable_bonds,excluded_incomplete_rows,3354,3354,6.9639236732259988,5.1062856292092009,0,2,4,6,9,13,21,5,3
logp,dimensionless,frozen column logP,complete_rows,9297,9297,2.3354746402065194,1.4998916607621942,-0.77387600000000023,0.46426000000000001,1.4492,2.3809000000000005,3.2944000000000013,4.1464800000000031,5.1476200000000052,1.8452000000000013,0.92419999999999991
logp,dimensionless,frozen column logP,excluded_incomplete_rows,3354,3354,3.3352256171735268,2.6638700533976691,-2.7439474999999947,0.52612999999999988,2.2490250000000027,3.4635000000000034,4.7041000000000039,5.9441100000000029,8.4630300000000016,2.4550750000000012,1.2343000000000011
heavy_atoms,count,RDKit GetNumHeavyAtoms from frozen cleaned/canonical SMILES,complete_rows,9297,9297,16.939873077336774,4.8960294805156384,7,10,13,17,21,23,26,8,4
heavy_atoms,count,RDKit GetNumHeavyAtoms from frozen cleaned/canonical SMILES,excluded_incomplete_rows,3354,3354,29.862254025044724,9.2716301675961805,19,22,24,28,32,41.700000000000273,56,8,4
