descriptor,unit,direction,mean_difference_excluded_minus_complete,median_difference_excluded_minus_complete,standardized_mean_difference_excluded_minus_complete,median_difference_over_mean_group_iqr,cliffs_delta_excluded_vs_complete
molecular_weight,g/mol,excluded_incomplete_rows minus complete_rows,209.25264627624327,149.22000000000014,1.8702716082755382,1.2236137277291355,0.89278525417339893
rotatable_bonds,count,excluded_incomplete_rows minus complete_rows,2.9651068505950424,3,0.81862108813521905,0.66666666666666663,0.40386124261267781
logp,dimensionless,excluded_incomplete_rows minus complete_rows,0.99975097696700743,1.0826000000000029,0.5317828864396541,0.50350268296795075,0.34964032934496025
heavy_atoms,count,excluded_incomplete_rows minus complete_rows,12.92238094770795,11,2.0329680243399699,1.375,0.89552695200053312
