repetition,random_equal_n_residual_pr,random_minus_full_primary_residual_pr,complete_case_minus_random_residual_pr
0,9.3571070546808741,0.054195111964419951,4.6130882603113896
1,9.4878787567990361,0.18496681408258198,4.4823165581932276
2,9.2806955498187644,-0.02221639289768973,4.6894997651734993
3,9.3095645452249407,0.0066526025084865381,4.660630769767323
4,9.2928273508305654,-0.010084591885888727,4.6773679641616983
5,9.3393444928952682,0.036432550178814083,4.6308508220969955
6,9.2260686124112006,-0.076843330305253588,4.7441267025810632
7,9.3728390229145582,0.069927080198104008,4.5973562920777056
8,9.1701281596194644,-0.13278378309698979,4.8000671553727994
9,9.2779897577043613,-0.024922185012092868,4.6922055572879025
10,9.2422246808940116,-0.060687261822442551,4.7279706340982521
11,9.3739090897294872,0.070997147013033057,4.5962862252627765
12,9.3939473131886988,0.091035370472244637,4.5762480018035649
13,9.2543067911431685,-0.04860515157328571,4.7158885238490953
14,9.234754003582033,-0.068157939134421142,4.7354413114102307
15,9.3708289959141169,0.067917053197662725,4.5993663190781469
16,9.3714809413932123,0.068568998676758142,4.5987143735990514
17,9.3642220106404732,0.061310067924019052,4.6059733043517905
18,9.3228962205102697,0.019984277793815508,4.6472990944819941
19,9.1589715703513459,-0.14394037236510826,4.8112237446409178
20,9.3380516775830529,0.035139734866598715,4.6321436374092109
21,9.1591591690262995,-0.14375277369015471,4.8110361459659643
22,9.3819710470686903,0.079059104352236176,4.5882242679235734
23,9.3761765841638223,0.073264641447368106,4.5940187308284415
24,9.3894720215498211,0.086560078833366916,4.5807232934424427
25,9.2512185470978174,-0.051693395618636728,4.7189767678944463
26,9.1709294584670342,-0.13198248424941994,4.7992658565252295
27,9.2329772144411724,-0.069934728275281799,4.7372181005510914
28,9.3114834072048254,0.0085714644883712054,4.6587119077874384
29,9.2336081617546331,-0.069303780961821104,4.7365871532376307
30,9.1961429667634036,-0.10676897595305057,4.7740523482288602
31,9.3840171104893013,0.081105167772847153,4.5861782045029624
32,9.0757519104718334,-0.22716003224462078,4.8944434045204304
33,9.3055353374216931,0.0026233947052389794,4.6646599775705706
34,9.3021234230659324,-0.00078851965052173512,4.6680718919263313
35,9.3942440481083072,0.091332105391852991,4.5759512668839566
36,9.2751230043183153,-0.027788938398138896,4.6950723106739485
37,9.1997437589790927,-0.10316818373736147,4.7704515560131711
38,9.1142028564492943,-0.18870908626715988,4.8559924585429695
39,9.22934250788472,-0.073569434831734171,4.7408528071075438
