analysis_status,predictor,endpoint,controls,permutation_scheme,partial_spearman,restricted_qap_p_positive,null_mean,null_median,null_q05,null_q95,null_q025,null_q975,empirical_one_sided_alpha_0_05_critical_partial_spearman,observed_minus_one_sided_alpha_0_05_critical,additional_partial_spearman_needed_to_cross_one_sided_critical,observed_minus_null_median,empirical_two_sided_alpha_0_05_null_deviation_bound,exceedances,permutations,exact_enumeration,monte_carlo_standard_error,seed
exploratory_conditional_sensitivity,centered_Vina_target_geometry,old_three_panel_mean,none,all_non_singleton_KLIFS_groups,0.267600951804129,0.16702832971670284,0.15481759446535479,0.13457904683081795,-0.0019473458606197578,0.3815413955118877,-0.018536527225334408,0.43415940587403573,0.3815413955118877,-0.11394044370775869,0.11394044370775869,0.13302190497331107,0.24696234868106975,16702,100000,False,0.0011795273439136381,20260805
exploratory_conditional_sensitivity,centered_Vina_target_geometry,old_three_panel_mean,sequence_plus_KLIFS_pocket,all_non_singleton_KLIFS_groups,0.22470029531877914,0.1971680283197168,0.12367694559099411,0.10302636435287396,-0.043816225538150885,0.3603647286755315,-0.06313803924819729,0.4148646203516721,0.3603647286755315,-0.13566443335675235,0.13566443335675235,0.12167393096590517,0.257343146349811,19716,100000,False,0.001258138362884194,20260805
exploratory_conditional_sensitivity,centered_Vina_target_geometry,KiRHub,none,all_non_singleton_KLIFS_groups,0.3215884388108141,0.11725882741172589,0.1972618084653169,0.18665774383602987,0.053366225336465074,0.38207709500627646,0.034512940291391674,0.4220852742676934,0.38207709500627646,-0.06048865619546234,0.06048865619546234,0.13493069497478424,0.1968813832137061,11725,100000,False,0.0010173895995347884,20260805
exploratory_conditional_sensitivity,centered_Vina_target_geometry,KiRHub,sequence_plus_KLIFS_pocket,all_non_singleton_KLIFS_groups,0.27989487786881373,0.16592834071659282,0.17071188700592546,0.1613957629244802,0.003979538713603528,0.3763791118465858,-0.019044202537734874,0.4188712133262814,0.3763791118465858,-0.09648423397777206,0.09648423397777206,0.11849911494433352,0.22160642960819646,16592,100000,False,0.0011764129483995234,20260805
exploratory_conditional_sensitivity,centered_Vina_target_geometry,old_three_panel_mean,none,TK_only,0.267600951804129,0.16908830911690884,0.15825492693293322,0.1380786794156248,0.006298376373976364,0.3828662782889633,-0.00998851826665884,0.43068533928405234,0.3828662782889633,-0.11526532648483429,0.11526532648483429,0.12952227238850422,0.2447875988733385,16908,100000,False,0.0011853102879685756,20260806
exploratory_conditional_sensitivity,centered_Vina_target_geometry,old_three_panel_mean,sequence_plus_KLIFS_pocket,TK_only,0.22470029531877914,0.2052779472205278,0.1309499537253353,0.11066209133523656,-0.028549221535202517,0.36401584513993096,-0.04701606516777932,0.4117264455201686,0.36401584513993096,-0.13931554982115182,0.13931554982115182,0.11403820398354257,0.2533537538046944,20527,100000,False,0.0012772520512124913,20260806
exploratory_conditional_sensitivity,centered_Vina_target_geometry,KiRHub,none,TK_only,0.3215884388108141,0.15035849641503585,0.21476484023321832,0.2054280553040542,0.0678130754460322,0.39777734038411905,0.048299588412567186,0.43849182292555117,0.39777734038411905,-0.07618890157330493,0.07618890157330493,0.11616038350675992,0.19577722666176772,15035,100000,False,0.001130263427150639,20260806
exploratory_conditional_sensitivity,centered_Vina_target_geometry,KiRHub,sequence_plus_KLIFS_pocket,TK_only,0.27989487786881373,0.2061179388206118,0.19121814999423353,0.18347716245953127,0.024248057718841497,0.39498220788667654,-0.0010780801710598017,0.4351808090780711,0.39498220788667654,-0.11508733001786281,0.11508733001786281,0.09641771540928246,0.22000014467834156,20611,100000,False,0.0012791860607432226,20260806
exploratory_conditional_sensitivity,centered_Vina_target_geometry,old_three_panel_mean,none,AGC_plus_CMGC_only,0.267600951804129,0.4722222222222222,0.2507081982471036,0.2578675029965166,0.20581216322018253,0.29536225420696693,0.20559007367575863,0.2956058856717511,0.29536225420696693,-0.027761302402837917,0.027761302402837917,0.0097334488076124,0.05205533977633408,17,36,True,0.0,exact
exploratory_conditional_sensitivity,centered_Vina_target_geometry,old_three_panel_mean,sequence_plus_KLIFS_pocket,AGC_plus_CMGC_only,0.22470029531877914,0.4166666666666667,0.20583124341949915,0.2123852334387337,0.15202620713499695,0.26319889875255575,0.15069935148601013,0.2638806475885725,0.26319889875255575,-0.03849860343377662,0.03849860343377662,0.012315061880045441,0.06035902630373675,15,36,True,0.0,exact
exploratory_conditional_sensitivity,centered_Vina_target_geometry,KiRHub,none,AGC_plus_CMGC_only,0.3215884388108141,0.2222222222222222,0.27675403362002066,0.26488822405052775,0.23236800552865586,0.3315518289615837,0.2319034934631518,0.3323666933476798,0.3315518289615837,-0.00996339015076958,0.00996339015076958,0.05670021476028636,0.06666360491105593,8,36,True,0.0,exact
exploratory_conditional_sensitivity,centered_Vina_target_geometry,KiRHub,sequence_plus_KLIFS_pocket,AGC_plus_CMGC_only,0.27989487786881373,0.2222222222222222,0.23244055701585464,0.21864836072997862,0.17954526744993055,0.30085060409095915,0.178303569860599,0.30137632749292637,0.30085060409095915,-0.02095572622214542,0.02095572622214542,0.06124651713883511,0.08220224336098055,8,36,True,0.0,exact
