metric,locked_panels,mean_gated_minus_sequence,minimum_panel_delta,maximum_panel_delta,qap_p_positive,qap_p_positive_holm_three_metrics,null_mean,null_q025,null_q975,permutations
continuous_spearman,DAVIS;PKIS2;KiRHub,0.11019089361783352,0.09281335991009887,0.1257870622393376,0.008479830403391932,0.012999740005199895,-0.09919320906665931,-0.187045911496698,0.05461088281071987,50000
roc_auc,DAVIS;PKIS2;KiRHub,0.12870626859546527,0.07494613727300714,0.1571252693136349,0.006499870002599948,0.012999740005199895,-0.013298528778085567,-0.0983892479737355,0.09864573714989226,50000
average_precision,DAVIS;PKIS2;KiRHub,0.0817915265930807,0.011907081009605525,0.11681741966822706,0.003259934801303974,0.009779804403911923,-0.0015511711604763734,-0.0372603458622044,0.0523938028303054,50000
