threshold,low_identity_pairs,continuous_spearman,roc_auc,average_precision
0.3,9,0.23579526939924536,0.6669744536780549,0.31475173429192516
0.35,64,0.24508900395642064,0.6257309941520468,0.3062265247836185
0.4,127,0.2344144341259733,0.7003693444136657,0.3410196783467523
0.45,148,0.22379432530271987,0.7039088950446291,0.34949242099473093
0.5,170,0.2705100127696411,0.7300707910126193,0.3642000838494086
0.55,177,0.26389652519089263,0.7403816558941213,0.3749647893282731
0.6,181,0.26198957590827704,0.7283779624499845,0.36401093969747095
0.65,184,0.2517424952204661,0.7003693444136657,0.3380053902300481
0.7,185,0.2523478578410657,0.700984918436442,0.3454102660559765
