dataset,surface,training_outcome,folds,pilot_ligands_median,pilot_ligands_min,pilot_ligands_max,random_panels_median,random_panels_min,random_panels_max,common_omitted_targets_min_median,common_omitted_targets_min_min,common_omitted_targets_min_max,common_omitted_targets_max_median,common_omitted_targets_max_min,common_omitted_targets_max_max,designed_benefit_mean_r2_random_median_median,designed_benefit_mean_r2_random_median_min,designed_benefit_mean_r2_random_median_max,designed_benefit_mean_r2_fraction_positive_median,designed_benefit_mean_r2_fraction_positive_min,designed_benefit_mean_r2_fraction_positive_max,designed_benefit_median_r2_random_median_median,designed_benefit_median_r2_random_median_min,designed_benefit_median_r2_random_median_max,designed_benefit_median_r2_fraction_positive_median,designed_benefit_median_r2_fraction_positive_min,designed_benefit_median_r2_fraction_positive_max,designed_benefit_mean_rmse_random_median_median,designed_benefit_mean_rmse_random_median_min,designed_benefit_mean_rmse_random_median_max,designed_benefit_mean_rmse_fraction_positive_median,designed_benefit_mean_rmse_fraction_positive_min,designed_benefit_mean_rmse_fraction_positive_max,designed_benefit_median_rmse_random_median_median,designed_benefit_median_rmse_random_median_min,designed_benefit_median_rmse_random_median_max,designed_benefit_median_rmse_fraction_positive_median,designed_benefit_median_rmse_fraction_positive_min,designed_benefit_median_rmse_fraction_positive_max,designed_benefit_mean_pearson_random_median_median,designed_benefit_mean_pearson_random_median_min,designed_benefit_mean_pearson_random_median_max,designed_benefit_mean_pearson_fraction_positive_median,designed_benefit_mean_pearson_fraction_positive_min,designed_benefit_mean_pearson_fraction_positive_max,designed_benefit_median_pearson_random_median_median,designed_benefit_median_pearson_random_median_min,designed_benefit_median_pearson_random_median_max,designed_benefit_median_pearson_fraction_positive_median,designed_benefit_median_pearson_fraction_positive_min,designed_benefit_median_pearson_fraction_positive_max,designed_benefit_mean_spearman_random_median_median,designed_benefit_mean_spearman_random_median_min,designed_benefit_mean_spearman_random_median_max,designed_benefit_mean_spearman_fraction_positive_median,designed_benefit_mean_spearman_fraction_positive_min,designed_benefit_mean_spearman_fraction_positive_max,designed_benefit_median_spearman_random_median_median,designed_benefit_median_spearman_random_median_min,designed_benefit_median_spearman_random_median_max,designed_benefit_median_spearman_fraction_positive_median,designed_benefit_median_spearman_fraction_positive_min,designed_benefit_median_spearman_fraction_positive_max,designed_benefit_mean_equal_budget_lower_5pct_overlap_random_median_median,designed_benefit_mean_equal_budget_lower_5pct_overlap_random_median_min,designed_benefit_mean_equal_budget_lower_5pct_overlap_random_median_max,designed_benefit_mean_equal_budget_lower_5pct_overlap_fraction_positive_median,designed_benefit_mean_equal_budget_lower_5pct_overlap_fraction_positive_min,designed_benefit_mean_equal_budget_lower_5pct_overlap_fraction_positive_max,designed_benefit_median_equal_budget_lower_5pct_overlap_random_median_median,designed_benefit_median_equal_budget_lower_5pct_overlap_random_median_min,designed_benefit_median_equal_budget_lower_5pct_overlap_random_median_max,designed_benefit_median_equal_budget_lower_5pct_overlap_fraction_positive_median,designed_benefit_median_equal_budget_lower_5pct_overlap_fraction_positive_min,designed_benefit_median_equal_budget_lower_5pct_overlap_fraction_positive_max
DOCKSTRING-58,raw,raw_outcome,5,500,500,500,3,3,3,42,42,43,43,43,44,0.018772509974114393,-0.0066885465680777134,0.031133837282997567,1,0,1,0.0014076074737914279,-0.024255384000687941,0.013197114334615234,0.66666666666666663,0,1,0.0095600113299963985,-0.0099565530160518056,0.024389177878170409,1,0,1,-0.0050501338052466593,-0.017287781575824557,0.013634380585289207,0.33333333333333331,0,1,0.016947501379910634,0.00077128731580899945,0.027215202894851132,1,0.66666666666666663,1,0.00034328012373940897,-0.012907256187418503,0.0077907292736203448,0.66666666666666663,0,1,0.017648717856472818,0.00029342424512923682,0.028408922609782783,1,0.66666666666666663,1,-0.0019881581017257011,-0.013183984814285732,0.0083116327498595766,0.33333333333333331,0,1,0.013798449612403119,-0.009365079365079243,0.021904761904761927,1,0,1,0,-0.020000000000000018,0.029999999999999971,0.33333333333333331,0,1
DOCKSTRING-58,raw_row_centered_residual,raw_then_derived_residual,5,500,500,500,3,3,3,42,42,43,43,43,44,0.058433368535526053,0.031579586402723736,0.072125280385602647,1,1,1,0.052320482645220101,0.039016134339376174,0.068330008611929616,1,1,1,0.033747608595962708,0.018587576749174217,0.042526221126921171,1,1,1,0.024842274627657313,0.00024104858804308016,0.039251741884469671,1,0.66666666666666663,1,0.070826271401966734,0.03539163400726475,0.080109854795919921,1,1,1,0.063479993502531029,0.046230970511698721,0.07811793190046773,1,1,1,0.072927973442782568,0.036219775504013951,0.077603614419564482,1,1,1,0.074126943559490788,0.051314086769119638,0.10011762821575282,1,0.66666666666666663,1,0.024761904761904763,0.019841269841269854,0.050476190476190452,1,0.66666666666666663,1,0.026666666666666672,-0.003333333333333327,0.053333333333333344,1,0.33333333333333331,1
Docking-44,raw,raw_outcome,5,500,500,500,3,3,3,29,28,29,30,29,30,0.0043944247856892993,0.00077946606204182256,0.00753304467195548,1,0.66666666666666663,1,-0.00010139013390619844,-0.0040504777717507157,0.004212339910427354,0.33333333333333331,0,1,0.0031550200561391017,-0.00097137180916082033,0.0080910259731646894,1,0.33333333333333331,1,0.006525435425886017,0.0029149483377960417,0.0090366124595282482,1,0.66666666666666663,1,0.0032228996876768612,0.00037564410951784755,0.0055608632537774705,1,0.66666666666666663,1,-1.774916442953689e-05,-0.0023232486107752637,0.00163717883702863,0.33333333333333331,0.33333333333333331,1,0.002581780135586631,-0.0045745651351294381,0.0063173263239445498,0.66666666666666663,0,1,0.00092443082860105275,-0.015661483268094023,0.0039121277499458706,0.66666666666666663,0,1,0.0083789880760553048,-0.0086206896551722645,0.022097378277153412,1,0.33333333333333331,1,0.018691588785046731,-0.010869565217391242,0.045454545454545525,1,0.33333333333333331,1
Docking-44,raw_row_centered_residual,raw_then_derived_residual,5,500,500,500,3,3,3,29,28,29,30,29,30,0.035938474385030617,0.027808714791899669,0.062637285036785145,1,1,1,0.053379713231672898,0.010277046215797836,0.06576935418133445,1,0.66666666666666663,1,0.023448381521572692,0.013621527765814934,0.037446867866009592,1,1,1,0.01639369114425393,0.0040972329620611037,0.02931971236756381,1,0.66666666666666663,1,0.035729558400905748,0.032799593448246733,0.06432893265042483,1,1,1,0.040653498467470905,0.0072271257632476882,0.075914511803330309,1,0.66666666666666663,1,0.038516782800409655,0.031241003596487182,0.065489263483003601,1,1,1,0.044577358744038287,0.030174061841002797,0.089150394434481361,1,0.66666666666666663,1,0.016866566716641662,0.0052473763118440209,0.028838951310861449,1,0.66666666666666663,1,0.02173913043478265,0,0.034090909090909088,1,0.33333333333333331,1
