dataset,fold,pilot_ligands,surface,training_outcome,random_panel_draw,common_omitted_targets,total_targets,designed_panel_indices,random_panel_indices,designed_mean_r2,random_mean_r2,designed_minus_random_mean_r2,designed_benefit_mean_r2,designed_median_r2,random_median_r2,designed_minus_random_median_r2,designed_benefit_median_r2,designed_mean_rmse,random_mean_rmse,designed_minus_random_mean_rmse,designed_benefit_mean_rmse,designed_median_rmse,random_median_rmse,designed_minus_random_median_rmse,designed_benefit_median_rmse,designed_mean_pearson,random_mean_pearson,designed_minus_random_mean_pearson,designed_benefit_mean_pearson,designed_median_pearson,random_median_pearson,designed_minus_random_median_pearson,designed_benefit_median_pearson,designed_mean_spearman,random_mean_spearman,designed_minus_random_mean_spearman,designed_benefit_mean_spearman,designed_median_spearman,random_median_spearman,designed_minus_random_median_spearman,designed_benefit_median_spearman,designed_mean_equal_budget_lower_5pct_overlap,random_mean_equal_budget_lower_5pct_overlap,designed_minus_random_mean_equal_budget_lower_5pct_overlap,designed_benefit_mean_equal_budget_lower_5pct_overlap,designed_median_equal_budget_lower_5pct_overlap,random_median_equal_budget_lower_5pct_overlap,designed_minus_random_median_equal_budget_lower_5pct_overlap,designed_benefit_median_equal_budget_lower_5pct_overlap
DOCKSTRING-58,1,500,raw,raw_outcome,0,42,58,7|9|11|20|21|31|43|57,0|1|2|22|26|41|42|48,0.71352993397680553,0.70431504128885769,0.0092148926879478399,0.0092148926879478399,0.7387891071072531,0.76744132804265086,-0.028652220935397765,-0.028652220935397765,0.56234656831410368,0.56605416420904986,-0.0037075958949461807,0.0037075958949461807,0.5324025573225819,0.52735242351733524,0.0050501338052466593,-0.0050501338052466593,0.84075196900080162,0.83161278385516657,0.0091391851456350537,0.0091391851456350537,0.86088866648992879,0.87643764436076665,-0.015548977870837866,-0.015548977870837866,0.83466872646749735,0.82460210887459962,0.010066617592897731,0.010066617592897731,0.85358380085562491,0.8684278019337679,-0.014844001078142988,-0.014844001078142988,0.47269841269841273,0.4507936507936508,0.021904761904761927,0.021904761904761927,0.49333333333333335,0.46333333333333337,0.029999999999999971,0.029999999999999971
DOCKSTRING-58,1,500,raw,raw_outcome,1,43,58,7|9|11|20|21|31|43|57,0|1|9|13|26|28|32|51,0.73084044886802657,0.68881403814340725,0.042026410724619323,0.042026410724619323,0.77027623638512888,0.73067349194449083,0.039602744440638049,0.039602744440638049,0.54727351695099413,0.59251893769084119,-0.045245420739847053,0.045245420739847053,0.51090982396131945,0.56887237874203378,-0.057962554780714326,0.057962554780714326,0.85163885514636817,0.82535482619388567,0.026284028952482497,0.026284028952482497,0.87796616367497182,0.85530987619737131,0.022656287477600512,0.022656287477600512,0.84473713942497675,0.81316289484170945,0.031574244583267297,0.031574244583267297,0.86827615895285504,0.84030696778032743,0.027969191172527608,0.027969191172527608,0.4809302325581396,0.44558139534883723,0.035348837209302375,0.035348837209302375,0.5,0.45333333333333331,0.04666666666666669,0.04666666666666669
DOCKSTRING-58,1,500,raw,raw_outcome,2,42,58,7|9|11|20|21|31|43|57,0|2|3|14|18|22|35|40,0.71068611841751017,0.69191360844339578,0.018772509974114393,0.018772509974114393,0.7387891071072531,0.76304449110794104,-0.024255384000687941,-0.024255384000687941,0.5659977774747541,0.5755577888047505,-0.0095600113299963985,0.0095600113299963985,0.53796196887906145,0.53169512058833712,0.006266848290724325,-0.006266848290724325,0.8391681800141374,0.82182385118513024,0.017344328829007161,0.017344328829007161,0.86088866648992879,0.87379592267734729,-0.012907256187418503,-0.012907256187418503,0.8325919506833821,0.81494323282690928,0.017648717856472818,0.017648717856472818,0.85141929648480663,0.86460328129909236,-0.013183984814285732,-0.013183984814285732,0.4663492063492064,0.44777777777777772,0.018571428571428683,0.018571428571428683,0.48666666666666669,0.47999999999999998,0.0066666666666667096,0.0066666666666667096
DOCKSTRING-58,1,500,raw_row_centered_residual,raw_then_derived_residual,0,42,58,7|9|11|20|21|31|43|57,0|1|2|22|26|41|42|48,0.22380198245079561,0.16536861391526955,0.058433368535526053,0.058433368535526053,0.19598382733161873,0.13557777004710891,0.060406057284509818,0.060406057284509818,0.87872196300342309,0.9124695715993858,-0.033747608595962708,0.033747608595962708,0.89418434125542212,0.91085158226650187,-0.016667241011079748,0.016667241011079748,0.45690015661273847,0.39127446988348002,0.065625686729258448,0.065625686729258448,0.4470064357839621,0.37354330590087209,0.073463129883090006,0.073463129883090006,0.44865546060532924,0.3830372796896056,0.065618180915723634,0.065618180915723634,0.45688378135193697,0.3558893832442287,0.10099439810770827,0.10099439810770827,0.21269841269841269,0.18793650793650793,0.024761904761904763,0.024761904761904763,0.20000000000000001,0.19666666666666666,0.0033333333333333548,0.0033333333333333548
DOCKSTRING-58,1,500,raw_row_centered_residual,raw_then_derived_residual,1,43,58,7|9|11|20|21|31|43|57,0|1|9|13|26|28|32|51,0.23112233351447148,0.16137732047490241,0.069745013039569065,0.069745013039569065,0.19915883233971254,0.13591103164432805,0.063247800695384493,0.063247800695384493,0.87926636704103511,0.92053162719947423,-0.041265260158439121,0.041265260158439121,0.89824565813895296,0.92746515513255767,-0.02921949699360471,0.02921949699360471,0.46597568078148588,0.39245765352102169,0.073518027260464192,0.073518027260464192,0.45395628456353726,0.37352227910622221,0.08043400545731505,0.08043400545731505,0.46258531662557822,0.37500340421226425,0.087581912413313978,0.087581912413313978,0.46329976521724853,0.36318213700149571,0.10011762821575282,0.10011762821575282,0.22232558139534889,0.20713178294573648,0.015193798449612411,0.015193798449612411,0.21333333333333335,0.20666666666666667,0.0066666666666666818,0.0066666666666666818
DOCKSTRING-58,1,500,raw_row_centered_residual,raw_then_derived_residual,2,42,58,7|9|11|20|21|31|43|57,0|2|3|14|18|22|35|40,0.21360416715157465,0.15712314855216591,0.056481018599408739,0.056481018599408739,0.1879589275791243,0.12670249153249052,0.061256436046633778,0.061256436046633778,0.8846305457051743,0.91676666439361676,-0.032136118688442461,0.032136118688442461,0.90117161620104569,0.92281402765274423,-0.02164241145169854,0.02164241145169854,0.44617202381350507,0.37534575241153834,0.070826271401966734,0.070826271401966734,0.43742566048954296,0.37088310790969276,0.0665425525798502,0.0665425525798502,0.44056637581430991,0.36654292141499245,0.074023454399317457,0.074023454399317457,0.449281741997339,0.36145965996400875,0.087822082033330251,0.087822082033330251,0.20507936507936511,0.17984126984126986,0.025238095238095254,0.025238095238095254,0.20666666666666667,0.17333333333333334,0.033333333333333326,0.033333333333333326
DOCKSTRING-58,2,500,raw,raw_outcome,0,44,58,6|7|9|17|21|24|26|57,0|1|7|14|21|27|33|53,0.67368321157028987,0.67877647578418077,-0.0050932642138908912,-0.0050932642138908912,0.70827009815837871,0.71644628738377025,-0.0081761892253915391,-0.0081761892253915391,0.51516326089661335,0.50734016747459798,0.0078230934220153703,-0.0078230934220153703,0.49683456751343003,0.47954678593760547,0.017287781575824557,-0.017287781575824557,0.81864231781916708,0.81700997051922564,0.001632347299941439,0.001632347299941439,0.84285714062199935,0.8475317989850808,-0.004674658363081452,-0.004674658363081452,0.81176076053355395,0.8112842660643419,0.00047649446921205207,0.00047649446921205207,0.83313572986744466,0.84080505667458705,-0.0076693268071423848,-0.0076693268071423848,0.46257575757575764,0.46257575757575764,0,0,0.48666666666666669,0.48333333333333334,0.0033333333333333548,0.0033333333333333548
DOCKSTRING-58,2,500,raw,raw_outcome,1,42,58,6|7|9|17|21|24|26|57,0|1|8|11|14|29|37|56,0.67350998459267875,0.68019853116075646,-0.0066885465680777134,-0.0066885465680777134,0.71593994485463952,0.74465380171672679,-0.028713856862087273,-0.028713856862087273,0.51632533483074394,0.50636878181469214,0.0099565530160518056,-0.0099565530160518056,0.48913963997938958,0.45064616665007173,0.038493473329317851,-0.038493473329317851,0.81848218058309152,0.81771089326728252,0.00077128731580899945,0.00077128731580899945,0.84696567633931852,0.86368208563102022,-0.016716409291701706,-0.016716409291701706,0.81187774216322073,0.81158431791809149,0.00029342424512923682,0.00029342424512923682,0.83958466500802686,0.85683391810119391,-0.01724925309316705,-0.01724925309316705,0.46428571428571436,0.4736507936507936,-0.009365079365079243,-0.009365079365079243,0.48333333333333334,0.49333333333333335,-0.010000000000000009,-0.010000000000000009
DOCKSTRING-58,2,500,raw,raw_outcome,2,42,58,6|7|9|17|21|24|26|57,0|3|13|25|35|45|47|55,0.67322048778272647,0.68237212183793983,-0.0091516340552133535,-0.0091516340552133535,0.70827009815837871,0.71568661707161496,-0.0074165189132362475,-0.0074165189132362475,0.51616042120436534,0.50601660143737992,0.010143819766985418,-0.010143819766985418,0.49683456751343003,0.48015062624032107,0.01668394127310896,-0.01668394127310896,0.81843937032644387,0.82062674594654106,-0.0021873756200971872,-0.0021873756200971872,0.84285714062199935,0.84672070128783439,-0.0038635606658350419,-0.0038635606658350419,0.81185823457107187,0.8132711714308688,-0.0014129368597969316,-0.0014129368597969316,0.83313572986744466,0.8402070001981734,-0.0070712703307287406,-0.0070712703307287406,0.46063492063492067,0.47698412698412701,-0.016349206349206336,-0.016349206349206336,0.47333333333333333,0.4966666666666667,-0.023333333333333373,-0.023333333333333373
DOCKSTRING-58,2,500,raw_row_centered_residual,raw_then_derived_residual,0,44,58,6|7|9|17|21|24|26|57,0|1|7|14|21|27|33|53,0.2097338976361405,0.17650316833232391,0.033230729303816597,0.033230729303816597,0.20213154910572362,0.16311541476634744,0.039016134339376174,0.039016134339376174,0.88924786895351182,0.90893987688573996,-0.019692007932228139,0.019692007932228139,0.91093630871517539,0.90643083575259575,0.0045054729625796375,-0.0045054729625796375,0.44281708827570032,0.40722998546140315,0.035587102814297167,0.035587102814297167,0.4527307334707798,0.40649976295908108,0.046230970511698721,0.046230970511698721,0.4368302863610849,0.40534139098279592,0.031488895378288972,0.031488895378288972,0.44646092137704524,0.40242210958792346,0.044038811789121779,0.044038811789121779,0.21060606060606057,0.18166666666666667,0.028939393939393904,0.028939393939393904,0.21000000000000002,0.19333333333333333,0.016666666666666691,0.016666666666666691
