dataset,fold,derived_ridge_variance_weighted_r2,direct_ridge_variance_weighted_r2,derived_pc1_variance_weighted_r2,direct_pc1_variance_weighted_r2,direct_minus_derived_ridge_benefit_variance_weighted_r2,direct_ridge_minus_pc1_benefit_variance_weighted_r2,derived_ridge_minus_pc1_benefit_variance_weighted_r2,derived_ridge_pooled_rmse,direct_ridge_pooled_rmse,derived_pc1_pooled_rmse,direct_pc1_pooled_rmse,direct_minus_derived_ridge_benefit_pooled_rmse,direct_ridge_minus_pc1_benefit_pooled_rmse,derived_ridge_minus_pc1_benefit_pooled_rmse,derived_ridge_median_target_pearson,direct_ridge_median_target_pearson,derived_pc1_median_target_pearson,direct_pc1_median_target_pearson,direct_minus_derived_ridge_benefit_median_target_pearson,direct_ridge_minus_pc1_benefit_median_target_pearson,derived_ridge_minus_pc1_benefit_median_target_pearson,derived_ridge_median_ligand_profile_pearson,direct_ridge_median_ligand_profile_pearson,derived_pc1_median_ligand_profile_pearson,direct_pc1_median_ligand_profile_pearson,direct_minus_derived_ridge_benefit_median_ligand_profile_pearson,direct_ridge_minus_pc1_benefit_median_ligand_profile_pearson,derived_ridge_minus_pc1_benefit_median_ligand_profile_pearson,derived_ridge_mean_ligand_profile_pearson,direct_ridge_mean_ligand_profile_pearson,derived_pc1_mean_ligand_profile_pearson,direct_pc1_mean_ligand_profile_pearson,direct_minus_derived_ridge_benefit_mean_ligand_profile_pearson,direct_ridge_minus_pc1_benefit_mean_ligand_profile_pearson,derived_ridge_minus_pc1_benefit_mean_ligand_profile_pearson
DOCKSTRING-58,1,0.22060085563576992,0.22057350657429653,0.065410994213966123,0.058434545216672129,-2.7349061473391778e-05,0.1621389613576244,0.1551898614218038,0.88788509276357019,0.8879006705398238,0.97227056069983153,0.97589267944090796,-1.5577776253605791e-05,0.087992008901084162,0.084385467936261338,0.43742566048954296,0.43746693488022842,0.21745296135688774,0.18996042015831638,4.1274390685464013e-05,0.24750651472191204,0.21997269913265521,0.4759877775806563,0.47598082297977656,0.24989226682939769,0.2422346776399131,-6.9546008797383152e-06,0.23374614533986346,0.22609551075125861,0.45192807322540823,0.45190909453820516,0.21433704059805722,0.20228731512046227,-1.8978687203075051e-05,0.24962177941774288,0.23759103262735101
DOCKSTRING-58,2,0.20273139999177381,0.20274569563535194,0.055737901511758392,0.033652229606159434,1.4295643578132733e-05,0.16909346602919251,0.14699349848001542,0.89568712705222997,0.8956790968342303,0.97476579577354305,0.98609947369621742,8.0302179996660783e-06,0.090420376861987117,0.079078668721313083,0.4464348009079272,0.44657720416745134,0.263914685252089,0.15227770916524555,0.00014240325952413757,0.29429949500220576,0.1825201156558382,0.44831806103206145,0.44824870425519958,0.21539890164803799,0.1837684686949736,-6.9356776861873026e-05,0.26448023556022598,0.23291915938402347,0.42329727051238253,0.42329564109003021,0.19493962917504984,0.16318529868715886,-1.6294223523227735e-06,0.26011034240287134,0.22835764133733269
DOCKSTRING-58,3,0.21229753833477616,0.2122780393306386,0.073474295079460239,0.052854342197863335,-1.9499004137557563e-05,0.15942369713277527,0.13882324325531592,0.889154055874953,0.88916506098929793,0.9643277153364751,0.97499928856348128,-1.1005114344930789e-05,0.085834227574183353,0.075173659461522102,0.43362708411628514,0.43376493634949237,0.2770272498742653,0.19244092730240808,0.00013785223320722517,0.24132400904708429,0.15659983424201984,0.46335883478994999,0.46333982394291651,0.24500987644062189,0.22254878097929759,-1.9010847033484879e-05,0.24079104296361892,0.2183489583493281,0.4403255343792194,0.44031664124758502,0.22815939263539969,0.197105182297802,-8.8931316343798805e-06,0.24321145894978302,0.2121661417438197
DOCKSTRING-58,4,0.2192108741945733,0.21921024050677551,0.059453293849515698,0.052933019492708677,-6.3368779779082729e-07,0.16627722101406683,0.1597575803450576,0.87517211221262792,0.87517246735703103,0.96054292062832503,0.96386661860971301,-3.5514440310802087e-07,0.088694151252681985,0.085370808415697108,0.46699446028812697,0.46702127013597755,0.20796951702532879,0.17900097071075927,2.6809847850584045e-05,0.28802029942521828,0.25902494326279818,0.46570611647993598,0.46571117179708915,0.22998664765507165,0.22213969820576751,5.055317153168648e-06,0.24357147359132164,0.23571946882486433,0.44477648423122507,0.44476936843306208,0.20293523469105132,0.18978647205679575,-7.1157981629821343e-06,0.25498289637626637,0.24184124954017375
DOCKSTRING-58,5,0.22131880722754005,0.22132756351860938,0.066120089216512468,0.058086354378219518,8.7562910693339546e-06,0.16324120914038986,0.15519871801102758,0.88717959217191356,0.88717460397863812,0.97157698153396455,0.97574704506816134,4.9881932754347602e-06,0.088572441089523224,0.08439738936205099,0.45422571276875456,0.45418279764421243,0.23595370125545861,0.1933456439410329,-4.2915124542131089e-05,0.2608371537031795,0.21827201151329595,0.47442677879315143,0.47435959613601197,0.24100906753725315,0.22765731820981189,-6.7182657139452928e-05,0.24670227792620009,0.23341771125589827,0.44924654335354763,0.44924749192316932,0.22416297431040061,0.20822282898092287,9.4856962168377024e-07,0.24102466294224645,0.22508356904314702
Docking-44,1,0.17009556236639911,0.16996412805770911,0.050338317657525278,0.0039069169007548421,-0.00013143430869000383,0.16605721115695427,0.11975724470887383,0.72110515827395139,0.72116225774312315,0.77138114006517389,0.79001351500794437,-5.7099469171761896e-05,0.06885125726482122,0.050275981791222502,0.44013843315697726,0.44001437365369711,0.32163974059058253,0.22366995615298643,-0.00012405950328014947,0.21634441750071068,0.11849869256639473,0.4489252354486018,0.44856827443476388,0.25757006560016998,0.20405332574902652,-0.00035696101383791978,0.24451494868573737,0.19135516984843182,0.41782170483570513,0.41778847518936379,0.24457703348209056,0.19145502931225933,-3.3229646341337293e-05,0.22633344587710447,0.17324467135361457
Docking-44,2,0.27880663794522764,0.27885940005482157,0.18032430996819726,0.15287051754525816,5.2762109593929019e-05,0.12598888250956342,0.098482327977030382,0.86739848001143327,0.86736675023329601,0.92472760813499599,0.94008623726579743,3.1729778137257192e-05,0.072719487032501418,0.057329128123562723,0.49268882727102903,0.49260493666121535,0.40544184737541444,0.33948589835092913,-8.389060981367491e-05,0.15311903831028623,0.087246979895614585,0.4862399894983977,0.48650002329202086,0.34539302742978806,0.33198318423582895,0.00026003379362316004,0.1545168390561919,0.14084696206860964,0.48041587248636303,0.48042385404070742,0.35446538138580813,0.33386339616253047,7.9815543443939596e-06,0.14656045787817695,0.1259504911005549
Docking-44,3,0.28347015814475662,0.28349369348247755,0.18330756139094084,0.14727923530421294,2.3535337720925753e-05,0.13621445817826461,0.10016259675381578,0.93152668776443759,0.93151138904696384,0.99450604621251149,1.0162055905546736,1.5298717473744006e-05,0.084694201507709788,0.062979358448073897,0.51474114113076597,0.51460550068304478,0.41779554646096617,0.31738819235871973,-0.00013564044772118589,0.19721730832432505,0.096945594669799795,0.49719782218168279,0.49716897322683318,0.35660137765382849,0.33423671307088887,-2.8848954849614028e-05,0.16293226015594431,0.1405964445278543,0.49294475822132933,0.49293444707798417,0.37178514732704443,0.34911985802903234,-1.031114334515415e-05,0.14381458904895184,0.1211596108942849
Docking-44,4,0.27793851757334687,0.27795351208135033,0.18784510587406467,0.15124515310933206,1.4994508003463025e-05,0.12670835897201826,0.0900934116992822,0.87257158884614627,0.87256252877999041,0.92540834542544081,0.94603044386744251,9.0600661558637441e-06,0.073467915087452096,0.052836756579294542,0.51409214330870401,0.51420328025931306,0.44240626653572368,0.3415470512930105,0.0001111369506090476,0.17265622896630256,0.071685876772980328,0.48957436585510206,0.48971984001773838,0.33516193930291532,0.31256774864588804,0.00014547416263632762,0.17715209137185034,0.15441242655218673,0.46888473885814574,0.46891435266748455,0.34157557968170871,0.31267101076372106,2.9613809338802088e-05,0.15624334190376349,0.12730915917643704
Docking-44,5,0.2735542073601257,0.27355306076286523,0.16910242333675585,0.1373693028955848,-1.1465972604707275e-06,0.13618375786728043,0.10445178402336985,0.86251229447398403,0.86251297515370817,0.92243852804185167,0.93988808108721411,-6.8067972414098676e-07,0.077375105933505939,0.059926233567867637,0.48472095051022779,0.48464251033682376,0.38918514503021268,0.30993784292621984,-7.8440173404026314e-05,0.17470466741060392,0.095535805480015112,0.47106089647480276,0.47106015514410737,0.31462442422807119,0.29293513644488095,-7.413306953862886e-07,0.17812501869922642,0.15643647224673157,0.46591691082705322,0.46589573498418207,0.33333014169392855,0.31020522054556859,-2.1175842871146155e-05,0.15569051443861348,0.13258676913312467
