context,targets,edges,raw_sequence_pearson,residual_sequence_pearson,residual_minus_raw_sequence_pearson,raw_qap_p_one_sided,residual_qap_p_one_sided,residual_minus_raw_qap_p_one_sided,raw_null_q025,raw_null_q975,residual_null_q025,residual_null_q975,difference_null_q025,difference_null_q975,permutations,seed
all_58_targets_centered_within_58,58,1653,0.126046250968,0.142182634833,0.0161363838654,0.0257397426026,0.000329996700033,0.366366336337,-0.120208074598,0.127002576702,-0.0513714629448,0.0712645173855,-0.0907473059963,0.0961191963094,100000,20260917
common_21_kinases_embedded_in_58_target_centering,21,210,-0.059858335499,0.13227107173,0.192129407229,0.69982300177,0.0570494295057,0.000149998500015,-0.171335506502,0.222026732087,-0.125394069204,0.181546085545,-0.0982053083577,0.104902801116,100000,21260917
common_21_kinases_centered_within_21,21,210,-0.059858335499,0.203542177262,0.263400512761,0.69876301237,0.010259897401,0.000169998300017,-0.170030045089,0.224551020484,-0.11087639967,0.159176100874,-0.134492617118,0.145025033266,100000,22260917
