dataset,fold,pilot_ligands,panel_k,surface,comparison,metric,higher_is_better,pivoted_qr_value,residual_kmedoids_value,pivoted_qr_minus_residual_kmedoids
DOCKSTRING-58,4,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.6000805562679836,0.6745994362016181,-0.07451887993363449
DOCKSTRING-58,4,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.18576300837825255,0.23166832161252293,-0.045905313234270384
DOCKSTRING-58,4,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.6385416604926238,0.7061457968226488,-0.06760413633002493
DOCKSTRING-58,4,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.22616678810109014,0.2636779366963252,-0.03751114859523508
DOCKSTRING-58,4,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.712090185675119,0.7403282319008373,-0.02823804622571835
DOCKSTRING-58,4,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.28993639842438934,0.31536583375434213,-0.025429435329952788
DOCKSTRING-58,4,500,10,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7432597966513039,0.7570444782112971,-0.013784681559993128
DOCKSTRING-58,4,500,10,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3265352964738526,0.3500288324040167,-0.023493535930164122
DOCKSTRING-58,4,500,12,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.7669365345095539,0.7723457317106781,-0.005409197201124205
DOCKSTRING-58,4,500,12,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.3546943325551072,0.388887228103699,-0.03419289554859184
DOCKSTRING-58,5,500,4,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.5907619812038704,0.6904237549392548,-0.09966177373538443
DOCKSTRING-58,5,500,4,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.18561139829941053,0.24125938288784932,-0.05564798458843878
DOCKSTRING-58,5,500,6,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.6342222008174511,0.7162787217316016,-0.0820565209141505
DOCKSTRING-58,5,500,6,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.22495015689520093,0.27706743065761497,-0.05211727376241404
DOCKSTRING-58,5,500,8,raw,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.6952995043562646,0.737457014018691,-0.04215750966242637
DOCKSTRING-58,5,500,8,raw_row_centered_residual,pivoted_qr_minus_residual_kmedoids,full_profile_variance_weighted_r2,True,0.27771661314063245,0.31853668991700523,-0.04082007677637278
