panel,resampling_scheme,bootstrap_sources,chemical_cluster_bootstrap_available,observed_delta_d,conservative_interval_95_low,conservative_interval_95_high,conservative_interval_95_width,conservative_interval_90_low,conservative_interval_90_high,conservative_basic_interval_95_low,conservative_basic_interval_95_high,smallest_supported_symmetric_margin_95,interval_contains_zero,verdict,basic_interval_verdict,verdict_robust_to_interval_construction,reading
DAVIS,combined,murcko|butina_0.65,True,0.0163917647521947,-0.00758444978064716,0.0590977006215365,0.0666821504021836,-0.00298661138010815,0.0529121232400372,-0.026314171117147,0.0403679792850366,0.0590977006215365,True,dominated_by_sampling_uncertainty,consistent_with_a_negligible_increment,False,"zero lies inside the interval and the interval also admits increments larger than 0.05 Spearman units, so the data support explanation (b), large sampling uncertainty, and cannot distinguish a null effect from a scientifically appreciable one"
DAVIS,experimental_only,murcko|butina_0.65,True,0.0163917647521947,-0.00572522055575246,0.0602576248649548,0.0659828454207072,-0.00129643480428809,0.0537376600314049,-0.0274740953605653,0.0385087500601419,0.0602576248649548,True,dominated_by_sampling_uncertainty,consistent_with_a_negligible_increment,False,"zero lies inside the interval and the interval also admits increments larger than 0.05 Spearman units, so the data support explanation (b), large sampling uncertainty, and cannot distinguish a null effect from a scientifically appreciable one"
KiRHub,combined,compound,False,0.0454766934788978,0.0145471444754995,0.0701652473242441,0.0556181028487446,0.0188653133706867,0.0662008424201865,0.0207881396335516,0.0764062424822961,0.0701652473242441,False,resolved_positive_increment,resolved_positive_increment,True,"the interval excludes zero from above, so the increment is resolved once compound sampling is accounted for"
KiRHub,experimental_only,compound,False,0.0454766934788978,0.01626535798484,0.069773298866713,0.053507940881873,0.0206457679976557,0.0658196975860246,0.0211800880910826,0.0746880289729556,0.069773298866713,False,resolved_positive_increment,resolved_positive_increment,True,"the interval excludes zero from above, so the increment is resolved once compound sampling is accounted for"
PKIS1,combined,murcko|butina_0.65,True,0.000860790720256188,-0.0215319712894802,0.0298425820222457,0.051374553311726,-0.0181395898122268,0.0248232273528498,-0.0281210005817334,0.0232535527299926,0.0298425820222457,True,consistent_with_a_negligible_increment,consistent_with_a_negligible_increment,True,"zero lies inside the interval and the interval also excludes every increment larger than 0.05 Spearman units, so the data support explanation (c), a genuinely tiny effect, rather than mere absence of evidence"
PKIS1,experimental_only,murcko|butina_0.65,True,0.000860790720256188,-0.0201082986698859,0.0301787190489313,0.0502870177188172,-0.0169500540181167,0.0254426642522537,-0.0284571376084189,0.0218298801103982,0.0301787190489313,True,consistent_with_a_negligible_increment,consistent_with_a_negligible_increment,True,"zero lies inside the interval and the interval also excludes every increment larger than 0.05 Spearman units, so the data support explanation (c), a genuinely tiny effect, rather than mere absence of evidence"
PKIS2,combined,murcko|butina_0.65,True,0.0436763811798258,0.0191169459425178,0.0642132381564733,0.0450962922139555,0.0230409356725146,0.0611289130330189,0.0231395242031784,0.0682358164171338,0.0642132381564733,False,resolved_positive_increment,resolved_positive_increment,True,"the interval excludes zero from above, so the increment is resolved once compound sampling is accounted for"
PKIS2,experimental_only,murcko|butina_0.65,True,0.0436763811798258,0.0216118831109186,0.0641294772708387,0.04251759415992,0.0255543745926773,0.0608898336591916,0.0232232850888129,0.065740879248733,0.0641294772708387,False,resolved_positive_increment,resolved_positive_increment,True,"the interval excludes zero from above, so the increment is resolved once compound sampling is accounted for"
