panel,experimental_ligands,targets,target_pairs,experimental_centered_correlation_PR,local_20_centered_concordance_spearman,all_58_centered_then_extract_concordance_spearman,all_58_minus_local_20_concordance,paired_qap_p_positive_delta
DAVIS,72,20,190,6.8547757186063745,0.2797998486617941,0.2612631054074978,-0.018536743254296273,0.87578
PKIS2,645,20,190,10.088424567424145,0.28717080659764593,0.2744898896455799,-0.012680916952066024,0.80662
PKIS1,360,20,190,7.257054603325511,0.17364265812874244,0.16575557567566385,-0.007887082453078592,0.67756
KiRHub,92,20,190,5.055119279803977,0.3215884388108141,0.30243759485974975,-0.019150843951064367,0.92488
