contrast,plugin_mean_difference,conservative_low_90,conservative_high_90,conservative_width_90,conservative_low_95,conservative_high_95,conservative_width_95,smallest_supported_symmetric_margin_90,excludes_zero_90,excludes_zero_95
two_way_residual_minus_column_standardized,-0.0009841896029498976,-0.006917259333845157,0.004813416116487118,0.011730675450332274,-0.007986962063948382,0.005878897640863432,0.013865859704811814,0.006917259333845157,False,False
two_way_residual_minus_absolute_vina,-0.0077206678910093016,-0.019466560898798287,0.004021065727747181,0.023487626626545466,-0.02198749424962591,0.006128483320029131,0.028115977569655042,0.019466560898798287,False,False
two_way_residual_minus_docking_target_prior,0.005701649407122277,-0.022203449862786113,0.03249938500141865,0.05470283486420476,-0.027409404231999033,0.03711562366001234,0.06452502789201137,0.03249938500141865,False,False
two_way_residual_minus_experimental_target_prior,0.049279267536102886,0.02387116131062259,0.0755891424008327,0.05171798109021011,0.01892850962708444,0.08042432048079427,0.06149581085370984,0.0755891424008327,True,True
two_way_residual_minus_cohort_experimental_target_prior,-0.07420834182842968,-0.10661482049793572,-0.03864914925598337,0.06796567124195235,-0.11138721231864235,-0.03212702398160268,0.07926018833703967,0.10661482049793572,True,True
absolute_vina_minus_docking_target_prior,0.01342231729813158,-0.007142378786712947,0.03460224608534785,0.0417446248720608,-0.01130446556950808,0.03802962307197403,0.04933408864148211,0.03460224608534785,False,False
two_way_centered_unscaled_minus_target_centered_unscaled,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
two_way_residual_minus_target_centered_residual_scaled,0.003788134533544697,-0.0018740733340215333,0.00962388553352955,0.011497958867551084,-0.0029304677944610898,0.010767078417025268,0.013697546211486358,0.00962388553352955,False,False
target_centered_residual_scaled_minus_target_centered_unscaled,-0.00750104302328523,-0.015152901656307007,-0.000201029575140652,0.014951872081166355,-0.01658462583179683,0.0010115801229300327,0.017596205954726864,0.015152901656307007,True,False
column_standardized_minus_target_centered_unscaled,-0.0027287188867906355,-0.0071284506334151135,0.00135950463776967,0.008487955271184783,-0.007879275196656849,0.0021776619550761458,0.010056937151732994,0.0071284506334151135,False,False
