representation,mean_per_ligand_pairwise_accuracy,pair_weighted_accuracy,mean_per_ligand_spearman,top1_accuracy,evaluated_ligands,evaluated_pairs,predicted_score_ties_half_credit,ligand_bootstrap_low_90,ligand_bootstrap_high_90,ligand_bootstrap_low_95,ligand_bootstrap_high_95,murcko_bootstrap_low_90,murcko_bootstrap_high_90,murcko_bootstrap_low_95,murcko_bootstrap_high_95,butina_bootstrap_low_90,butina_bootstrap_high_90,butina_bootstrap_low_95,butina_bootstrap_high_95
absolute_vina,0.5371259802638875,0.5282382803204569,0.06121759330430337,0.46759188653347566,6480,25214,1058,0.5283481699988587,0.5459854875579974,0.5265486694441139,0.5475752156896233,0.5229813812184662,0.551341593419872,0.5205370045861871,0.5541915898704146,0.5208665590213619,0.552880399857785,0.5179686741261619,0.5563812231602486
column_standardized,0.5303895019758281,0.5263742365352582,0.07450219913623643,0.4672868689949672,6480,25214,0,0.5211958271581139,0.5394800464620804,0.5193496336583909,0.5413561238999544,0.5167852526866659,0.5444671677131309,0.5143052437683732,0.5470041718061729,0.5138179075854812,0.5467657113182045,0.5106868629967833,0.5502533400539015
two_way_residual,0.5294053123728782,0.526929483620211,0.07805789716043011,0.46698185145645876,6480,25214,0,0.520522395832704,0.5384166554713722,0.5187475981525115,0.5400405458732013,0.5159807200519909,0.5430849384814201,0.5135726369932349,0.5457035188795656,0.5135527446272499,0.5457600866155192,0.5110780799721159,0.5489039928098509
target_centered_unscaled,0.5331182208626186,0.528357261838661,0.07548403951409095,0.47064206191856034,6480,25214,0,0.5241904696313074,0.5424280977890804,0.5224888431738165,0.5439825272993942,0.5192892716573915,0.5469656980965103,0.5167220690412607,0.5494183856376498,0.5172118477069102,0.5493902484190948,0.5139209333040764,0.5523608516147454
two_way_centered_unscaled,0.5331182208626186,0.528357261838661,0.07548403951409095,0.47064206191856034,6480,25214,0,0.5242519913328865,0.5421691051561638,0.5224902515397504,0.5440339599087972,0.519555462976295,0.5466209939799355,0.516913583226295,0.5491318380318966,0.5174273414293542,0.5493598433475788,0.5145589870163753,0.5521854370102536
target_centered_residual_scaled,0.5256171778393335,0.5192353454430079,0.07163235541789124,0.4628641146865945,6480,25214,0,0.5166016137559165,0.5346751319307582,0.5147138754124146,0.5365637371512518,0.5125160234845434,0.5390473128053035,0.5099052504920539,0.5418916568250959,0.5097468683620066,0.541439153422118,0.5071682840323604,0.5447870589151431
docking_target_prior,0.5237036629657559,0.5136432140874118,0.014696582837979994,0.4441055360683239,6480,25214,0,0.5149505259978899,0.5326439220610192,0.5131654420670978,0.5346884836080098,0.5003293884779341,0.5468009925886054,0.4963013858655416,0.5508442803870397,0.49989797520084167,0.5480827593601302,0.49499320934199187,0.5523486081927361
experimental_target_prior,0.48012604483677535,0.4946854921868803,-0.0632188448171785,0.4165014488333079,6480,25214,0,0.47082224014449703,0.4894786747574496,0.4693038406662196,0.4911310497347883,0.45749166567412025,0.502984605523863,0.4525223665565887,0.5066256966144361,0.45470162150659243,0.5053914596935289,0.4505746439165253,0.5105592125147268
cohort_experimental_target_prior,0.6036136542013079,0.571825176489252,0.18718767924476146,0.5205124294646942,6480,25214,0,0.5947006077742487,0.6124213415130504,0.5930156700194211,0.6144196783179015,0.5830999306407684,0.6243081109474831,0.5795973574254982,0.6286707023289597,0.5787168106742355,0.6272790030678133,0.5728074873006236,0.6318107426467227
