panel,match,target_a,target_b,informative_ligands,absolute_accuracy,residual_accuracy,residual_minus_absolute
PKIS2,exact_full_standard_InChIKey,AKT2,MAPK14,77,0.4025974025974026,0.5064935064935064,0.10389610389610382
PKIS2,exact_full_standard_InChIKey,AKT2,MAPKAPK2,43,0.46511627906976744,0.4186046511627907,-0.046511627906976716
PKIS2,exact_full_standard_InChIKey,AKT2,MET,68,0.5441176470588235,0.5147058823529411,-0.02941176470588236
PKIS2,exact_full_standard_InChIKey,AKT2,PLK1,68,0.6544117647058824,0.5441176470588235,-0.11029411764705888
PKIS2,exact_full_standard_InChIKey,AKT2,ROCK1,66,0.4772727272727273,0.4393939393939394,-0.0378787878787879
PKIS2,exact_full_standard_InChIKey,AKT2,SRC,58,0.3620689655172414,0.39655172413793105,0.03448275862068967
PKIS2,exact_full_standard_InChIKey,CDK2,CSF1R,80,0.3875,0.375,-0.012500000000000011
PKIS2,exact_full_standard_InChIKey,CDK2,EGFR,97,0.711340206185567,0.5670103092783505,-0.14432989690721654
PKIS2,exact_full_standard_InChIKey,CDK2,FGFR1,60,0.475,0.5166666666666667,0.04166666666666674
PKIS2,exact_full_standard_InChIKey,CDK2,IGF1R,44,0.5795454545454546,0.5227272727272727,-0.05681818181818188
PKIS2,exact_full_standard_InChIKey,CDK2,JAK2,70,0.5571428571428572,0.5571428571428572,0.0
PKIS2,exact_full_standard_InChIKey,CDK2,KDR,69,0.6304347826086957,0.6231884057971014,-0.007246376811594235
PKIS2,exact_full_standard_InChIKey,CDK2,KIT,91,0.4230769230769231,0.5384615384615384,0.11538461538461536
PKIS2,exact_full_standard_InChIKey,CDK2,LCK,92,0.28804347826086957,0.4673913043478261,0.17934782608695654
PKIS2,exact_full_standard_InChIKey,CDK2,MAP2K1,54,0.5833333333333334,0.6481481481481481,0.06481481481481477
PKIS2,exact_full_standard_InChIKey,CDK2,MAPK1,52,0.5192307692307693,0.5384615384615384,0.019230769230769162
PKIS2,exact_full_standard_InChIKey,CDK2,MAPK14,86,0.3430232558139535,0.47674418604651164,0.13372093023255816
PKIS2,exact_full_standard_InChIKey,CDK2,MAPKAPK2,59,0.5254237288135594,0.4406779661016949,-0.08474576271186446
PKIS2,exact_full_standard_InChIKey,CDK2,MET,65,0.5461538461538461,0.5846153846153846,0.03846153846153855
PKIS2,exact_full_standard_InChIKey,CDK2,PLK1,61,0.7540983606557377,0.6885245901639344,-0.06557377049180324
PKIS2,exact_full_standard_InChIKey,CDK2,ROCK1,71,0.5140845070422535,0.5633802816901409,0.04929577464788737
PKIS2,exact_full_standard_InChIKey,CDK2,SRC,52,0.4423076923076923,0.4423076923076923,0.0
PKIS2,exact_full_standard_InChIKey,CSF1R,EGFR,106,0.37264150943396224,0.37735849056603776,0.004716981132075526
PKIS2,exact_full_standard_InChIKey,CSF1R,FGFR1,85,0.40588235294117647,0.38823529411764707,-0.017647058823529405
PKIS2,exact_full_standard_InChIKey,CSF1R,IGF1R,80,0.66875,0.5,-0.16874999999999996
PKIS2,exact_full_standard_InChIKey,CSF1R,JAK2,94,0.5159574468085106,0.5425531914893617,0.02659574468085102
PKIS2,exact_full_standard_InChIKey,CSF1R,KDR,59,0.4067796610169492,0.4067796610169492,0.0
