discovery,validation,observed_rule_minus_global_alpha_mixture,qap_p_one_sided,null_mean,null_q025,null_q975,permutations
PKIS2,DAVIS,0.0401615436392192,1.999960000799984e-05,-0.001983886021987882,-0.020753870316356282,0.016827462418667283,50000
DAVIS,PKIS2,0.02069421257651638,0.0002599948001039979,-0.00196077890305561,-0.01588832071136228,0.012053019299334512,50000
