reference_support,panel,analysis_role,selected_k,selected_cumulative_variance_fraction,positive_pairs,total_pairs,full_continuous_spearman,full_roc_auc,full_average_precision,normalized_low_mode_continuous_spearman,normalized_low_mode_minus_full_continuous_spearman,normalized_low_mode_roc_auc,normalized_low_mode_minus_full_roc_auc,normalized_low_mode_average_precision,normalized_low_mode_minus_full_average_precision,spectral_kernel_continuous_spearman,spectral_kernel_minus_full_continuous_spearman,spectral_kernel_roc_auc,spectral_kernel_minus_full_roc_auc,spectral_kernel_average_precision,spectral_kernel_minus_full_average_precision
exact_connectivity_excluded,PKIS1,post_hoc_discovery,5,0.516762634687312,19,190,0.173642658128742,0.663588796552785,0.300109887900361,0.209724135819479,0.0360814776907364,0.677439212065251,0.0138504155124654,0.265467873386996,-0.0346420145133646,0.196805276717098,0.0231626185883557,0.676515851031086,0.012927054478301,0.312161516497472,0.0120516285971117
exact_connectivity_excluded,DAVIS,locked_no_retuning_evaluation,5,0.516762634687312,19,190,0.279799848661794,0.755001538935057,0.340401703624513,0.325514484291007,0.0457146356292127,0.791012619267467,0.03601108033241,0.374900268919795,0.0344985652952822,0.29455751070521,0.0147576620434157,0.775007694675285,0.0200061557402278,0.34576992261493,0.00536821899041712
exact_connectivity_excluded,PKIS2,locked_no_retuning_evaluation,5,0.516762634687312,19,190,0.287170806597646,0.713142505386273,0.294867041452308,0.320318247626046,0.0331474410284,0.729763004001231,0.0166204986149585,0.26774904984304,-0.0271179916092676,0.294261832591951,0.00709102599430511,0.723607263773469,0.0104647583871961,0.306038001376597,0.0111709599242894
exact_connectivity_excluded,KiRHub,locked_no_retuning_evaluation,5,0.516762634687312,19,190,0.321588438810814,0.743613419513697,0.289484694181368,0.379102205776221,0.0575137669654066,0.806709756848261,0.0630963373345644,0.33325539535568,0.043770701174312,0.348839813320387,0.0272513745095724,0.78731917513081,0.043705755617113,0.32421610043567,0.034731406254302
exact_and_same_cyclic_murcko_excluded,PKIS1,post_hoc_discovery,5,0.516590519536253,19,190,0.171931574136038,0.662049861495845,0.297471531032623,0.207944818416023,0.0360132442799845,0.676515851031086,0.0144659895352416,0.2608285734571,-0.0366429575755233,0.194740778648191,0.022809204512153,0.67590027700831,0.0138504155124654,0.311925106418233,0.0144535753856097
exact_and_same_cyclic_murcko_excluded,DAVIS,locked_no_retuning_evaluation,5,0.516590519536253,19,190,0.278863826232247,0.754385964912281,0.339739875889644,0.323810398596841,0.0449465723645938,0.790704832256079,0.0363188673437981,0.36511068121475,0.0253708053251059,0.292463269867513,0.0135994436352662,0.774392120652509,0.0200061557402278,0.345468720155943,0.00572884426629888
exact_and_same_cyclic_murcko_excluded,PKIS2,locked_no_retuning_evaluation,5,0.516590519536253,19,190,0.28654620845307,0.712834718374885,0.294106175307761,0.318498690005992,0.0319524815529225,0.728531855955679,0.0156971375807942,0.259824400187089,-0.034281775120672,0.291924400880036,0.00537819242696624,0.722068328716528,0.00923361034164361,0.305483354301284,0.0113771789935236
exact_and_same_cyclic_murcko_excluded,KiRHub,locked_no_retuning_evaluation,5,0.516590519536253,19,190,0.320906104703294,0.743305632502308,0.289480474049795,0.378066457592498,0.0571603528892038,0.807017543859649,0.0637119113573407,0.328677220723857,0.039196746674062,0.346801558871,0.0258954541677056,0.787011388119421,0.043705755617113,0.324124140775308,0.0346436667255128
