representation,primary_representation,panel,analysis_role,metric,full,candidate,candidate_minus_full,paired_target_label_qap_one_sided_p,paired_delta_null_interval_95_low,paired_delta_null_interval_95_high,permutations,seed,holm_p_within_representation_9_locked_tests,holm_p_across_both_representations_18_locked_tests
normalized_low_mode_correlation,True,PKIS1,post_hoc_discovery,continuous_spearman,0.173642658128742,0.209724135819479,0.0360814776907364,0.0442391152176956,-0.0418603664484072,0.0418045987569272,50000,20360808,,
normalized_low_mode_correlation,True,PKIS1,post_hoc_discovery,roc_auc,0.663588796552785,0.677439212065251,0.0138504155124654,0.246595068098638,-0.0400123114804555,0.0397045244690674,50000,20370808,,
normalized_low_mode_correlation,True,PKIS1,post_hoc_discovery,average_precision,0.300109887900361,0.265467873386996,-0.0346420145133646,0.984480310393792,-0.0297919141566396,0.0324628029667485,50000,20370808,,
normalized_low_mode_correlation,True,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.279799848661794,0.325514484291007,0.0457146356292127,0.0165196696066079,-0.0416311721712659,0.0421315505167806,50000,20360809,0.0991180176396472,0.214755704885902
normalized_low_mode_correlation,True,DAVIS,locked_no_retuning_evaluation,roc_auc,0.755001538935057,0.791012619267467,0.03601108033241,0.0370192596148077,-0.0400123114804556,0.0390889504462912,50000,20370809,0.148077038459231,0.406111877762445
normalized_low_mode_correlation,True,DAVIS,locked_no_retuning_evaluation,average_precision,0.340401703624513,0.374900268919795,0.0344985652952822,0.0221395572088558,-0.0296348219628253,0.0329490661996651,50000,20370809,0.110697786044279,0.26567468650627
normalized_low_mode_correlation,True,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.287170806597646,0.320318247626046,0.0331474410284,0.0574388512229755,-0.0417326475000765,0.0419043245111032,50000,20360810,0.172316553668927,0.51694966100678
normalized_low_mode_correlation,True,PKIS2,locked_no_retuning_evaluation,roc_auc,0.713142505386273,0.729763004001231,0.0166204986149585,0.200215995680086,-0.0397045244690675,0.0393967374576792,50000,20370810,0.400431991360173,1
normalized_low_mode_correlation,True,PKIS2,locked_no_retuning_evaluation,average_precision,0.294867041452308,0.26774904984304,-0.0271179916092676,0.967020659586808,-0.0299850607456359,0.0325123234304849,50000,20370810,0.967020659586808,1
normalized_low_mode_correlation,True,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.321588438810814,0.379102205776221,0.0575137669654066,0.00415991680166397,-0.0416000297427688,0.0421247271757054,50000,20360811,0.0332793344133117,0.0665586688266235
normalized_low_mode_correlation,True,KiRHub,locked_no_retuning_evaluation,roc_auc,0.743613419513697,0.806709756848261,0.0630963373345644,0.000919981600367993,-0.0400123114804555,0.038473376423515,50000,20370811,0.00827983440331193,0.0156396872062559
normalized_low_mode_correlation,True,KiRHub,locked_no_retuning_evaluation,average_precision,0.289484694181368,0.33325539535568,0.043770701174312,0.0133397332053359,-0.0321249873645508,0.0348515346017151,50000,20370811,0.0933781324373513,0.186756264874703
communality_weighted_spectral_kernel,False,PKIS1,post_hoc_discovery,continuous_spearman,0.173642658128742,0.196805276717098,0.0231626185883557,0.0985780284394312,-0.034337326737437,0.0359119876480031,50000,20460808,,
communality_weighted_spectral_kernel,False,PKIS1,post_hoc_discovery,roc_auc,0.663588796552785,0.676515851031086,0.012927054478301,0.23457530849383,-0.0341643582640813,0.0329332102185288,50000,20470808,,
communality_weighted_spectral_kernel,False,PKIS1,post_hoc_discovery,average_precision,0.300109887900361,0.312161516497472,0.0120516285971117,0.0312193756124877,-0.0132738983056388,0.0129046706249692,50000,20470808,,
communality_weighted_spectral_kernel,False,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.279799848661794,0.29455751070521,0.0147576620434157,0.20387592248155,-0.0341307019730828,0.0357812069440618,50000,20460809,0.655906881862363,1
communality_weighted_spectral_kernel,False,DAVIS,locked_no_retuning_evaluation,roc_auc,0.755001538935057,0.775007694675285,0.0200061557402278,0.118717625647487,-0.0344721452754694,0.0326254232071407,50000,20470809,0.593588128237435,0.831023379532409
communality_weighted_spectral_kernel,False,DAVIS,locked_no_retuning_evaluation,average_precision,0.340401703624513,0.34576992261493,0.00536821899041712,0.163976720465591,-0.0132744731676995,0.0127921133484474,50000,20470809,0.655906881862363,0.983860322793544
communality_weighted_spectral_kernel,False,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.287170806597646,0.294261832591951,0.00709102599430517,0.335473290534189,-0.0340205225104646,0.0358418297051529,50000,20460810,0.655906881862363,1
communality_weighted_spectral_kernel,False,PKIS2,locked_no_retuning_evaluation,roc_auc,0.713142505386273,0.723607263773469,0.0104647583871961,0.275434491310174,-0.0344721452754693,0.0326254232071407,50000,20470810,0.655906881862363,1
communality_weighted_spectral_kernel,False,PKIS2,locked_no_retuning_evaluation,average_precision,0.294867041452308,0.306038001376597,0.0111709599242894,0.0369192616147677,-0.0132374538280671,0.0126819760390955,50000,20470810,0.258434831303374,0.406111877762445
communality_weighted_spectral_kernel,False,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.321588438810814,0.348839813320386,0.0272513745095724,0.0677586448271035,-0.0339283636665836,0.0365242075520389,50000,20460811,0.406551868962621,0.542069158616828
communality_weighted_spectral_kernel,False,KiRHub,locked_no_retuning_evaluation,roc_auc,0.743613419513697,0.78731917513081,0.043705755617113,0.00435991280174397,-0.0347799322868575,0.0332409972299169,50000,20470811,0.0348793024139517,0.0665586688266235
communality_weighted_spectral_kernel,False,KiRHub,locked_no_retuning_evaluation,average_precision,0.289484694181368,0.32421610043567,0.034731406254302,7.99984000319994e-05,-0.0141720746996246,0.012401610348488,50000,20470811,0.000719985600287994,0.00143997120057599
