representation,primary_representation,panel,analysis_role,metric,observed_candidate,observed_full,observed_candidate_minus_full,random_mean,random_median,random_interval_95_low,random_interval_95_high,one_sided_p_random_at_least_observed_candidate,repeats,seed
normalized_low_mode_correlation,True,PKIS1,post_hoc_discovery,continuous_spearman,0.209724135819479,0.173642658128742,0.0360814776907364,0.00365387141501223,-0.00803404672239062,-0.112176164669965,0.184072309919651,0.0145492725363732,20000,20560808
normalized_low_mode_correlation,True,PKIS1,post_hoc_discovery,roc_auc,0.677439212065251,0.663588796552785,0.0138504155124654,0.501958448753463,0.499846106494306,0.372730070791013,0.641735918744229,0.00754962251887406,20000,20560808
normalized_low_mode_correlation,True,PKIS1,post_hoc_discovery,average_precision,0.265467873386996,0.300109887900361,-0.0346420145133646,0.123604567316232,0.115424664354077,0.0812668779923627,0.211535811854862,0.00424978751062447,20000,20560808
normalized_low_mode_correlation,True,DAVIS,locked_no_retuning_evaluation,continuous_spearman,0.325514484291007,0.279799848661794,0.0457146356292127,0.0040467431230782,-0.00475096992043809,-0.116499888464617,0.174972422329821,0.00109994500274986,20000,20560808
normalized_low_mode_correlation,True,DAVIS,locked_no_retuning_evaluation,roc_auc,0.791012619267467,0.755001538935057,0.03601108033241,0.499610433979686,0.496768236380425,0.37241458910434,0.643582640812558,4.99975001249937e-05,20000,20560808
normalized_low_mode_correlation,True,DAVIS,locked_no_retuning_evaluation,average_precision,0.374900268919795,0.340401703624513,0.0344985652952822,0.122568584225783,0.114272119089948,0.0808658674422251,0.208617843201837,0.000149992500374981,20000,20560808
normalized_low_mode_correlation,True,PKIS2,locked_no_retuning_evaluation,continuous_spearman,0.320318247626046,0.287170806597646,0.0331474410284,0.0017935722377497,-0.00794919235260927,-0.117245163519619,0.178568672991379,0.00164991750412479,20000,20560808
normalized_low_mode_correlation,True,PKIS2,locked_no_retuning_evaluation,roc_auc,0.729763004001231,0.713142505386273,0.0166204986149585,0.498642597722376,0.49584487534626,0.374269005847953,0.63835026161896,0.00164991750412479,20000,20560808
normalized_low_mode_correlation,True,PKIS2,locked_no_retuning_evaluation,average_precision,0.26774904984304,0.294867041452308,-0.0271179916092676,0.122533686679528,0.11400276350463,0.081362143149199,0.209093167512179,0.00449977501124944,20000,20560808
normalized_low_mode_correlation,True,KiRHub,locked_no_retuning_evaluation,continuous_spearman,0.379102205776221,0.321588438810814,0.0575137669654066,0.00287051363137337,-0.00845919335861469,-0.11165356672659,0.183895865317745,0.000449977501124944,20000,20560808
normalized_low_mode_correlation,True,KiRHub,locked_no_retuning_evaluation,roc_auc,0.806709756848261,0.743613419513697,0.0630963373345644,0.50409810710988,0.499846106494306,0.385349338257925,0.646352723915051,4.99975001249937e-05,20000,20560808
normalized_low_mode_correlation,True,KiRHub,locked_no_retuning_evaluation,average_precision,0.33325539535568,0.289484694181368,0.043770701174312,0.12409790079816,0.115510711372815,0.0829756692436155,0.211448170872014,0.000549972501374931,20000,20560808
normalized_low_mode_correlation,True,LOCKED_VALIDATION_MEAN,omnibus_locked_no_retuning_evaluation,continuous_spearman,0.341644979231091,0.296186364690085,0.0454586145410064,0.00290360966406709,-0.0075429994415941,-0.105254716197125,0.170717748414082,0.000849957502124894,20000,20560808
normalized_low_mode_correlation,True,LOCKED_VALIDATION_MEAN,omnibus_locked_no_retuning_evaluation,roc_auc,0.775828460038986,0.737252487945009,0.0385759720939777,0.500783712937314,0.496768236380425,0.396532266338361,0.624294654765569,4.99975001249937e-05,20000,20560808
